time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,span_coordinate_normalized
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,0,0.062499966472387314,0.06022442877292633,-0.21844488382339478,-1.4508723020553589,0.0049810525961220264,0.013019170612096786,0.05968346819281578,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,1,0.1874999850988388,0.06022442877292633,-0.10912085324525833,-0.724761426448822,-0.0032228908967226744,0.0007990430458448827,0.029083050787448883,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,2,0.3124999403953552,0.06022439897060394,-0.07276234775781631,-0.4832748472690582,-0.002516726031899452,0.00018321163952350616,0.019332313910126686,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,3,0.4374999403953552,0.06022445857524872,-0.048712436109781265,-0.32353919744491577,-0.001788402791135013,3.779255712288432e-05,0.012944073416292667,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,4,0.5624999403953552,0.06022442877292633,-0.030241867527365685,-0.2008611410856247,-0.0011482832487672567,-1.9770841390709393e-06,0.008031870238482952,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,5,0.6875,0.06022447347640991,-0.01534524466842413,-0.10192032158374786,-0.0005983307491987944,-8.214433364628348e-06,0.004075267352163792,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,6,0.8125,0.060224395245313644,-0.003357700537890196,-0.022301264107227325,-0.00013479424524120986,-2.843826450771303e-06,0.0008919545798562467,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.01981290802359581,0.01981290802359581,-0.17086589336395264,0.13755115866661072,7,0.9374999403953552,0.060224439948797226,0.004729804582893848,0.031414519995450974,0.00020108287571929395,5.952776064077625e-06,-0.0012573635904118419,-0.034690553376241495
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,0,0.06250004470348358,0.055815763771533966,-0.23596179485321045,-1.691004753112793,0.008861464448273182,0.01696070469915867,0.06110789254307747,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,1,0.18750007450580597,0.05581570416688919,-0.10445035994052887,-0.7485374808311462,-0.0027040960267186165,0.0008826593402773142,0.0261205043643713,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,2,0.3125000298023224,0.055815689265728,-0.06612025201320648,-0.47384706139564514,-0.0021014881785959005,0.00019122129015158862,0.016492482274770737,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,3,0.4374999701976776,0.055815715342760086,-0.04310226067900658,-0.308889776468277,-0.0014689118834212422,4.135570634389296e-05,0.010739847086369991,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,4,0.5625000596046448,0.055815767496824265,-0.026205196976661682,-0.18779779970645905,-0.0009251339943148196,2.920464567068848e-06,0.006526702083647251,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,5,0.6875,0.0558156780898571,-0.012859995476901531,-0.09216044843196869,-0.00046747701708227396,-5.160461114428472e-06,0.0032027792185544968,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,6,0.8124999403953552,0.0558156780898571,-0.0022232281044125557,-0.015932641923427582,-8.341852662852034e-05,-1.6634837720630458e-06,0.0005538198747672141,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,0.03217676281929016,0.03217676281929016,-0.10815156251192093,0.17825168371200562,7,0.9374999403953552,0.055815793573856354,0.004948689602315426,0.035464439541101456,0.00019585639529395849,5.447806870506611e-06,-0.0012337167281657457,0.05633850955790514
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,0.08091291785240173,0.08091291785240173,-0.049361925572156906,0.21640515327453613,0,0.0625000149011612,0.05168291553854942,-0.23753000795841217,-1.8383638858795166,0.010225736536085606,0.017835669219493866,0.05789608508348465,0.14167096986688396
0.08,32,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,0.08091291785240173,0.08091291785240173,-0.049361925572156906,0.21640515327453613,1,0.1875000149011612,0.05168287083506584,-0.10139089077711105,-0.7847155928611755,-0.0023175624664872885,0.0009311483590863645,0.02380133420228958,0.14167096986688396
