time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.125,-0.12668219208717346,-0.20269151031970978,-0.005133945029228926,-0.0,0.4404062330722809,5.329283237457275,3.342981699461234e-06,0.06212502345442772,-0.09069201350212097,-0.3261663019657135,-0.001090609235689044,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875,0.125,-0.053347669541835785,-0.08535627275705338,0.005092839244753122,0.0,0.18520888686180115,5.3220295906066895,3.880138592649018e-06,-0.1463441699743271,0.034231822937726974,-0.3261663019657135,-0.005453046411275864,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125,0.1250000149011612,-0.03186965361237526,-0.05099144205451012,0.0034527129027992487,0.0,0.11062945425510406,5.321380615234375,4.4903322304890025e-06,-0.16607874631881714,0.1591557115316391,-0.3261663019657135,-0.00981548335403204,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375000298023224,0.1250000298023224,-0.01915523037314415,-0.030648361891508102,0.0021524394396692514,0.0,0.06649184226989746,5.321228504180908,5.189519470150117e-06,-0.17225605249404907,0.28407958149909973,-0.3261663019657135,-0.014177920296788216,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625,0.12499988079071045,-0.009833353571593761,-0.015733379870653152,0.0011256933212280273,0.0,0.03413364291191101,5.321228504180908,6.054928235244006e-06,-0.17548877000808716,0.4090034067630768,-0.3261663019657135,-0.018540358170866966,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6874999403953552,0.1250000298023224,-0.003249525325372815,-0.00519923958927393,0.00038153730565682054,0.0,0.011279935017228127,5.321298122406006,7.275392363226274e-06,-0.17998984456062317,0.5339272022247314,-0.3261663019657135,-0.022902794182300568,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8124999403953552,0.12499997019767761,-0.0021599573083221912,-0.0034559322521090508,0.0002674089337233454,0.0,0.007497942075133324,5.321423530578613,8.72636792337289e-06,-0.1897849142551422,0.6588510274887085,-0.3261663019657135,-0.027265232056379318,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9374999403953552,0.1250000298023224,-0.008596222847700119,-0.013753954321146011,0.0010927498806267977,0.0,0.029843781143426895,5.322027206420898,8.47205774334725e-06,-0.19486954808235168,0.7837749123573303,-0.3261663019657135,-0.03162766993045807,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.125,-0.12611722946166992,-0.2017875611782074,-0.004533948842436075,-0.0,0.39409172534942627,5.329250335693359,8.720691766939126e-06,0.0613119937479496,-0.09069201350212097,-0.9455074667930603,-0.001090609235689044,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875,0.125,-0.052975185215473175,-0.08476029336452484,0.004546972457319498,0.0,0.16531258821487427,5.322022438049316,1.0062501132779289e-05,-0.14638382196426392,0.034231822937726974,-0.9455074667930603,-0.005453046411275864,-0.18910149335861207
