time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,power,rotational_power,translational_power
0.0625,5,0.02245130920410156,0.00016446301341056823,0.0,0.08223151,0.0,11.225655,-2.4333867034292966e-06,4.423896235987565,1.8325994096367315e-08,11.225654602050781,0.08223150670528412,50.0,10.0,-4.866773406858593e-10,0.00884779247197513,3.665198819273463e-12,9.103678166866303e-11,0.0032369503974914553,-6.737536750733853e-13,2.1078219413757324,-2.1078206543274995,0.0,280,-0.4380485228255959,0.0,-0.4380485228255959
0.125,10,0.11561335754394532,0.0011112358570098877,0.0,0.5556179,0.0,57.80668,4.859097662013312e-06,17.045184125266815,-7.249587509472466e-08,57.806678771972656,0.5556179285049438,50.0,10.0,9.718195324026623e-10,0.03409036825053363,-1.4499175018944932e-11,-9.223818778991699e-10,0.005194918155670166,-6.221234798431396e-11,5.78217077255249,-5.782097953612368,0.0,560,-5.5561792850494385,0.0,-5.5561792850494385
0.1875,15,0.1360098114013672,0.0012148442268371583,0.0,0.6074221,0.0,68.004906,-7.2601512313141825e-06,18.472939188845483,1.2039985611972392e-07,68.0049057006836,0.6074221134185791,50.0,10.0,-1.4520302462628365e-09,0.03694587837769097,2.4079971223944784e-11,5.304813385009766e-10,0.0029535284042358396,-9.499490261077882e-12,6.80194091796875,-6.80169515527841,0.0,840,-6.074221134185791,0.0,-6.074221134185791
0.25,20,0.1466852264404297,0.0012055188417434692,0.0,0.6027594,0.0,73.34261,2.777571119771949e-06,19.360501537576184,-1.081128394517239e-07,73.34261322021484,0.6027594208717346,50.0,10.0,5.555142239543897e-10,0.03872100307515237,-2.162256789034478e-11,1.0913610458374024e-08,0.0020615220069885253,5.932524800300599e-11,7.335590839385986,-7.335132827255505,0.0,1120,-6.027594208717346,0.0,-6.027594208717346
0.3125,25,0.15324453735351562,0.0011750483512878418,0.0,0.5875242,0.0,76.62227,-6.975880622483999e-06,19.953253925039746,2.399888451021237e-07,76.62226867675781,0.5875241756439209,50.0,10.0,-1.3951761244967997e-09,0.039906507850079494,4.7997769020424744e-11,-5.427002906799317e-09,0.001608474373817444,8.847564458847046e-12,7.6634521484375,-7.662753403472805,0.0,1400,-5.875241756439209,0.0,-5.875241756439209
0.375,30,0.15762428283691407,0.001143315076828003,0.0,0.57165754,0.0,78.81214,-1.4032551437281882e-05,20.368640675434452,2.4882738026976714e-07,78.81214141845703,0.5716575384140015,50.0,10.0,-2.8065102874563765e-09,0.040737281350868904,4.976547605395343e-11,-4.747509956359863e-09,0.0013452776670455932,6.696209311485291e-11,7.882341384887695,-7.8813897351908,0.0,1680,-5.716575384140015,0.0,-5.716575384140015
0.4375,35,0.1606984405517578,0.001115231990814209,0.0,0.557616,0.0,80.34922,5.67766019710092e-06,20.67002370125052,-9.093261191250868e-08,80.3492202758789,0.5576159954071045,50.0,10.0,1.135532039420184e-09,0.041340047402501044,-1.8186522382501734e-11,6.133317947387696e-09,0.0011802045106887816,-6.547197699546814e-11,8.035982131958008,-8.034759359694531,0.0,1960,-5.576159954071045,0.0,-5.576159954071045
0.5,40,0.16293576049804687,0.001091562271118164,0.0,0.54578114,0.0,81.46788,1.1782861453646376e-05,20.89454630278975,-1.1871580612998756e-07,81.46788024902344,0.545781135559082,50.0,10.0,2.356572290729275e-09,0.041789092605579496,-2.374316122599751e-11,1.0648369789123535e-08,0.0010704787969589233,-1.8905848264694213e-11,8.147784233093262,-8.146284816317122,0.0,2240,-5.45781135559082,0.0,-5.45781135559082
0.5625,45,0.16461195373535156,0.0010719161033630371,0.0,0.53595805,0.0,82.30598,-1.117711240716801e-05,21.066074970459344,4.849336825707429e-07,82.30597686767578,0.5359580516815186,50.0,10.0,-2.235422481433602e-09,0.042132149940918684,9.698673651414858e-11,-8.592009544372559e-09,0.0009949601888656616,8.44709575176239e-11,8.23155689239502,-8.229766966701,0.0,2520,-5.3595805168151855,0.0,-5.3595805168151855
0.625,50,0.16589285278320312,0.001055660367012024,0.0,0.5278302,0.0,82.94643,-7.709817344547787e-07,21.19917053174681,-1.222720569793445e-07,82.94642639160156,0.527830183506012,50.0,10.0,-1.5419634689095574e-10,0.04239834106349362,-2.4454411395868902e-11,6.3300132751464845e-09,0.0009413598775863647,-5.913898348808289e-11,8.29555892944336,-8.293476652224093,0.0,2800,-5.27830183506012,0.0,-5.27830183506012
