-5.472e-2,1.005e+0
6.566e-1,1.08e+0
1.423e+0,1.072e+0
2.079e+0,1.042e+0
2.845e+0,9.973e-1
3.502e+0,1.05e+0
4.159e+0,1.058e+0
4.87e+0,1.011e+0
5.527e+0,9.947e-1
6.347e+0,9.973e-1
6.949e+0,9.92e-1
7.825e+0,9.708e-1
8.427e+0,1.013e+0
9.083e+0,1.013e+0
9.685e+0,9.947e-1
1.045e+1,1e+0
1.116e+1,1.008e+0
1.193e+1,1.029e+0
1.259e+1,9.947e-1
1.324e+1,1.013e+0
1.395e+1,9.735e-1
1.466e+1,9.973e-1
1.538e+1,9.841e-1
1.609e+1,8.966e-1
1.685e+1,9.231e-1
1.746e+1,8.753e-1
1.822e+1,8.143e-1
1.899e+1,7.851e-1
1.959e+1,7.241e-1
2.03e+1,6.923e-1
2.101e+1,6.34e-1
2.167e+1,5.809e-1
2.238e+1,5.332e-1
2.315e+1,5.358e-1
2.38e+1,4.748e-1
2.451e+1,4.244e-1
2.523e+1,3.501e-1
2.594e+1,2.546e-1
2.659e+1,2.202e-1
2.731e+1,2.095e-1
2.802e+1,2.175e-1
2.867e+1,2.042e-1
2.938e+1,1.883e-1
3.004e+1,2.016e-1
3.081e+1,1.91e-1
3.157e+1,1.83e-1
3.223e+1,1.618e-1
3.289e+1,1.194e-1
3.36e+1,-2.653e-3
