time,step,kinetic_energy,enstrophy,enstrophy_test,dEdt,neg_nu_enstrophy,helicity,strength_magnitude,strength_x,strength_y,strength_z,impulse_x,impulse_y,impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles,max_gamma,turbulent_viscosity_mean,turbulent_viscosity_max,effective_viscosity_mean,effective_viscosity_max,invariant_projection_correction_ratio,core_radius_mean,overlap_ratio,overlap_ratio_max,vorticity_divergence_error,strength_misalignment_deg,stabilization_events,stabilization_last_mechanism,stabilization_circulation_error,stabilization_strength_growth,stabilization_vorticity_growth,stabilization_max_vorticity_growth
0.5,10,1.7343372106552124,61.25363540649414,41.23426055908203,0.0,-0.11557300388813019,0.0,6.191967487335205,0.0,0.0,6.191971302032471,0.0006977107259444892,0.00360120483674109,0.0,-0.0027504018507897854,-0.0015363055281341076,-0.033606551587581635,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,0.8457591368632027,1.793667218850748,0.26675662733126987,0.0,0,none,0.0,0.0,0.0,0.0
1.0,20,1.6782665252685547,49.30263900756836,34.932796478271484,-0.11214137077331543,-0.09302390366792679,0.0,6.191967964172363,0.0,0.0,6.191954135894775,-0.003525099018588662,0.004090218339115381,0.0,0.00460876664146781,0.006403177976608276,-0.04245569184422493,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,0.9019446173554126,2.4011036108677906,0.33257872702422286,0.0,0,none,0.0,0.0,0.0,0.0
1.5,30,1.6412923336029053,43.49482345581055,31.3458194732666,-0.07394838333129883,-0.08206559717655182,0.0,6.191954135894775,0.0,0.0,6.1919450759887695,-0.0006527617806568742,-8.10889177955687e-05,0.0,0.0015325929271057248,0.014513588510453701,-0.05029724910855293,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,0.9668337566110913,3.1225432304654825,0.31939481356691646,0.0,0,none,0.0,0.0,0.0,0.0
2.0,40,1.6071149110794067,38.568199157714844,28.179134368896484,-0.06835484504699707,-0.07277035713195801,0.0,6.191947937011719,0.0,0.0,6.1919145584106445,0.0008170392247848213,-0.0012311312602832913,0.0,-0.0030965162441134453,0.02160678431391716,-0.05804627761244774,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.0090895512403073,4.25572235639041,0.3754880729324333,0.0,0,none,0.0,0.0,0.0,0.0
2.5,50,1.5754549503326416,34.40790939331055,25.456087112426758,-0.06331992149353027,-0.06492055207490921,0.0,6.191956996917725,0.0,0.0,6.191959857940674,-0.0017411787994205952,-0.0008706349181011319,0.0,0.0002279319305671379,0.024054186418652534,-0.06678485125303268,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.0596822678490336,3.775690239615418,0.4252870255414261,0.0,0,none,0.0,0.0,0.0,0.0
3.0,60,1.5528779029846191,31.70058250427246,23.682016372680664,-0.04515409469604492,-0.059812381863594055,0.0,6.191979885101318,0.0,0.0,6.191962242126465,-0.003921573515981436,-0.004749109968543053,0.0,-0.00709149707108736,0.01781718246638775,-0.07381631433963776,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.1069267085650876,3.422878962045919,0.39944721512080156,0.0,0,none,0.0,0.0,0.0,0.0
3.5,70,1.5276694297790527,29.002614974975586,21.73018455505371,-0.05041694641113281,-0.05472202226519585,0.0,6.191951274871826,0.0,0.0,6.191953659057617,-0.0032924492843449116,-0.005322142969816923,0.0,-0.01263086125254631,0.014831454493105412,-0.08212628960609436,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.133272164332563,3.574217838218389,0.42244487234274125,0.0,0,none,0.0,0.0,0.0,0.0
4.0,80,1.5026270151138306,26.297990798950195,19.925888061523438,-0.050084829330444336,-0.04961879551410675,0.0,6.191941738128662,0.0,0.0,6.191977024078369,-0.003363079624250531,-0.0065028066746890545,0.0,-0.0014027375727891922,0.006236297078430653,-0.09035040438175201,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.1594203258030265,3.452522394501569,0.4282990585167086,0.0,0,none,0.0,0.0,0.0,0.0
4.5,90,1.48125159740448,24.388256072998047,18.45020866394043,-0.04275083541870117,-0.04601567983627319,0.0,6.191975116729736,0.0,0.0,6.191985130310059,-0.0031194763723760843,-0.0016211423790082335,0.0,6.708319415338337e-05,0.01372072659432888,-0.0988890677690506,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.1891343261409393,4.16940610494788,0.42254842408888504,0.0,0,none,0.0,0.0,0.0,0.0
5.0,100,1.465927004814148,23.179485321044922,17.459199905395508,-0.030649185180664062,-0.04373495280742645,0.0,6.1919426918029785,0.0,0.0,6.191943645477295,-0.004580594599246979,0.001886933110654354,0.0,-0.00021286928677000105,0.01665213704109192,-0.10564007610082626,2898,0.009026321582496166,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.07500000298023224,1.2065756748834506,3.666403401069926,0.45080330023718207,0.0,0,none,0.0,0.0,0.0,0.0
