flow_time,time_step,center0_x,center0_y,center1_x,center1_y,separation,a_c0,a_c1,a_c_mean,angle_rad,merged
0.0,0,7.88380816813581e-05,2.9121940673472836e-05,nan,nan,nan,0.11365300696501893,nan,0.11365300696501893,nan,True
0.5,10,-0.0056480216591725295,0.017497171702590717,nan,nan,nan,0.1362765787096853,nan,0.1362765787096853,nan,True
1.0,20,0.007794333315027291,-0.013121206397279834,nan,nan,nan,0.14997924788574304,nan,0.14997924788574304,nan,True
1.5,30,0.005224066841614669,0.008248973080699721,nan,nan,nan,0.163838056900837,nan,0.163838056900837,nan,True
2.0,40,0.0014250334653648417,0.009223120524630606,nan,nan,nan,0.18804740653972898,nan,0.18804740653972898,nan,True
2.5,50,-0.005099572383270311,0.008371033900225264,nan,nan,nan,0.1915252757552702,nan,0.1915252757552702,nan,True
3.0,60,0.005441226615458781,-0.015776650096606944,nan,nan,nan,0.19424355011426062,nan,0.19424355011426062,nan,True
3.5,70,0.036516271578184364,-0.014156917150088141,nan,nan,nan,0.21159346598968284,nan,0.21159346598968284,nan,True
4.0,80,0.04645007945603273,0.019814087910389546,nan,nan,nan,0.21748020846544158,nan,0.21748020846544158,nan,True
4.5,90,0.017077738863983002,0.03991161084927202,nan,nan,nan,0.2275861829346687,nan,0.2275861829346687,nan,True
5.0,100,0.009749107232870107,0.022314507221775515,nan,nan,nan,0.2023902445216932,nan,0.2023902445216932,nan,True
5.5,110,0.010430817743749274,0.029874096728025927,nan,nan,nan,0.213014079702754,nan,0.213014079702754,nan,True
6.0,120,0.00640683983645279,0.04592526291018,nan,nan,nan,0.2012309163003419,nan,0.2012309163003419,nan,True
6.5,130,-0.03428944796590464,0.05645538600108772,nan,nan,nan,0.18406089302248585,nan,0.18406089302248585,nan,True
7.0,140,-0.06821657033587654,0.007817636737856803,nan,nan,nan,0.17789407273299737,nan,0.17789407273299737,nan,True
7.5,150,-0.0524206924252826,-7.517110395245589e-05,nan,nan,nan,0.22160785528383523,nan,0.22160785528383523,nan,True
8.0,160,-0.019718355352967093,-0.021012607294772136,nan,nan,nan,0.25151213142595263,nan,0.25151213142595263,nan,True
8.5,170,-0.01869263042173306,-0.030545763349857865,nan,nan,nan,0.28643603228918424,nan,0.28643603228918424,nan,True
9.0,180,0.023745998250787572,-0.03919401485896573,nan,nan,nan,0.27562973317938166,nan,0.27562973317938166,nan,True
9.5,190,0.06466934157534289,-0.024373419689235173,nan,nan,nan,0.3065380036003255,nan,0.3065380036003255,nan,True
10.0,200,0.0855757016795808,0.009606806046612704,nan,nan,nan,0.3222489521604353,nan,0.3222489521604353,nan,True
10.5,210,0.06114080017187718,0.0014065109279213872,nan,nan,nan,0.2767496006221832,nan,0.2767496006221832,nan,True
11.0,220,0.030334172183407008,0.0033228751089793397,nan,nan,nan,0.28326227666939485,nan,0.28326227666939485,nan,True
11.5,230,0.019400365352996378,0.019624120405345828,nan,nan,nan,0.28917243004122933,nan,0.28917243004122933,nan,True
12.0,240,0.038794866489676394,0.014830042242151443,nan,nan,nan,0.3006976478880935,nan,0.3006976478880935,nan,True
12.5,250,0.03093114557673541,0.02204639530804585,nan,nan,nan,0.2836005376870787,nan,0.2836005376870787,nan,True
13.0,260,0.0029796366247559964,0.04557585827600047,nan,nan,nan,0.29658202978108,nan,0.29658202978108,nan,True
13.5,270,-0.002807412586771945,0.04380910166993483,nan,nan,nan,0.3142242738444304,nan,0.3142242738444304,nan,True
14.0,280,0.0076928503821192835,0.025714476613491334,nan,nan,nan,0.2914092846037669,nan,0.2914092846037669,nan,True
14.5,290,-0.01476418060273745,0.02846165492472526,nan,nan,nan,0.29791033779105963,nan,0.29791033779105963,nan,True
