time,step,accepted_time_step_size,body_id,force_x,force_y,force_z,drag_coefficient,lift_coefficient,slip_error
0.06,3,0.02,cylinder,213.5482257345117,-0.00034356064963936197,-0.0006774252470888057,26.693528216813963,-4.2945081204920246e-05,0.034750644005060484
0.1,5,0.02,cylinder,166.884226957156,-2.1300698988882105e-05,-0.00031522229389955583,20.8605283696445,-2.662587373610263e-06,0.18845056496853332
0.16,8,0.02,cylinder,14.231928657024133,-7.891431715673536e-05,-0.00010749364614815155,1.7789910821280166,-9.86428964459192e-06,0.13901440753045627
0.19999999999999998,10,0.02,cylinder,-11.9385786430641,-0.00029649038996539066,1.9424444521904406e-05,-1.4923223303830124,-3.706129874567383e-05,0.03521544577642509
0.25999999999999995,13,0.02,cylinder,4.739076689145555,-7.790947960631585e-05,1.2896888969420427e-05,0.5923845861431943,-9.73868495078948e-06,0.02079667778105891
0.3,15,0.02,cylinder,12.361001452855408,2.7516820721313175e-05,5.1212373675887446e-06,1.545125181606926,3.439602590164147e-06,0.01830391833011512
0.36000000000000004,18,0.02,cylinder,13.213832475553156,4.354533798245121e-05,-9.074494469041353e-06,1.6517290594441445,5.443167247806401e-06,0.0040520555669453975
0.4000000000000001,20,0.02,cylinder,12.057558809749064,7.67714597295993e-06,-1.242570940623948e-07,1.507194851218633,9.596432466199913e-07,0.00360832414276591
0.46000000000000013,23,0.02,cylinder,11.082199665670961,1.1561628865760498e-05,5.288849902238501e-06,1.3852749582088701,1.4452036082200622e-06,0.003127460054472584
0.5000000000000001,25,0.02,cylinder,10.925710584418864,2.5292158571846485e-05,1.420581955557999e-06,1.365713823052358,3.1615198214808106e-06,0.0028437327016798135
0.5600000000000002,28,0.02,cylinder,10.926767552620317,2.340563064188579e-05,-4.779339827972074e-07,1.3658459440775397,2.9257038302357237e-06,0.0027123780253164543
0.6000000000000002,30,0.02,cylinder,10.929675699141864,2.7858345144609456e-05,2.5767006151344614e-06,1.366209462392733,3.482293143076182e-06,0.002622016580645811
0.6600000000000003,33,0.02,cylinder,10.900936613216398,3.001539397742042e-05,-4.89755839349941e-07,1.3626170766520498,3.7519242471775525e-06,0.0025681071343559275
0.7000000000000003,35,0.02,cylinder,10.8968511665709,3.393013134056842e-05,8.622081877176924e-07,1.3621063958213624,4.241266417571053e-06,0.002486702772592484
0.7600000000000003,38,0.02,cylinder,10.92190914331574,3.804922020173536e-05,1.2745066248811113e-06,1.3652386429144674,4.75615252521692e-06,0.0023917591024575804
0.8000000000000004,40,0.02,cylinder,10.979992965198266,4.069038164871588e-05,-6.220036459405243e-07,1.3724991206497832,5.086297706089485e-06,0.0023282505919934153
0.8600000000000004,43,0.02,cylinder,11.042461429432624,4.357882684346266e-05,5.346777955445775e-07,1.380307678679078,5.447353355432832e-06,0.0022782208177979696
0.9000000000000005,45,0.02,cylinder,11.106016768318852,4.3042804387062166e-05,-7.597164412944966e-07,1.3882520960398566,5.380350548382771e-06,0.0022396314063799954
0.9600000000000005,48,0.02,cylinder,11.186232865997667,4.815324500787385e-05,3.259564113356438e-07,1.3982791082497084,6.019155625984231e-06,0.0022119915157548468
1.0000000000000004,50,0.02,cylinder,11.228705214742714,4.8958165083839625e-05,1.0193294451957685e-06,1.4035881518428392,6.119770635479953e-06,0.002187053695281194
1.0600000000000005,53,0.02,cylinder,11.312669107981256,5.151331364578154e-05,1.3506975995405871e-07,1.414083638497657,6.4391642057226925e-06,0.002134427184099282
1.1000000000000005,55,0.02,cylinder,11.37245402597605,5.5773387254988936e-05,-1.893921898737657e-08,1.4215567532470061,6.971673406873617e-06,0.0021245053367371825
1.1600000000000006,58,0.02,cylinder,11.44909258047993,5.931435559648144e-05,3.268001574388457e-07,1.4311365725599912,7.41429444956018e-06,0.002098551129740946
1.2000000000000006,60,0.02,cylinder,11.50352144430632,5.833670373327985e-05,3.2284137632104387e-07,1.43794018053829,7.292087966659982e-06,0.002076612470832987
1.2600000000000007,63,0.02,cylinder,11.563297871196376,5.948067033404776e-05,-3.290932723974056e-06,1.445412233899547,7.43508379175597e-06,0.0020592151828513145
1.3000000000000007,65,0.02,cylinder,11.621740850713522,6.901850843071307e-05,2.4584529849983926e-06,1.4527176063391902,8.627313553839133e-06,0.0020496982886372066
1.3600000000000008,68,0.02,cylinder,11.689715764464596,7.320639427196087e-05,-3.6195525753958243e-07,1.4612144705580745,9.150799283995108e-06,0.002017853402746124
1.4000000000000008,70,0.02,cylinder,11.72198066709777,6.860296144111294e-05,5.087850705865803e-07,1.4652475833872212,8.575370180139117e-06,0.002017595839001273
1.4600000000000009,73,0.02,cylinder,11.77782259151692,7.022303528404251e-05,-4.6842638908553915e-07,1.472227823939615,8.777879410505314e-06,0.002001225223839719
1.5000000000000009,75,0.02,cylinder,11.81807695432732,7.799871083197994e-05,-1.3577308905125606e-06,1.477259619290915,9.749838853997493e-06,0.001998002016063229
1.560000000000001,78,0.02,cylinder,11.853333584438277,7.409697367866781e-05,3.018391372046113e-07,1.4816666980547846,9.262121709833476e-06,0.0019894949318083194
1.600000000000001,80,0.02,cylinder,11.876802905949296,7.666070663950422e-05,3.274169188105744e-07,1.484600363243662,9.582588329938028e-06,0.0019579154923736594
1.660000000000001,83,0.02,cylinder,11.918066042990455,8.788804743391915e-05,5.668307600756325e-07,1.489758255373807,1.0986005929239893e-05,0.0019599931665840297
1.700000000000001,85,0.02,cylinder,11.927252574107165,9.502309682051088e-05,-1.0767921283845898e-07,1.4909065717633956,1.187788710256386e-05,0.0019534904759444965
1.7600000000000011,88,0.02,cylinder,11.942375635430707,0.00010715724164572587,8.956842367297871e-08,1.4927969544288384,1.3394655205715733e-05,0.0019510842044512904
1.8000000000000012,90,0.02,cylinder,11.9552651827637,0.00010178117923179413,-4.293319154851266e-08,1.4944081478454625,1.2722647403974266e-05,0.0019396860357716393
1.8600000000000012,93,0.02,cylinder,11.939101453201749,0.00010602176354455731,3.3294449477837877e-07,1.4923876816502186,1.3252720443069664e-05,0.0019363153422415147
1.9000000000000012,95,0.02,cylinder,11.93368328034811,0.00010610535311686561,7.876133785609009e-08,1.4917104100435137,1.3263169139608201e-05,0.0019341601897517626
1.9600000000000013,98,0.02,cylinder,11.907972848789422,0.00011074586979226576,-5.087467232112058e-07,1.4884966060986777,1.384323372403322e-05,0.0019199121396514553
2.0000000000000013,100,0.02,cylinder,11.894159993986396,0.0001108263434204162,-6.149719556024915e-06,1.4867699992482994,1.3853292927552024e-05,0.00192078318330607
2.0600000000000014,103,0.02,cylinder,11.870383905780677,0.00010683613312009786,-2.992738898739867e-07,1.4837979882225847,1.3354516640012233e-05,0.0019178906370386757
2.1000000000000014,105,0.02,cylinder,11.851991461663374,0.00011652021956016449,-1.5169843866595029e-07,1.4814989327079218,1.456502744502056e-05,0.001917590374955594
2.1600000000000015,108,0.02,cylinder,11.809822171048644,0.00011919125675599113,1.1279789660567498e-07,1.4762277713810805,1.4898907094498892e-05,0.0019163521150926564
2.2000000000000015,110,0.02,cylinder,11.774764521970408,0.00011862001717998194,-1.2585739695912343e-07,1.471845565246301,1.4827502147497742e-05,0.0019143390679631802
2.2600000000000016,113,0.02,cylinder,11.72881420762356,0.00013243241712340367,-1.7380224439705752e-07,1.466101775952945,1.655405214042546e-05,0.0019082901530583724
2.3000000000000016,115,0.02,cylinder,11.701183988853977,0.00015483565030055118,-1.8365922467514538e-07,1.462647998606747,1.9354456287568897e-05,0.001901985873467747
2.3600000000000017,118,0.02,cylinder,11.655661647190069,0.00013899085222374705,-2.2547113962536778e-07,1.4569577058987586,1.737385652796838e-05,0.0018968923925164896
2.4000000000000017,120,0.02,cylinder,11.627537158672467,0.00012426448296437283,-3.0937498039998996e-07,1.4534421448340584,1.5533060370546604e-05,0.0018961026857658055
