figure,time,rms_percent,sampled_max_percent,covered_area_D2,valid_nodes
coupled_fvm_vpm_fields,1.0,1.6139084077528074,29.205589151046006,9.258300108146667,1239
coupled_fvm_vpm_fields,2.0,1.5564231864344904,27.11657141663215,9.258300108146667,1239
coupled_fvm_vpm_fields,3.0,1.5436006266879543,25.47728777054166,9.258300108146667,1239
coupled_fvm_vpm_fields,4.0,1.4556295587655939,24.956797252440953,9.258300108146667,1239
coupled_fvm_vpm_fields,5.0,1.4353970597311225,24.269757436329165,9.258300108146667,1239
coupled_fvm_vpm_fields,6.0,1.3932156849372956,23.09340055130743,9.258300108146667,1239
coupled_fvm_vpm_fields,7.0,1.4201793931158015,22.846838818714055,9.258300108146667,1239
coupled_fvm_vpm_fields,8.0,1.7369712548999583,22.71473258295868,9.258300108146667,1239
coupled_fvm_vpm_fields,9.0,1.5978357697777699,22.524378124768404,9.258300108146667,1239
coupled_fvm_vpm_fields,10.0,1.6347637329741662,22.11652232439436,9.258300108146667,1239
coupled_fvm_vpm_fields,11.0,1.6961739633056225,21.898466918348017,9.258300108146667,1239
coupled_fvm_vpm_fields,12.0,1.8313335793433514,21.757217016586146,9.258300108146667,1239
coupled_fvm_vpm_fields,13.0,2.088661003298712,21.858132371911488,9.258300108146667,1239
