time,step,kinetic_energy,enstrophy,enstrophy_test,dEdt,neg_nu_enstrophy,helicity,strength_magnitude,strength_x,strength_y,strength_z,impulse_x,impulse_y,impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles,max_gamma,turbulent_viscosity_mean,turbulent_viscosity_max,effective_viscosity_mean,effective_viscosity_max,invariant_projection_correction_ratio,core_radius_mean,overlap_ratio,overlap_ratio_max,vorticity_divergence_error,strength_misalignment_deg,stabilization_events,stabilization_last_mechanism,stabilization_circulation_error,stabilization_strength_growth,stabilization_vorticity_growth,stabilization_max_vorticity_growth
0.5,10,1.720593810081482,50.48410415649414,28.313247680664062,0.0,-0.09525314718484879,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.000910640403162688,-0.0004828206729143858,0.0,2.0662046154029667e-06,1.761947260092711e-06,-0.04039808362722397,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.1281789243221283,0.7387770892831407,0.8740237970596175,0.019827606295288108,0.0,0,none,0.0,0.0,0.0,0.0
1.0,20,1.6769880056381226,42.16840362548828,25.469215393066406,-0.08721160888671875,-0.07956305146217346,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0009478081483393908,-0.0004899598425254226,0.0,9.850757123786025e-06,5.571593646891415e-06,-0.04828374832868576,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.14213873445987701,0.6446893666080376,0.8239380282016892,0.02279979036609533,0.0,0,none,0.0,0.0,0.0,0.0
1.5,30,1.6401276588439941,36.20134735107422,23.144729614257812,-0.07372069358825684,-0.06830449402332306,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008873625774867833,-0.0005600123549811542,0.0,3.318971721455455e-06,3.4912209230242297e-06,-0.05615248531103134,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.15484511852264404,0.5756483544754576,0.7644791510764691,0.025325108827342114,0.0,0,none,0.0,0.0,0.0,0.0
2.0,40,1.608182430267334,31.70701789855957,21.207120895385742,-0.06389045715332031,-0.059824615716934204,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008991019567474723,-0.0005409111618064344,0.0,6.25527354713995e-06,-3.2079406082630157e-06,-0.06401536613702774,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.16658511757850647,0.5306470375488133,0.7156743288743358,0.02833943343374567,0.0,0,none,0.0,0.0,0.0,0.0
2.5,50,1.5799915790557861,28.199176788330078,19.566558837890625,-0.0563817024230957,-0.05320597440004349,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0009116308065131307,-0.0005023142439313233,0.0,5.793393938802183e-06,-9.678322385298088e-06,-0.07187636941671371,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.1775505244731903,0.49715039599229155,0.6651201299011213,0.031229231623025544,0.0,0,none,0.0,0.0,0.0,0.0
3.0,60,1.5547680854797363,25.38519287109375,18.159543991088867,-0.05044698715209961,-0.047896608710289,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008795307367108762,-0.0005143346497789025,0.0,5.629339284496382e-06,-1.0864270734600723e-05,-0.07973652333021164,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.18787698447704315,0.47030311692141236,0.628415712265711,0.03383159525684274,0.0,0,none,0.0,0.0,0.0,0.0
3.5,70,1.5319476127624512,23.077795028686523,16.939424514770508,-0.04564094543457031,-0.0435430109500885,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008466198923997581,-0.0005094591761007905,0.0,5.452362529467791e-06,-1.2769229215336964e-05,-0.0875965803861618,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.19766472280025482,0.4458896714926288,0.6011326377210451,0.036295973304041856,0.0,0,none,0.0,0.0,0.0,0.0
4.0,80,1.5111156702041626,21.151538848876953,15.871289253234863,-0.04166388511657715,-0.03990854695439339,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008801977965049446,-0.0005058738170191646,0.0,7.683243893552572e-06,-1.2665465874306392e-05,-0.09545683860778809,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.20699012279510498,0.42256287806542886,0.5648513989018279,0.03873660129684545,0.0,0,none,0.0,0.0,0.0,0.0
4.5,90,1.4919545650482178,19.519271850585938,14.928449630737305,-0.03832221031188965,-0.03682878613471985,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008723719511181116,-0.0005202431930229068,0.0,1.3404285709839314e-05,-1.406939554726705e-05,-0.10331729799509048,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.21591311693191528,0.40196635879285636,0.5279983371909905,0.041129137640246616,0.0,0,none,0.0,0.0,0.0,0.0
5.0,100,1.4742186069488525,18.11860466003418,14.090133666992188,-0.03547191619873047,-0.034186024218797684,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.000858956016600132,-0.0005040469695813954,0.0,1.4781540812691674e-05,-1.7333179130218923e-05,-0.11117803305387497,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.2244817018508911,0.38320059499043185,0.5041164485143199,0.04349589525057963,0.0,0,none,0.0,0.0,0.0,0.0
5.5,110,1.4577139616012573,16.90359878540039,13.339914321899414,-0.03300929069519043,-0.031893566250801086,0.0,6.249996662139893,0.0,0.0,6.249996662139893,-0.0008500631665810943,-0.00048818046343512833,0.0,1.3736782420892268e-05,-1.660478301346302e-05,-0.11903877556324005,470,0.04837760701775551,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.2327350527048111,0.36684089789697644,0.49075930491587516,0.04588998933182287,0.0,0,none,0.0,0.0,0.0,0.0
