time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_y,linear_impulse_z,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,-0.4999999991220521,3.284780573415732e-18,-2.2103736278558696e-18,1.0062724018617417,3.122010157905931,9.911004608984534,-1.2791891569434444e-17,3.74049749507499e-17,9.911004608984534,1.0041947159435873,19.739208843917687,0.0,0.0,0.0,0.0050813902554742215
0.0,0,1,0.49999999912206355,3.284780573415732e-18,-2.2103736278558696e-18,1.0062724018617417,3.122010157905931,9.911004608984534,9.754431420580523e-18,-7.213671391996523e-17,9.911004608984534,1.0041947159435873,19.739208843917687,0.0,0.0,0.0,0.0050813902554742215
0.075,10,0,-0.4094374375322777,1.4556936480683068e-06,1.266341250892941e-06,0.984597400670959,3.121276825267203,9.485517455570452,-8.188841517780706e-06,4.7810251659535255e-06,9.485517455575192,0.9824720002380575,19.309491676662148,5.834576289417532e-06,-1.1176315722782881e-05,1.1004684409857135e-05,0.007105174497228745
0.075,10,1,0.587811348081615,9.239688083086745e-07,1.056010189031786e-06,1.0273881110267613,3.1232959009298935,10.336882997158238,1.4457785396922226e-06,5.6751582637426414e-06,10.336882997159897,1.0253970434026967,20.16171796801323,-1.7592719346673242e-06,-3.3386704564319913e-06,-1.6363460501461757e-06,0.007257197984660325
0.15,20,0,-0.3164839202732653,2.3677701079400745e-06,3.2799855241497727e-06,0.9626955970647759,3.118796162361133,9.057238588269612,-3.199534250652973e-05,-1.0651749688058818e-05,9.057238588332389,0.960218256290284,18.864958105096246,1.0216256439110058e-05,-1.1999541435554761e-05,1.9867399240453e-05,0.006237810029254859
0.15,20,1,0.6726692479063904,2.393541624293715e-06,3.3197033387405857e-06,1.0485547966423685,3.1236387064589186,10.765959839151765,-1.3535428388059479e-05,1.1877507494887672e-05,10.765959839166825,1.0462873045424779,20.5793567262571,9.426540525548244e-07,5.34885793455897e-07,5.440163465569858e-06,0.006661674010044121
0.225,30,0,-0.22133621119961366,-2.6313240405432006e-06,-5.544773213726448e-07,0.9405234685304706,3.11499224327123,8.626633055273121,-3.192796752737061e-05,-3.6114821052386557e-07,8.626633055332213,0.9372702799186454,18.4079944497568,1.0957320802541402e-05,-3.4836806119334374e-06,2.0871387141352393e-06,0.005480590850035041
0.225,30,1,0.754314506350236,-7.703300465810893e-07,8.913016719684031e-07,1.069695106793513,3.1229371166623476,11.197026407017926,-2.3414517230854265e-06,3.6125431763719535e-05,11.197026407076448,1.0669144108509159,20.98954947688124,2.8353183311145835e-06,1.3167643028957898e-05,-3.119289214995047e-06,0.006374683790521922
0.3,40,0,-0.12337010220419542,-1.474738936503184e-08,-3.2117474312935332e-06,0.9173198977954352,3.1111692399656286,8.193022056422762,-3.510907395550236e-05,3.397406239623454e-06,8.193022056498693,0.9137971538266897,17.931817848608834,1.1305256167023006e-05,-7.100193201194094e-07,-4.480582375628039e-06,0.005259139171327623
0.3,40,1,0.8330411043719805,-1.0329126750666239e-07,1.4188157536037203e-06,1.0902258602443342,3.122160005953704,11.631146735902673,9.761594162682703e-06,6.007726625619716e-05,11.631146736061925,1.0876797084501264,21.387080490148264,6.9846426042838305e-06,2.291885392976395e-05,-8.659923478222115e-06,0.005933782626091214
