time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_y,linear_impulse_z,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,-0.4999999991220521,3.284780573415732e-18,-2.2103736278558696e-18,1.0062724018617417,3.122010157905931,9.911004608984534,-1.2791891569434444e-17,3.74049749507499e-17,9.911004608984534,1.0041947159435873,19.739208843917687,0.0,0.0,0.0,0.0050813902554742215
0.0,0,1,0.49999999912206355,3.284780573415732e-18,-2.2103736278558696e-18,1.0062724018617417,3.122010157905931,9.911004608984534,9.754431420580523e-18,-7.213671391996523e-17,9.911004608984534,1.0041947159435873,19.739208843917687,0.0,0.0,0.0,0.0050813902554742215
0.075,10,0,-0.4089255920593802,7.332130763135889e-07,9.271738049008497e-07,0.9847342865364453,3.1207149740833033,9.486162493149251,-1.5975985445471727e-05,2.8124655392301793e-06,9.486162493163121,0.9825791009381667,19.30869989826922,6.150197222025305e-06,-7.525008525612054e-06,-9.74175225498114e-07,0.006928846734083932
0.075,10,1,0.5884775475046522,1.3492473347427817e-06,1.341630702132841e-06,1.027574052538382,3.1225541144559434,10.337747813169035,5.417248855458264e-06,1.2830571796176121e-05,10.337747813178416,1.0255408353934488,20.160577631630513,-4.0107423349057146e-06,1.1020253226096816e-06,1.2087096528876073e-06,0.007006090135714184
0.15,20,0,-0.3156670313962724,3.070571057708691e-06,6.401062216697332e-07,0.9629218438929066,3.1175536610557515,9.058367247746215,-3.921220504571687e-05,-1.4940249523375157e-05,9.058367247843407,0.9604949261367404,18.861874230356563,1.1646128758263088e-05,-4.8694306619207406e-06,7.274460743229849e-06,0.006108538728350437
0.15,20,1,0.6737468714170245,2.3208230356441627e-06,2.7752337215246496e-06,1.0488265828346184,3.121985054354982,10.767251083323842,-8.981863184602437e-06,1.8545702949871532e-05,10.76725108334356,1.04669575309457,20.573793390314307,-3.9326540243123575e-06,1.0044544938227207e-05,-4.2334604594129743e-07,0.006463318599567984
0.225,30,0,-0.22031028651033768,-1.5055277831781462e-07,4.2726993151749176e-07,0.940784705130979,3.112784113148303,8.627918339746568,-3.928845762366595e-05,-8.75150125678453e-06,8.627918339840459,0.9378144147722423,18.40005485933128,1.2236311436912713e-05,1.0176157626134996e-06,-2.151341998046785e-06,0.005296840530507357
0.225,30,1,0.7556808108168314,1.1126807371580649e-06,1.7021180852807843e-06,1.0700122501391565,3.1203328615662227,11.198560222757763,-5.883299998522083e-06,4.4944388908185185e-05,11.1985602228495,1.0676346062191162,20.97826383224442,-4.265514133190625e-06,2.0770728779328368e-05,-2.289815260909933e-06,0.00606245507048363
0.3,40,0,-0.12228897542016229,-3.171312798782839e-06,-6.944285301077032e-08,0.9176874898446645,3.108423315357229,8.194466850031793,-4.4596614595153203e-05,-8.323733595265582e-06,8.194466850157374,0.9143992493059296,17.923170554606962,1.1304713309930937e-05,1.0090028820242125e-05,-2.0858675934931625e-05,0.005088763008738549
0.3,40,1,0.8345295818434232,9.496099066278765e-07,2.5759806384029673e-06,1.0906898360554336,3.119643942493823,11.63272381728973,5.740095495907662e-06,6.525016451521826e-05,11.632723817474146,1.0882414142498067,21.378939755740348,-1.290862001336341e-06,3.504545434935072e-05,-1.2661234618674064e-05,0.0056216983058905955
