time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,12.166666,6.6,0.0,6.998043,-0.0015305663,4.0298328e-05,-4.256327520124614e-05,6.728246808052063e-05,1.1152609658893198e-05
0.06,10,12.333332,6.6,0.0,6.9980907,-0.0014750733,4.1421503e-05,6.17701152805239e-05,6.029766518622637e-05,-5.401521775638685e-06
0.06,10,12.5,6.6,0.0,6.998137,-0.0014219309,4.2275526e-05,5.745550151914358e-05,0.00012851267820224166,2.4853405193425715e-05
0.06,10,12.666668,6.6,0.0,6.998182,-0.0013703074,4.3510925e-05,6.376008968800306e-06,2.3348431568592787e-05,-1.8025290046352893e-05
0.06,10,12.833332,6.6,0.0,6.9982257,-0.0013216289,4.3826643e-05,-3.1275005312636495e-05,-2.3467582650482655e-06,7.052272849250585e-06
0.06,10,13.0,6.6,0.0,6.998268,-0.0012749702,4.394073e-05,-3.548688255250454e-05,8.71592783369124e-05,-3.4892545954789966e-06
0.06,10,13.166668,6.6,0.0,6.9983096,-0.0012302379,4.3905806e-05,1.0747346095740795e-05,0.00010029191616922617,1.321420495514758e-05
0.06,10,13.333334,6.6,0.0,6.9983497,-0.0011873553,4.3747947e-05,0.00011885369895026088,1.3454817235469818e-05,-4.304234607843682e-06
0.06,10,13.5,6.6,0.0,6.998389,-0.001146329,4.349416e-05,-2.8098351322114468e-05,1.3305863831192255e-05,3.16244058922166e-05
0.06,10,13.666666,6.6,0.0,6.9984264,-0.001106864,4.3120235e-05,4.076457116752863e-05,1.2994103599339724e-05,-1.662142858549487e-05
0.06,10,13.833332,6.6,0.0,6.998463,-0.0010689916,4.2643398e-05,3.8048019632697105e-06,2.7334201149642467e-05,2.016397047555074e-06
0.06,10,14.0,6.6,0.0,6.998499,-0.0010326433,4.2092986e-05,-2.1165324142202735e-05,4.060100764036179e-06,-1.7062249753507785e-05
0.06,10,14.166668,6.6,0.0,6.9985337,-0.0009977462,4.147552e-05,-2.5469809770584106e-05,9.649258572608232e-06,1.2316868378547952e-06
0.06,10,14.333332,6.6,0.0,6.998567,-0.00096412865,4.2037107e-05,-1.7538259271532297e-05,-3.7167512346059084e-05,-2.2991553123574704e-06
0.06,10,14.5,6.6,0.0,6.9986005,-0.0009319743,4.1266903e-05,-9.47125954553485e-06,6.172957364469767e-05,-2.9911610909039155e-05
0.06,10,14.666668,6.6,0.0,6.998632,-0.0009010552,4.0446408e-05,-1.3344339095056057e-05,-8.913426427170634e-06,9.705028787720948e-06
0.06,10,14.833334,6.6,0.0,6.998663,-0.0008715897,4.0645245e-05,-2.696760930120945e-06,-7.855647709220648e-06,-2.6444136892678216e-05
0.06,10,15.0,6.6,0.0,6.9986925,-0.0008432837,4.1944906e-05,2.750856219790876e-05,2.1326181013137102e-05,1.825026993174106e-05
0.06,10,15.166666,6.6,0.0,6.998722,-0.0008158008,4.093768e-05,7.14372145012021e-05,3.245717380195856e-05,-2.350553586438764e-05
0.06,10,15.333332,6.6,0.0,6.998751,-0.00078939646,3.9942097e-05,-4.145674756728113e-05,-3.9683771319687366e-05,1.6812999092508107e-05
0.06,10,15.5,6.6,0.0,6.9987783,-0.0007639961,3.8956292e-05,-5.327255348674953e-05,1.3478915207087994e-05,-1.0446190572110936e-05
0.06,10,15.666668,6.6,0.0,6.998806,-0.000739559,3.7948135e-05,-2.4095672415569425e-05,1.1109106708317995e-05,-1.2077871360816061e-06
0.06,10,15.833332,6.6,0.0,6.998832,-0.0007160495,3.6959304e-05,-5.3823605412617326e-05,1.0551593732088804e-05,-1.2051586963934824e-05
0.06,10,16.0,6.6,0.0,6.998858,-0.0006934277,3.5961857e-05,3.0411232728511095e-05,-2.340134233236313e-05,3.300085154478438e-06
0.06,10,16.166668,6.6,0.0,6.998883,-0.00067164475,3.500958e-05,-1.0808405932039022e-05,-0.00010919704800471663,-5.096358108858112e-06
0.06,10,16.333334,6.6,0.0,6.998907,-0.0006506751,3.4044497e-05,1.564298872835934e-05,-3.007223131135106e-05,1.6542795492568985e-05
0.06,10,16.5,6.6,0.0,6.998931,-0.0006304846,3.311038e-05,4.357821308076382e-05,-1.158175291493535e-05,1.5656861251045484e-05
