time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,pressure_jump_coefficient_type,panel_force_x,panel_force_y,panel_force_z,panel_force_units,force_density,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,relative_velocity_units,bound_x,bound_y,bound_z,span_coordinate_normalized
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,0,0.08333322405815125,0.09896688908338547,-2.680344581604004,-21.404743194580078,circulation_proxy,8.48592472076416,-7.215606689453125,5.693817615509033,N,1.225,8.536285400390625,-2.415998935699463,2.844791889190674,7.485380172729492,-0.07924113422632217,-0.0011775634484365582,m/s,-0.16013817489147186,-1.0223186016082764,-0.6956790685653687,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,1,0.24999992549419403,0.09896694123744965,-1.1198840141296387,-27.177717208862305,circulation_proxy,15.66138744354248,-4.993260383605957,4.912003517150879,N,1.225,14.948283195495605,-4.496467590332031,4.521443843841553,2.100036144256592,1.5832313299179077,-1.8204838037490845,m/s,-0.12245860695838928,-0.9430657625198364,-0.7414359450340271,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,2,0.41666659712791443,0.09896700829267502,-0.744814395904541,-31.80105209350586,circulation_proxy,19.054641723632812,-6.171414852142334,5.171590805053711,N,1.225,18.509214401245117,-5.926178455352783,4.977445602416992,1.5463190078735352,1.9508748054504395,-1.8799281120300293,m/s,-0.0847790390253067,-0.8638129234313965,-0.7871928811073303,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,3,0.5833332538604736,0.09896691888570786,-0.5849884152412415,-35.591712951660156,circulation_proxy,21.617904663085938,-7.368463039398193,5.100884437561035,N,1.225,21.162944793701172,-7.189486980438232,4.974628448486328,1.3604474067687988,2.1910228729248047,-1.7964203357696533,m/s,-0.047099463641643524,-0.7845600843429565,-0.8329498171806335,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,4,0.75,0.09896700829267502,-0.5161319971084595,-39.0216178894043,circulation_proxy,23.842544555664062,-8.573445320129395,4.803475379943848,N,1.225,23.427751541137695,-8.418075561523438,4.711655616760254,1.2581462860107422,2.3786065578460693,-1.6587605476379395,m/s,-0.00941989291459322,-0.7053072452545166,-0.878706693649292,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_0,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_0:orig:0,orig,0,-1.1065503358840942,1.1065503358840942,-1.2279490232467651,-0.9848408102989197,5,0.9166666865348816,0.09896691143512726,-0.48277685046195984,-42.26664733886719,circulation_proxy,25.89541244506836,-9.826703071594238,4.340065002441406,N,1.225,25.51318359375,-9.667987823486328,4.264063835144043,1.3048405647277832,2.4537031650543213,-1.4382200241088867,m/s,0.028259679675102234,-0.6260544061660767,-0.9244636297225952,0.9514419920838167
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,0,0.08333323895931244,0.09711325913667679,-3.4962785243988037,-28.118595123291016,circulation_proxy,10.749147415161133,-10.179769515991211,7.035519123077393,N,1.225,11.223474502563477,-2.6224069595336914,2.8487043380737305,8.86509895324707,-0.3831641376018524,0.3127065598964691,m/s,-0.12907853722572327,-1.1361762285232544,-0.8923752307891846,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,1,0.2500000596046448,0.09711326658725739,-1.5938458442687988,-36.60329055786133,circulation_proxy,20.907485961914062,-5.648880481719971,5.142245292663574,N,1.225,20.081069946289062,-4.943673610687256,4.66102933883667,1.9778094291687012,1.2884345054626465,-1.5084296464920044,m/s,-0.09870711714029312,-1.0562925338745117,-0.9384964108467102,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,2,0.4166666567325592,0.09711331874132156,-1.108383297920227,-43.54175567626953,circulation_proxy,26.01739501953125,-6.906727313995361,5.513460159301758,N,1.225,25.344621658325195,-6.584717273712158,5.2847819328308105,1.310816764831543,1.5989903211593628,-1.6048338413238525,m/s,-0.06833569705486298,-0.9764088988304138,-0.9846175312995911,0.8610877949073384
0.006,1,blade_2,blade_2_RotorFlow_OpenVSP_Blade_0,RotorFlow_OpenVSP_Blade_0_segment_1,blade_2_RotorFlow_OpenVSP_Blade_0:RotorFlow_OpenVSP_Blade_0_segment_1:orig:0,orig,0,-1.3330210447311401,1.3330210447311401,-1.454651117324829,-1.2117726802825928,3,0.5833333730697632,0.09711326658725739,-0.8654569983482361,-49.12822723388672,circulation_proxy,29.867835998535156,-8.23784065246582,5.55967378616333,N,1.225,29.308839797973633,-8.017379760742188,5.4138641357421875,1.110386848449707,1.7896783351898193,-1.5509843826293945,m/s,-0.03796427696943283,-0.8965252041816711,-1.0307387113571167,0.8610877949073384
