time,step,reference_speed,R1,Rinf,edge_R1,edge_Rinf,interior_R1,interior_Rinf,collocation_R1,collocation_Rinf,off_grid_R1,off_grid_Rinf,independent_surface_R1,independent_surface_Rinf,two_sided_trace_R1,two_sided_trace_Rinf,transport_R1,transport_Rinf,transport_filter_radius,transport_operator,transport_filter_radii,boundary_filter_radius,stage_boundary_residual,stage_near_wake_elapsed,stage_near_wake_matrix_norm,n_probes,n_panels,n_edge_panels,blade_0_R1,blade_0_Rinf,blade_0_n_probes,blade_1_R1,blade_1_Rinf,blade_1_n_probes,blade_2_R1,blade_2_Rinf,blade_2_n_probes
0.006,1,1.0,8.815982789304309,181.78056780240058,11.720805153054314,181.78056780240058,6.9268875737078925,80.50670014584874,2.3696673741853514e-05,0.00011649230136693937,13.223962335619591,181.78056780240058,23.466372658550863,181.78056780240058,2.981552012688323,18.125312540277484,5.632183830295055,6.668573079077968,0.5681920647621155,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5681842565536499,0.5681920647621155,0.5682567358016968",1e-08,0.0,0.0,0.0,11088,396,156,8.815977255253626,181.7753312247564,3696,8.815983178154301,181.77176562849723,3696,8.815987934505,181.78056780240058,3696
0.012,2,1.0,8.786913524268247,181.63615725416523,11.68935553909478,181.63615725416523,6.8993661572044855,80.40781658206828,1.6440403458174623e-05,0.00010166271963637542,13.180362066200642,181.63615725416523,23.389526699357685,181.63615725416523,2.9711974330435944,18.080265474117653,5.61984987422911,6.666470923364302,0.5682013630867004,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5681893229484558,0.5682013630867004,0.5682567805051804",1e-08,0.0,0.0,0.0,11088,396,156,8.786910930084746,181.6252433064693,3696,8.786917783176355,181.6152208447039,3696,8.786911859543402,181.63615725416523,3696
0.018,3,1.0,8.756054226763299,181.4686301726098,11.657304809333969,181.4686301726098,6.869281938001713,80.29386641775143,1.861383321170023e-05,8.031567940075014e-05,13.134072033228344,181.4686301726098,23.307728339124807,181.4686301726098,2.9604157273318776,18.03785402676049,5.608005255923213,6.663452747225294,0.5682113766670227,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5681952238082886,0.5682113766670227,0.5682749152183533",1e-08,0.0,0.0,0.0,11088,396,156,8.756055246951826,181.46708456998894,3696,8.75607040543114,181.45435190443945,3696,8.756037027905679,181.4686301726098,3696
0.024,4,1.0,8.723843248348617,181.3019393070816,11.625100769506739,181.3019393070816,6.837066554308073,80.15956183915472,1.2297203427695666e-05,6.965970950603001e-05,13.085758723921211,181.3019393070816,23.222158993475002,181.3019393070816,2.94935845436742,18.000506298543712,5.596820283877851,6.6669675067195815,0.5682217478752136,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5681996941566467,0.5682217478752136,0.5682869404554367",1e-08,0.0,0.0,0.0,11088,396,156,8.723851038451372,181.3019393070816,3696,8.723845384439048,181.2924612004786,3696,8.723833322154984,181.29809248905102,3696
0.03,5,1.0,8.690806891101873,181.13272286345745,11.593242193770235,181.13272286345745,6.8032643391756435,80.01423950555764,1.0470812022632535e-05,5.085238812796433e-05,13.036205101246797,181.13272286345745,23.134206717339502,181.13272286345745,2.9382034851540864,17.970022226308938,5.586468753509955,6.674768904071424,0.5682321786880493,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5682055354118347,0.5682321786880493,0.5682953894138336",1e-08,0.0,0.0,0.0,11088,396,156,8.690811895427203,181.13272286345745,3696,8.690798549084828,181.12625328710655,3696,8.690810228793834,181.13215496553755,3696
0.036,6,1.0,8.65747814722175,180.96336046637398,11.562211868976728,180.96336046637398,6.768440726519542,79.85916200681598,1.2145587626477625e-05,5.628522380521361e-05,12.986211148038812,180.96336046637398,23.0452970920038,180.96336046637398,2.927125204073828,17.944013663227192,5.57711268589492,6.683820832605489,0.568241536617279,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5682112127542496,0.5682415366172791,0.5683071464300156",1e-08,0.0,0.0,0.0,11088,396,156,8.657492079471544,180.96270822797044,3696,8.65744900721066,180.9463141265782,3696,8.657493354985608,180.96336046637398,3696
0.042,7,1.0,8.624408122671824,180.80238816982393,11.532497628578176,180.80238816982393,6.733188389285467,79.69553328038903,9.231145894702501e-06,6.141267074927237e-05,12.93660756843479,180.80238816982393,22.95691697798753,180.80238816982393,2.9162981588820514,17.92332336847405,5.568907606969963,6.69400655281108,0.568253755569458,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5682174563407898,0.568253755569458,0.5683191418647766",1e-08,0.0,0.0,0.0,11088,396,156,8.624422241999532,180.79763343147013,3696,8.624362479766095,180.77543214960332,3696,8.624439646251714,180.80238816982393,3696
0.048,8,1.0,8.592098756438991,180.64476163724515,11.504514967307301,180.64476163724515,6.698065681756373,79.52196978752016,9.590418143496095e-06,5.820703396020033e-05,12.888143339449416,180.64476163724515,22.870412871820204,180.64476163724515,2.905873807078627,17.911259506465573,5.561950676005608,6.705195156747065,0.5682633221149445,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5682245641946793,0.5682633221149445,0.5683339983224869",1e-08,0.0,0.0,0.0,11088,396,156,8.592105897871974,180.63961525711875,3696,8.592054383877326,180.61427488710325,3696,8.592135987573643,180.64476163724515,3696
0.054,9,1.0,8.56100026987398,180.49386328419752,11.47859800569112,180.49386328419752,6.663597311200494,79.35254983520475,6.7993713454761056e-06,2.8730548063918282e-05,12.8414970051253,180.49386328419752,22.787003604494412,180.49386328419752,2.895990405756192,17.904200679290025,5.556319015566406,6.717244277140411,0.5682761073112488,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.5682321190834045,0.5682761073112488,0.5683480501174927",1e-08,0.0,0.0,0.0,11088,396,156,8.561003807923536,180.49386328419752,3696,8.560973394571269,180.46650612007016,3696,8.561023607132892,180.49369205401044,3696
0.06,10,1.0,8.531492819429147,180.36464310010828,11.454996471905387,180.36464310010828,6.630248912814555,79.18664289608101,8.344053389911397e-06,4.917375431996891e-05,12.797235057117023,180.36464310010828,22.70771282959062,180.36464310010828,2.886757284643432,17.90168247953719,5.552018188917583,6.730001206302924,0.5682875216007233,symmetric_pair_radius:GAUSSIAN:taichi_direct_reference,"0.568239763379097,0.5682875216007233,0.5683651119470596",1e-08,0.0,0.0,0.0,11088,396,156,8.531487085170165,180.36464310010828,3696,8.531471813021394,180.33041713280647,3696,8.531519560097632,180.3612139711277,3696
