time,step,vortex_centre_0_x,vortex_centre_0_y,vortex_centre_1_x,vortex_centre_1_y,vortex_separation,core_radius_0,core_radius_1,mean_core_radius,angle_radians,is_pair_unresolved,is_core_radius_0_boundary_limited,is_core_radius_1_boundary_limited,peak_saddle_contrast,peak_saddle_contrast_standard_error,peak_saddle_signal_to_noise,orientation_anisotropy,is_peak_coalesced
0.581999999994,18,0.07547748656499953,0.4995835508619036,0.07399615916338834,-0.4965989806435325,0.9961836328747073,0.1560974974076538,0.15893309052228285,0.15751529396496833,1.5693093238984028,False,False,False,nan,nan,nan,nan,False
1.163999999988,36,0.15712410432321053,0.4974010167298494,0.157471325662401,-0.4987770054075453,0.9961780826499999,0.19044918150727447,0.18344291957296247,0.18694605054011848,1.5711448802837442,False,False,False,nan,nan,nan,nan,False
1.745999999982,54,0.23919460267731638,0.503398476224957,0.2397627830505371,-0.500860333442688,1.0042589703975822,0.20191729514797752,0.20446119317141753,0.20318924415969752,1.5713620975973301,False,False,False,nan,nan,nan,nan,False
2.327999999976,72,0.31476259231567383,0.5022621154785156,0.31912901956741124,-0.5081805203058948,1.0104520700646276,0.21805689485731125,0.21288656156871244,0.21547172821301186,1.5751176013713724,False,False,False,nan,nan,nan,nan,False
2.90999999997,90,0.39177132504326956,0.5085120995839437,0.3926300413468305,-0.508250020532047,1.0167624827345147,0.23023697331232562,0.23673260728154283,0.23348479029693422,1.5716408862866431,False,False,False,nan,nan,nan,nan,False
3.491999999964,108,0.4673831719224171,0.5107298358794181,0.4649660146754721,-0.5112543287484542,1.0219870231070876,0.24737260470364236,0.23966867749350113,0.24352064109857174,1.5684311700503615,False,False,False,nan,nan,nan,nan,False
4.073999999958,126,0.5431035957714119,0.511358626998297,0.5439489026671475,-0.514058115412888,1.0254170908273934,0.25978570982228794,0.24695415385960692,0.2533699318409474,1.5716206810981712,False,False,False,nan,nan,nan,nan,False
4.655999999952,144,0.6149338472873793,0.515335476726567,0.6137749897806268,-0.5122089887920179,1.027545118994098,0.26479857567278425,0.26698707817079953,0.2658928269217919,1.569668534223074,False,False,False,nan,nan,nan,nan,False
5.237999999946,162,0.6888082512354446,0.5178341097750906,0.6883784454376971,-0.5159217705492114,1.0337559696747083,0.2708740746942591,0.27725232617557993,0.2740632004349195,1.5703805557398904,False,False,False,nan,nan,nan,nan,False
5.81999999994,180,0.7595289030740427,0.5178144015083017,0.760513411834836,-0.5169735737144947,1.0347884435589696,0.28664308167723757,0.28993719926773875,0.28829014047248813,1.571747737603017,False,False,False,nan,nan,nan,nan,False
6.401999999934,198,0.8326444869493916,0.5160850730255573,0.8312758772912687,-0.5192681333444414,1.0353541109364628,0.2961465489444019,0.30077319680821796,0.29845987287630993,1.5694744504993943,False,False,False,nan,nan,nan,nan,False
6.983999999928,216,0.9044746342632506,0.517626659737693,0.9049271753617933,-0.5188891337468073,1.036515892273847,0.30735400552649833,0.3044740104724038,0.30591400799945107,1.5712329251300432,False,False,False,nan,nan,nan,nan,False
7.565999999922,234,0.9744200056249445,0.5185770090524252,0.9732460170392169,-0.5189273404759287,1.0375050137418385,0.3303281380592468,0.32865798416900716,0.329493061114127,1.5696647767583105,False,False,False,nan,nan,nan,nan,False
8.147999999916,252,1.0468310430645942,0.5180823877453804,1.0477576226181124,-0.5182710034506661,1.0363538054126182,0.32077749389379107,0.323784580429039,0.32228103716141504,1.5716904033854646,False,False,False,nan,nan,nan,nan,False
8.72999999991,270,1.1193658092565704,0.5205734724189803,1.1176891217912945,-0.5194495718819755,1.0400243958474649,0.33168371488324927,0.33597641073164725,0.33383006280744826,1.5691841644280575,False,False,False,nan,nan,nan,nan,False
9.311999999904,288,1.1917156693655686,0.5193360944034001,1.191194789657176,-0.5186369275786186,1.0379731526769633,0.34926395540535915,0.34274834086115147,0.3460061481332553,1.570294502900019,False,False,False,nan,nan,nan,nan,False
9.893999999898,306,1.2638529205834994,0.5197015872565649,1.2631154436814158,-0.5181300263655814,1.0378318756454386,0.3605496328581614,0.3543276836945963,0.35743865827637883,1.570085732929499,False,False,False,nan,nan,nan,nan,False
10.475999999892,324,1.333888788415928,0.5187393463019169,1.3336670362769658,-0.5175845371418862,1.0363239071690165,0.3414997885306687,0.3457354848949932,0.34361763671283096,1.5705823472281601,False,False,False,nan,nan,nan,nan,False
11.057999999886,342,1.405991613286213,0.5190096457027694,1.407736297881249,-0.5180323194749284,1.0370434327760616,0.3554662093691521,0.3574995196866411,0.35648286452789657,1.5724786916437612,False,False,False,nan,nan,nan,nan,False
11.63999999988,360,1.4774340540863746,0.5197039315866869,1.4752538270728532,-0.5186945904132931,1.0384008108055258,0.3568635513036489,0.3705724648160465,0.36371800805984766,1.5686967246059396,False,False,False,nan,nan,nan,nan,False
12.221999999874,378,1.5485927878485786,0.5195954047309028,1.5482537735592234,-0.5205477833747864,1.0401432433532198,0.39287453249923204,0.3650784014613948,0.3789764669803134,1.570470396402594,False,False,False,nan,nan,nan,nan,False
12.803999999868,396,1.6181683684840347,0.5215802481680205,1.6164419742730947,-0.5216134857927632,1.0431951624753701,0.3622752879443224,0.38716046920143354,0.37471787857287797,1.569141415939228,False,False,False,nan,nan,nan,nan,False
13.385999999862,414,1.686555978655815,0.5221839398145676,1.6886869225043133,-0.5230229339839025,1.0452090460559824,0.39021248897399125,0.3800497281048788,0.385131108539435,1.572835101079129,False,False,False,nan,nan,nan,nan,False
13.967999999856,432,1.757066616645226,0.5223784610810067,1.7564172925227193,-0.5236067895395348,1.045985452163429,0.395376423953487,0.3869084949752576,0.3911424594643723,1.5701755493616463,False,False,False,nan,nan,nan,nan,False
14.54999999985,450,1.825305625796318,0.5250403778627515,1.8252734567604814,-0.5239852746327718,1.0490256529887652,0.41016224386087446,0.4118584494081303,0.4110103466345024,1.5707656611617442,False,False,False,nan,nan,nan,nan,False
15.131999999844,468,1.8931167872984018,0.5273786560812993,1.8923447872030323,-0.525105961437883,1.052484900651143,0.41380316365666003,0.4045465912368757,0.40917487744676784,1.5700628244290975,False,False,False,nan,nan,nan,nan,False
15.713999999838,486,1.9622356752915815,0.5285802303660999,1.9619424692440381,-0.5278176824688475,1.0563979535250054,0.4136778797608954,0.4130015330625038,0.4133397064116996,1.5705187741450362,False,False,False,nan,nan,nan,nan,False
16.295999999832,504,2.0292608729550534,0.5297928553232005,2.028600663366452,-0.5298435343822963,1.0596365953782458,0.41458893021816706,0.42890858273203575,0.4217487564751014,1.5701732739160172,False,False,False,nan,nan,nan,nan,False
16.877999999826,522,2.094344244068393,0.5305470264812379,2.0941395104136253,-0.5323357688602304,1.0628828150594791,0.4149790031235776,0.4448433251046924,0.429911164114135,1.5706037056958126,False,False,False,nan,nan,nan,nan,False
17.45999999982,540,2.1602846547512704,0.534619892719996,2.1606193845336503,-0.5332293389616786,1.0678492841441483,0.43405957371133397,0.41845394471327807,0.426256759212306,1.5711097884348788,False,False,False,nan,nan,nan,nan,False
18.041999999814,558,2.2243545101534936,0.5367378342536188,2.227073302816172,-0.5356860645481798,1.0724273451170445,0.4422057705708723,0.43279883142941317,0.43750230100014276,1.5733315060659219,False,False,False,nan,nan,nan,nan,False
18.623999999808,576,2.2872575759887694,0.538707335293293,2.289975132368788,-0.5397249497944796,1.078435709086227,0.4369224471744581,0.44052350793219164,0.4387229775533249,1.5733162352448649,False,False,False,nan,nan,nan,nan,False
19.205999999802,594,2.353026639498197,0.5404543260427622,2.3523731511316184,-0.5424690239223433,1.0829235471383432,0.4680729084797107,0.46810060055562924,0.46808675451767,1.570192878464711,False,False,False,nan,nan,nan,nan,False
19.787999999796,612,2.4154329256968454,0.5438160638551455,2.41729102907954,-0.5447509875884643,1.0885686372649246,0.442819821236062,0.43988766939334045,0.44135374531470123,1.5725032511186174,False,False,False,nan,nan,nan,nan,False
20.36999999979,630,2.47750998232406,0.5466984186558365,2.4782741020417074,-0.5466257495992988,1.09332443527515,0.454257071669288,0.4551823792649671,0.4547197254671276,1.5714952225253864,False,False,False,nan,nan,nan,nan,False
20.951999999784,648,2.537542653764997,0.5491369962692261,2.5403445391913086,-0.5496048675982701,1.0987454363850444,0.46639832861305885,0.4537752953530568,0.4600868119830578,1.5733464065224316,False,False,False,nan,nan,nan,nan,False
21.533999999778,666,2.5994442820549013,0.5505432426929474,2.599518017822437,-0.5512113289886647,1.1017545741490233,0.4536477800481172,0.46530320936933944,0.4594754947087283,1.5708632525597823,False,False,False,nan,nan,nan,nan,False
22.115999999772,684,2.658609371315943,0.5536832175842703,2.658301714339543,-0.5541901158504798,1.107873376152997,0.48323238767078125,0.504324903570415,0.49377864562059814,1.5705186263040487,False,False,False,nan,nan,nan,nan,False
22.697999999766,702,2.7172366412228377,0.5568254687798717,2.7178482362564576,-0.5566115214469585,1.1134371581970253,0.4883743841037737,0.48802656467873906,0.48820047439125636,1.5713456124549556,False,False,False,nan,nan,nan,nan,False
23.27999999976,720,2.7761736554423657,0.5591025221066213,2.777891093865037,-0.5586238584170738,1.117727699984811,0.48313611682571145,0.4939074754576877,0.48852179614169955,1.5723328719646172,False,False,False,nan,nan,nan,nan,False
23.861999999754,738,2.8343352663273715,0.5625776508632971,2.83407870443116,-0.5621912843398466,1.1247689644642676,0.48612142742578707,0.47670987671252896,0.48141565206915804,1.5705682249299429,False,False,False,nan,nan,nan,nan,False
24.443999999748,756,2.8889926869147304,0.5652867643584428,2.891361401265399,-0.564988911003246,1.1302781574117042,0.4854803067302494,0.4779826825856747,0.48173149465796206,1.5728920198497498,False,False,False,nan,nan,nan,nan,False
