time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.02,1,wing_0,1.0,N,N*m,30.18635417861595,3.0497337727860208,3.773294272326994,0.38121672159825265,4,-2.1951730816299206,0.0,-2.1951730816299206,3.0497337727860208,-0.18112029852049422,30.18635417861595,-7.3172436054330685,-18.39626699613116,0.6051505992664161,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0003135835082940242,-0.052263290880479596
0.02,1,wing_1,1.0,N,N*m,28.106414131959717,2.8509962937672437,3.513301766494965,0.3563745367209055,4,-2.159289835179144,0.0,-2.159289835179144,2.8509962937672437,-0.16864050848271714,28.106414131959717,-7.197632783930479,-61.67205236990578,0.33928983806162466,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0005864110917157274,0.0977340091276204
0.04,2,wing_0,1.0,N,N*m,1.3530692254182473,0.019930501298422484,0.16913365317728093,0.002491312662302811,4,-0.1074726116270752,0.0,-0.1074726116270752,0.019930501298422484,-0.016237610117787016,1.3530692254182473,-0.35824203875691735,-0.27502260481703117,-0.01897119661606716,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0006271557276156249,-0.052260468654305184
0.04,2,wing_1,1.0,N,N*m,1.2287205283627216,0.027186985528873348,0.15359006604534023,0.003398373191109169,4,-0.10516701523013401,0.0,-0.10516701523013401,0.027186985528873348,-0.014745354124145378,1.2287205283627216,-0.35055671743378003,-2.199521738922689,-0.03635795141340139,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.001172801072695462,0.0977287314752942
0.06,3,wing_0,1.0,N,N*m,1.3499650488047976,0.020315954953313557,0.16874563110059973,0.002539494369164195,4,-0.10741625515249474,0.0,-0.10741625515249474,0.020315954953313557,-0.024301995550699278,1.3499650488047976,-0.35805418384164917,-0.2761975323584501,-0.020442463301118353,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0009407053693986646,-0.05225576505690333
0.06,3,wing_1,1.0,N,N*m,1.218877125111,0.027346707668821295,0.15235964063887503,0.0034183384586026623,4,-0.10501064393777954,0.0,-0.10501064393777954,0.027346707668821295,-0.02194215805625633,1.218877125111,-0.35003547979259847,-2.1812100717072695,-0.04890460436670774,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0017591488329632423,0.09771993559918958
0.08,4,wing_0,1.0,N,N*m,1.3472593653374059,0.020704221903257124,0.16840742066717576,0.002588027737907141,4,-0.10736526268074346,0.0,-0.10736526268074346,0.020704221903257124,-0.032340434369949406,1.3472593653374059,-0.3578842089358116,-0.2775343016666405,-0.021943340660751435,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0012542211458900778,-0.05224918025760306
0.08,4,wing_1,1.0,N,N*m,1.2091240907947185,0.02750896031767483,0.15114051134933984,0.003438620039709354,4,-0.10485532781319201,0.0,-0.10485532781319201,0.02750896031767483,-0.029024551106889725,1.2091240907947185,-0.3495177593773067,-2.1631214625334256,-0.061241324518147296,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0023454332640630853,0.09770762181595712
0.1,5,wing_0,1.0,N,N*m,1.3449418829081672,0.021095178839527048,0.16811773536352093,0.0026368973549408814,4,-0.10731960343511772,0.0,-0.10731960343511772,0.021095178839527048,-0.040360365323390886,1.3449418829081672,-0.3577320114503924,-0.2790232090442696,-0.02347642577924087,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.001567691770555685,-0.052240714493456415
0.1,5,wing_1,1.0,N,N*m,1.1994549049551857,0.0276727435659582,0.14993186311939824,0.0034590929457447754,4,-0.10470095105053755,0.0,-0.10470095105053755,0.0276727435659582,-0.035994446130450275,1.1994549049551857,-0.3490031701684585,-2.145238714390166,-0.07337257352024415,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0029316332598186283,0.09769179056889173
