case,surface,final_leakage_R1,final_leakage_Rinf,final_transport_R1,final_transport_Rinf,final_stage_boundary_residual,final_stage_near_wake_elapsed,final_stage_near_wake_matrix_norm,event_rows
smooth_incident_plate,front_wing,0.1566085441945894,3.9980429896030625,0.1012786696093331,0.1263908209033251,6.106226635438361e-16,0.0049999999999999,0.8854384295204474,16
tandem_baseline,front_wing,0.1639476746684932,4.226682333855416,0.0486020920219422,0.1534327031053513,7.771561172376097e-16,0.0049999999999999,1.545978400174186,49
tandem_baseline,rear_wing,0.1639476746684932,4.226682333855416,0.0486020920219422,0.1534327031053513,7.771561172376097e-16,0.0049999999999999,1.545978400174186,49
timestep_half,front_wing,0.1638319759742666,4.224787915050629,0.0486038880622176,0.1534380535951753,6.661338147750939e-16,0.0024999999999999,1.5191849860626387,288
timestep_half,rear_wing,0.1638319759742666,4.224787915050629,0.0486038880622176,0.1534380535951753,6.661338147750939e-16,0.0024999999999999,1.5191849860626387,288
surface_refined,front_wing,0.1454163461505509,4.338021309575254,0.0515110322035679,0.159689188295676,1.2212453270876722e-15,0.0049999999999999,3.097686378809159,65
surface_refined,rear_wing,0.1454163461505509,4.338021309575254,0.0515110322035679,0.159689188295676,1.2212453270876722e-15,0.0049999999999999,3.097686378809159,65
particle_refined,front_wing,0.1639492623988971,4.226740360989709,0.0419993735172784,0.1715020898876461,6.661338147750939e-16,0.0049999999999999,1.5459781673128026,49
particle_refined,rear_wing,0.1639492623988971,4.226740360989709,0.0419993735172784,0.1715020898876461,6.661338147750939e-16,0.0049999999999999,1.5459781673128026,49
f32_cpu,front_wing,0.1639477267502571,4.22669821666967,0.0486021015816427,0.1534326747125796,4.172325134277344e-07,0.0049999999999999,1.545978368110747,48
f32_cpu,rear_wing,0.1639477267502571,4.22669821666967,0.0486021015816427,0.1534326747125796,4.172325134277344e-07,0.0049999999999999,1.545978368110747,48
lagged_control,front_wing,0.1639465913903025,4.2266941080515625,0.048599330300307,0.1534300975723636,0.0,0.0,0.0,49
lagged_control,rear_wing,0.1639465913903025,4.2266941080515625,0.048599330300307,0.1534300975723636,0.0,0.0,0.0,49
