case,surface,final_lift,peak_abs_lift,integrated_lift,final_drag,runtime_seconds
smooth_incident_plate,front_wing,0.9774586245789468,9.15710589723559,0.0506728226090726,0.0340507720580704,17.316862666000816
tandem_baseline,front_wing,1.0601739700753905,9.805817788849366,0.0543299587946237,0.0366741627015709,28.09196770899871
tandem_baseline,rear_wing,0.963217425427374,9.253802840687054,0.0510851013305721,0.042352254581585,28.09196770899871
timestep_half,front_wing,1.0716886008956084,18.570052567500195,0.0597411153953754,0.0383603958905346,54.45691475000058
timestep_half,rear_wing,0.9681730559462844,17.545946055957213,0.0560481917082989,0.0431559145532733,54.45691475000058
surface_refined,front_wing,0.8987262164330178,8.693081889318206,0.0479590405287561,0.031862921563621,43.73933995900006
surface_refined,rear_wing,0.8680670410292515,8.488296387257332,0.0467818171414329,0.0351195700887847,43.73933995900006
particle_refined,front_wing,1.0600443108429494,9.806081066212498,0.0543306268852772,0.0366511898478426,29.73306629199942
particle_refined,rear_wing,0.9632015457906232,9.25382996838276,0.0510851575708669,0.0423495684775684,29.73306629199942
f32_cpu,front_wing,1.060585618019104,9.806265830993652,0.0543342572450637,0.0373398251831531,28.294287832999544
f32_cpu,rear_wing,0.9658216834068298,9.256579399108888,0.0511120054125785,0.0451328381896019,28.294287832999544
lagged_control,front_wing,1.060145479992029,9.80583753805929,0.0543299150902565,0.0366700859068695,26.481012125001143
lagged_control,rear_wing,0.9630663636718326,9.253823931570928,0.0510844514762138,0.0423330732223378,26.481012125001143
