time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,11.711091995239258,1066.1917724609375,874.40185546875,0.0,direct_energy_backward_difference,-1.7005752325057983,-8.749339031055571e-09,19.764354705810547,0.0,-0.000469054095447,0.0036248427350074,9.890321731567385,-2.429260348435491e-09,3.2609023037366576e-08,5.7525539887137705e-11,0.0014733063289895,0.0075768143869936,8772,0.0069024204276502,0.0700000002980232,0.0700000077486038,0.0700000002980232,0.0009059700532816,0.0013805534690618,0.0019531673751771,0.0024277509655803,0.0,0.0700000002980232,0.4915589995243298,0.5636772492431459,0.0012893531966272,4.532931160073042e-07,0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,,,
0.1,5,11.279102325439451,890.7221069335938,753.3597412109375,-4.319896697998047,direct_energy_backward_difference,-1.353596806526184,1.366695505566895e-05,19.76793670654297,1.7847314666141756e-06,-0.0004796144203282,0.0036107008345425,9.895627975463867,-7.520593499066308e-05,-8.83999455254525e-05,-5.45608600077685e-07,0.0014875206397846,0.0075992965139448,8772,0.0071122958324849,0.073140725493431,0.075194627046585,0.0763966813683509,0.000759084650781,0.0012458693236112,0.0018062822055071,0.0022930668201297,0.0,0.0751946232932659,0.4205161654779136,0.5126367307319221,0.0056582083094757,4.064281444624678,0,0,none,0.0,0.0,0.0,0.0,0.4891036605834961,0.0,0.4891036605834961,0.3104598323645751,0.0071122958324849,217.66739285073697
0.2,10,10.981978416442873,786.689453125,677.6351318359375,-2.9712390899658203,direct_energy_backward_difference,-1.154911756515503,-0.0003690237936098,19.7705135345459,1.7001264041027753e-06,-0.0004863005597144,0.0036114875692874,9.899473190307615,-0.0001129163792938,-0.000157146321726,-2.3276534193428233e-06,0.0014898647787049,0.0076284441165626,8772,0.0072321449406445,0.0761449858546257,0.0797419026494026,0.0819034799933433,0.0006614886806346,0.0010993733303621,0.0017086862353608,0.0021465709432959,0.0,0.0797419023546749,0.3991949787376356,0.5376735934823801,0.008285579788116,3.286715356182192,0,0,none,0.0,0.0,0.0,0.0,0.4483207094669342,0.0,0.4483207094669342,0.2736153989978673,0.0072321449406445,221.33530030607952
0.3,15,10.754327774047852,716.0535278320312,624.709716796875,-2.276506423950196,direct_energy_backward_difference,-1.0232319831848145,0.0003533728304319,19.771812438964844,3.73886723536998e-06,-0.000487906509079,0.0036115078255534,9.902413368225098,-0.0001650198391871,-0.0002016366343013,3.382936483831145e-06,0.0014911985490471,0.0076599447056651,8772,0.007227114867419,0.0790780037641525,0.0838370695710182,0.0866818502545356,0.0005916284862905,0.0009256572811864,0.001638825982809,0.0019728548359125,0.0,0.0838370679631808,0.3920376086074777,0.5409117284905525,0.0072860726848911,3.444943333219177,0,0,none,0.0,0.0,0.0,0.0,0.3820672407746315,0.0,0.3820672407746315,0.2394073839780371,0.007227114867419,221.18135804177695
0.4,20,10.569214820861816,663.2949829101562,584.0711669921875,-1.851129531860351,direct_energy_backward_difference,-0.9328866600990297,0.0045808022841811,19.773988723754883,8.145469109877013e-06,-0.0004841475747525,0.0036075089592486,9.904789924621582,-0.0001629453763598,-0.0002347125700907,5.0353781261947006e-05,0.0015068049542605,0.0077243582345545,8772,0.0072525599971413,0.0818581581115722,0.0876061767339706,0.0908871218562126,0.0005470987525768,0.0008951987838372,0.0015942961908876,0.0019423962803557,0.0,0.0876061780615193,0.384973736586554,0.5395785649587231,0.0078121761613072,3.2440534635242746,0,0,none,0.0,0.0,0.0,0.0,0.361166418492794,0.0,0.361166418492794,0.2248639500303552,0.0072525599971413,221.9600904198815
0.5,25,10.412508964538574,621.891357421875,551.6782836914062,-1.5670585632324223,direct_energy_backward_difference,-0.8599317669868469,-0.0061414022929966,19.774391174316406,1.0163318620470818e-05,-0.000480046350276,0.0036067017354071,9.906752586364746,-0.0002240927424281,-0.0002693381393328,-8.371811418328434e-05,0.001524667837657,0.0077826576307415,8772,0.007241376210004,0.0845700874924659,0.0911271274089813,0.0949554368853569,0.000505112868268,0.0008082708809524,0.0015523104229941,0.0018554683774709,0.0,0.0911271279372828,0.3761416222882711,0.5415297528627844,0.0093209056796589,3.5020757177413864,0,0,none,0.0,0.0,0.0,0.0,0.3226436603069305,0.0,0.3226436603069305,0.2040058959169467,0.007241376210004,221.61781756654372
0.6,30,10.276229858398438,588.0791015625,524.8409423828125,-1.3627910614013674,direct_energy_backward_difference,-0.8000682592391968,0.0041795037686824,19.77581214904785,1.15818293124903e-05,-0.0004798175650648,0.0035997838713228,9.908365249633787,-0.0002250544494017,-0.0003266213461756,7.370828825514764e-05,0.0015502845635637,0.0078603308647871,8772,0.0072130397893488,0.0871805027127265,0.0944327190518379,0.0987737625837326,0.0004731391090899,0.0007448607939295,0.0015203366056084,0.0017920583486557,0.0,0.0944327250805908,0.3677845448544591,0.534828434989545,0.0093070390038066,2.7672154617897418,0,0,none,0.0,0.0,0.0,0.0,0.3191286385059357,0.0,0.3191286385059357,0.1956017411360046,0.0072130397893488,220.7505990267048
0.7,35,10.154926300048828,559.6342163085938,501.9994812011719,-1.213035583496094,direct_energy_backward_difference,-0.7527316212654114,-0.0103375650942325,19.77582359313965,1.2088486982975157e-05,-0.0004759374714922,0.0035920671653002,9.909782409667969,-0.0002947622560895,-0.00039753789315,-0.0001723439199849,0.0016072657890617,0.0079313926398754,8772,0.0071792746894061,0.0897463113069534,0.0975714325904846,0.1020580604672432,0.000442240096163,0.0007234896183945,0.0014894376508891,0.0017706870567053,0.0,0.0975714367523456,0.351580870442744,0.5342580680494246,0.0104666631036119,2.8976955564950115,0,0,none,0.0,0.0,0.0,0.0,0.2882244598865509,0.0,0.2882244598865509,0.1882949176841738,0.0071792746894061,219.71723913181685
0.8,40,10.04546070098877,535.150390625,482.0957946777344,-1.094655990600585,direct_energy_backward_difference,-0.716986894607544,0.0174875911325216,19.77691650390625,1.0993136129400227e-05,-0.0004792895924765,0.0035951260942965,9.91100025177002,-0.0002318460028618,-0.0003220284415874,0.0002325245877727,0.0015855873934924,0.0080013321712613,8772,0.007189234253019,0.0922000259160995,0.1005603149533271,0.1053116172552108,0.0004261549911461,0.0006878023850731,0.001473352429457,0.0017349999397993,0.0,0.1005603163114528,0.3424610890575371,0.5247808900429852,0.0142879769963628,2.8780145257774947,0,0,none,0.0,0.0,0.0,0.0,0.2832468426227569,0.0,0.2832468426227569,0.1741142048473646,0.007189234253019,220.02204538518689
0.9,45,9.945961952209473,513.7185668945312,464.5759887695313,-0.994987487792969,direct_energy_backward_difference,-0.6813251972198486,-0.0141632072627544,19.779048919677734,9.32307739276439e-06,-0.0004818139714188,0.0035949926823377,9.911996841430664,-0.0003490454982966,-0.0005195990670472,-0.0002015906211454,0.0017970991320908,0.0080601405352354,8772,0.0071482174098491,0.0946146324276924,0.1034202203154563,0.1084471121430397,0.0004026357200928,0.0006716741481795,0.0014498332748189,0.001718871644698,0.0,0.1034202215835499,0.3326023352008541,0.5218874587146011,0.0182626940478617,3.023270356197009,0,0,none,0.0,0.0,0.0,0.0,0.2779310989379883,0.0,0.2779310989379883,0.1716036322316478,0.0071482174098491,218.76675039661407
1.0,50,9.85319995880127,494.85595703125,449.0412902832031,-0.9276199340820316,direct_energy_backward_difference,-0.6462528705596924,0.0114668272435665,19.777050018310547,8.782593795331195e-06,-0.0004796622670255,0.0035962532274425,9.91292667388916,-0.0003869460779242,-0.0004932965966872,0.0001756171113811,0.0017897575162351,0.008121614344418,8772,0.0071637732908129,0.0969479531049728,0.106170006096363,0.111488476395607,0.0003825186868198,0.0006129097309894,0.0014297161251306,0.0016601071693003,0.0,0.1061700075479182,0.3218066174186434,0.5116831962896093,0.0199917325547199,3.016610365840008,0,0,none,0.0,0.0,0.0,0.0,0.2668301284313202,0.0,0.2668301284313202,0.167240572709444,0.0071637732908129,219.2428284637583
1.1,55,9.768148422241213,477.9197692871094,434.9619445800781,-0.8505153656005852,direct_energy_backward_difference,-0.6262327432632446,-0.0142729757353663,19.779645919799805,9.681523806648327e-06,-0.0004728064523078,0.0035941218957304,9.91377067565918,-0.0007028366089798,-0.0006928096991032,-0.0002009688760153,0.0020373398438096,0.0080257225781679,8772,0.0071697272360324,0.0992255732417106,0.1088157072663307,0.1142097190022468,0.0003697393694892,0.0006083931657485,0.0014169368660077,0.0016555907204747,0.0,0.1088157045832044,0.313963960809266,0.5003961130225173,0.0235574860495312,3.0391081561982345,0,0,none,0.0,0.0,0.0,0.0,0.2497082960605621,0.0,0.2497082960605621,0.1562198942296377,0.0071697272360324,219.4250452561461
1.2,60,9.688793182373049,462.4085693359375,422.0644226074219,-0.7935523986816417,direct_energy_backward_difference,-0.5999063849449158,0.0095680179074406,19.780961990356445,9.45488500292413e-06,-0.0004750081570819,0.00359778245911,9.91450309753418,-0.0004430281696841,-0.0007076062029227,0.0001974210172193,0.0019378521246835,0.0084902131929993,8772,0.0072278110310435,0.1014794781804084,0.111372672021389,0.1169180274009704,0.0003546998486854,0.0006093336851336,0.0014018972869962,0.0016565311234444,0.0,0.1113726660767226,0.3080344088062871,0.4907304187693979,0.0266426191944123,3.2410010802220053,0,0,none,0.0,0.0,0.0,0.0,0.2416836762428283,0.0,0.2416836762428283,0.1553841122600631,0.0072278110310435,221.2026636967605
1.3,65,9.61203670501709,448.3932495117187,410.2939147949219,-0.7675647735595696,direct_energy_backward_difference,-0.5731387734413147,-0.0139975873753428,19.779563903808594,9.691051673144102e-06,-0.0004731997614726,0.0035975940991193,9.91518783569336,-0.0004900728818029,-0.0007358585717156,-0.0001672304642852,0.0020446772687137,0.0086327269673347,8772,0.0073659452609717,0.1036429330706596,0.1138447299599647,0.1196467354893684,0.0003326658916193,0.0005776489269919,0.001379863359034,0.0016248463653028,0.0,0.1138447336173062,0.3016251178440217,0.4774953445389426,0.0245704764212163,2.9881391303714855,0,0,none,0.0,0.0,0.0,0.0,0.2323433208465576,0.0,0.2323433208465576,0.1467440265088571,0.0073659452609717,225.43017593754735
1.4,70,9.540814399719238,435.328857421875,399.2347106933594,-0.7122230529785166,direct_energy_backward_difference,-0.5663632154464722,0.0111974328756332,19.78207015991211,9.254319593310356e-06,-0.0004745470359921,0.0035972136538475,9.915740966796877,-0.0009502622997388,-0.0007750177755951,0.0001517547789262,0.0021845186129212,0.0079797152429819,8772,0.0072416821494698,0.1058064848184585,0.1162436753511428,0.1222835332155227,0.0003322899574413,0.0005585471517406,0.0013794874539598,0.0016057447064667,0.0,0.1162436674724851,0.294136963598868,0.4986214596477499,0.0292034764843589,2.997552478166382,0,0,none,0.0,0.0,0.0,0.0,0.2273587989807129,0.0,0.2273587989807129,0.14167633278966,0.0072416821494698,221.6271806537171
1.5,75,9.473355293273926,423.8913879394531,389.6334838867187,-0.6745910644531244,direct_energy_backward_difference,-0.5361226201057434,0.0120199732482433,19.77897834777832,8.535305823897943e-06,-0.0004708449705503,0.0035961566027253,9.916306495666504,-0.000493160681799,-0.0007436431478708,0.0004937247722409,0.0020909961313009,0.0090556740760803,8772,0.0073978081345558,0.1078946739435195,0.1185718402266502,0.1247784718871116,0.000312146556098,0.0005333534209057,0.0013593439944088,0.0015805509174242,0.0,0.118571832290236,0.2861733298096188,0.5252702274331327,0.026076305690778,3.212118757517038,0,0,none,0.0,0.0,0.0,0.0,0.2243044745922088,0.0,0.2243044745922088,0.1415924497329175,0.0073978081345558,226.40531937717924
