time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth
0.581625,18,1.7628151178359985,60.06083297729492,43.17774963378906,0.0,-0.11332247406244278,0.0,6.249338626861572,0.0,0.0,6.24933385848999,-0.0005156586994417012,0.00020822996157221496,0.0,-3.0144883567118086e-07,-2.118281372531783e-08,-0.0338917151093483,8538,0.0054223076440393925,0.0,0.0,0.0018867927137762308,0.0018867924809455872,0.0,0.08437500149011612,0.691504328920219,0.7948124950154302,0.014198497098194398,0.0,0,none,0.0,0.0,0.0,0.0
1.16325,36,1.7090613842010498,48.17803192138672,36.648887634277344,-0.09241991598529763,-0.09090153872966766,0.0,6.248612880706787,0.0,0.0,6.2486748695373535,-0.0005160481086932123,0.0002017320948652923,0.0,-2.656499020758929e-07,1.0588377108433633e-07,-0.04214612394571304,13070,0.0038913183379918337,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.08437500149011612,0.6910147982445436,0.7930139154427853,0.02269649208505066,0.0,0,none,0.0,0.0,0.0,0.0
1.744875,54,1.6653950214385986,40.26557540893555,31.8664608001709,-0.07507648873836435,-0.07597313821315765,0.0,6.248051643371582,0.0,0.0,6.248018264770508,-0.0005205373163335025,0.00021017280232626945,0.0,-1.319880539085716e-06,-2.624665285111405e-07,-0.05032312497496605,17177,0.003046696074306965,0.0,0.0,0.0018867927137762308,0.0018867924809455872,0.0,0.08437500149011612,0.6864389307157353,0.7878669018947536,0.02183775124637752,0.0,0,none,0.0,0.0,0.0,0.0
2.3265,72,1.6285114288330078,34.59720230102539,28.196083068847656,-0.06341473046308331,-0.06527888774871826,0.0,6.247462272644043,0.0,0.0,6.247492790222168,-0.0005253761191852391,0.0002096227544825524,0.0,-1.2423095085978275e-06,-5.2918039727956057e-08,-0.058455757796764374,21323,0.002524184063076973,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.08437500149011612,0.6842163557806122,0.7916736697818035,0.019472541103052264,0.0,0,none,0.0,0.0,0.0,0.0
2.908125,90,1.5965452194213867,30.331058502197266,25.284818649291992,-0.054960170920474664,-0.05722854658961296,0.0,6.246973991394043,0.0,0.0,6.2468976974487305,-0.000522178946994245,0.00020888920698780566,0.0,-1.5184942867563223e-06,-6.067944582355267e-07,-0.06656043976545334,25068,0.002150252927094698,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.08437500149011612,0.6800011121737964,0.7974681787052424,0.005207014377902958,0.0,0,none,0.0,0.0,0.0,0.0
3.48975,108,1.568366527557373,26.99901580810547,22.917705535888672,-0.048448212961983546,-0.05094125121831894,0.0,6.246296405792236,0.0,0.0,6.246225833892822,-0.000517612905241549,0.00020849115389864892,0.0,-1.206389697472332e-06,2.3026653650504159e-07,-0.07464797049760818,29140,0.0018706402042880654,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.08437500149011612,0.6793358469797544,0.7928214176342567,0.037805168365408835,0.0,0,none,0.0,0.0,0.0,0.0
4.071375,126,1.543108344078064,24.323829650878906,20.954700469970703,-0.04342692195024129,-0.04589346796274185,0.0,6.245748519897461,0.0,0.0,6.245715618133545,-0.0005255573778413236,0.00021709693828597665,0.0,-9.223986126016825e-07,-4.1291173147328664e-08,-0.08271783590316772,32853,0.0016574779292568564,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.08437500149011612,0.6769207267876649,0.8038351611313195,0.028365559718375937,0.0,0,none,0.0,0.0,0.0,0.0
4.653,144,1.4993951320648193,20.297582626342773,17.88720703125,-0.07515703763291579,-0.03829723596572876,0.0,6.244393348693848,0.0,0.0,6.244426250457764,-0.0005183289176784456,0.00020388227130752057,0.0,-1.7333470623270841e-06,-5.399134579420206e-07,-0.09881361573934555,40231,0.00134937500115484,0.0,0.0,0.001886792597360909,0.0018867924809455872,0.0,0.08437500149011612,0.6795209181572893,0.8047378068353689,0.033124852988211946,0.0,0,none,0.0,0.0,0.0,0.0
5.234625,162,1.4801684617996216,18.74029541015625,16.66398811340332,-0.033056815414051546,-0.03535958006978035,0.0,6.243838310241699,0.0,0.0,6.243809223175049,-0.0005142454756423831,0.00020922243129462004,0.0,-2.0166373815300176e-06,-6.379736987582874e-07,-0.10685694962739944,43987,0.0012348368763923645,0.0,0.0,0.0018867924809455872,0.0018867924809455872,0.0,0.08437500149011612,0.6785294807867664,0.8019594364282361,0.03178770449177737,0.0,0,none,0.0,0.0,0.0,0.0
5.81625,180,1.4623726606369019,17.40418815612793,15.59548568725586,-0.030596692306416904,-0.03283684328198433,0.0,6.243251323699951,0.0,0.0,6.243205547332764,-0.0005204157787375152,0.000211212201975286,0.0,-1.7884971157400287e-06,-7.123668410713435e-07,-0.11488720029592514,47382,0.0011384187964722514,0.0,0.0,0.0018867923645302653,0.0018867924809455872,0.0,0.08437500149011612,0.6792022394140569,0.8009141203542038,0.03519387153787895,0.0,0,none,0.0,0.0,0.0,0.0
