time,step,surface,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0625,5,flat_plate,66.49343872070312,2.899439573287964,0.13298687744140625,0.0057988791465759274,224,0.0,-15.445359971973534,-15.445359971973534,2.899439573287964,0.0,66.49343872070312,5.786512246030995e-07,-7.05915448544411,-3.665420596765667e-07,-0.12192298382986412,0.0,0.0,-5.3270156461507145,0.0,0.0,0.0,0.0,0.0,-0.12192298382986412,0.0,0.0,0.36715084314346313,-6.988644827288226e-07,-0.10395588725805283
0.125,10,flat_plate,342.1041259765625,19.609220504760742,0.684208251953125,0.03921844100952149,224,0.0,-196.09220504760742,-196.09220504760742,19.609220504760742,0.0,342.1041259765625,6.039992048556542e-05,-69.84922984593221,-8.825052878247419e-06,-0.6499999999999999,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-0.6499999999999999,0.0,0.0,-0.16092626750469208,-6.988644827288226e-07,-0.10395588725805283
0.1875,15,flat_plate,403.16107177734375,21.464717864990234,0.8063221435546875,0.04292943572998047,224,0.0,-214.64717864990234,-214.64717864990234,21.464717864990234,0.0,403.16107177734375,-4.668780987771015e-05,-91.36710999162764,1.3463037595418115e-05,-1.2750000000000004,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-1.2750000000000004,0.0,0.0,-0.785926342010498,-6.988644827288226e-07,-0.10395588725805283
0.25,20,flat_plate,435.2607727050781,21.307668685913086,0.8705215454101562,0.04261533737182617,224,0.0,-213.07668685913086,-213.07668685913086,21.307668685913086,0.0,435.2607727050781,4.951972068312216e-05,-101.76640916399532,-5.734042773419823e-05,-1.9000000000000006,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-1.9000000000000006,0.0,0.0,-1.410926342010498,-6.988644827288226e-07,-0.10395588725805283
0.3125,25,flat_plate,455.05120849609375,20.77968978881836,0.9101024169921875,0.04155937957763672,224,0.0,-207.7968978881836,-207.7968978881836,20.77968978881836,0.0,455.05120849609375,-0.0001743339970161628,-107.87837857411543,1.8287022960361554e-05,-2.5250000000000012,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-2.5250000000000012,0.0,0.0,-2.0359270572662354,-6.988644827288226e-07,-0.10395588725805283
0.375,30,flat_plate,468.2939453125,20.225290298461914,0.936587890625,0.04045058059692383,224,0.0,-202.25290298461914,-202.25290298461914,20.225290298461914,0.0,468.2939453125,0.0009759918834255643,-111.83907571557879,0.00010480861212514014,-3.1500000000000017,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-3.1500000000000017,0.0,0.0,-2.6609249114990234,-6.988644827288226e-07,-0.10395588725805283
0.4375,35,flat_plate,477.6271057128906,19.73405647277832,0.9552542114257813,0.03946811294555664,224,0.0,-197.3405647277832,-197.3405647277832,19.73405647277832,0.0,477.6271057128906,0.0007517557207350478,-114.56694819032863,-0.00012571448411158315,-3.775000000000002,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-3.775000000000002,0.0,0.0,-3.2859256267547607,-6.988644827288226e-07,-0.10395588725805283
0.5,40,flat_plate,484.4306335449219,19.31907844543457,0.9688612670898438,0.03863815689086914,224,0.0,-193.1907844543457,-193.1907844543457,19.31907844543457,0.0,484.4306335449219,0.001121708904612717,-116.52282509073264,0.0010060570940142455,-4.400000000000002,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-4.400000000000002,0.0,0.0,-3.910926103591919,-6.988644827288226e-07,-0.10395588725805283
0.5625,45,flat_plate,489.55670166015625,18.97408676147461,0.9791134033203125,0.03794817352294922,224,0.0,-189.7408676147461,-189.7408676147461,18.97408676147461,0.0,489.55670166015625,0.007013729074053288,-117.97393131274913,0.0012817221221421704,-5.025,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-5.025,0.0,0.0,-4.535926818847656,-6.988644827288226e-07,-0.10395588725805283
0.625,50,flat_plate,493.4699401855469,18.68797492980957,0.9869398803710937,0.03737594985961914,224,0.0,-186.8797492980957,-186.8797492980957,18.68797492980957,0.0,493.4699401855469,0.00018898873803152583,-119.06975844434365,0.00020312917583176215,-5.649999999999999,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-5.649999999999999,0.0,0.0,-5.16092586517334,-6.988644827288226e-07,-0.10395588725805283
0.6875,55,flat_plate,496.53033447265625,18.45224952697754,0.9930606689453125,0.03690449905395508,224,0.0,-184.5224952697754,-184.5224952697754,18.45224952697754,0.0,496.53033447265625,0.004570554079350586,-119.91716805131219,1.5286286303428653e-05,-6.274999999999997,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-6.274999999999997,0.0,0.0,-5.785923957824707,-6.988644827288226e-07,-0.10395588725805283
0.75,60,flat_plate,498.9486389160156,18.258333206176758,0.9978972778320313,0.036516666412353516,224,0.0,-182.58333206176758,-182.58333206176758,18.258333206176758,0.0,498.9486389160156,0.0007398850521553868,-120.58101630413215,0.0005292667185248234,-6.899999999999995,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-6.899999999999995,0.0,0.0,-6.410925388336182,-6.988644827288226e-07,-0.10395588725805283
0.8125,65,flat_plate,500.9017333984375,18.09366226196289,1.001803466796875,0.036187324523925785,224,0.0,-180.9366226196289,-180.9366226196289,18.09366226196289,0.0,500.9017333984375,-0.011353587089786288,-121.1127319829799,-0.0012361981204191963,-7.524999999999993,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-7.524999999999993,0.0,0.0,-7.035926818847656,-6.988644827288226e-07,-0.10395588725805283
0.875,70,flat_plate,502.4936828613281,17.95775604248047,1.0049873657226562,0.03591551208496094,224,0.0,-179.5775604248047,-179.5775604248047,17.95775604248047,0.0,502.4936828613281,-0.010251428430073872,-121.54312392644293,-0.0011823058827600263,-8.149999999999991,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-8.149999999999991,0.0,0.0,-7.660923957824707,-6.988644827288226e-07,-0.10395588725805283
0.9375,75,flat_plate,503.7896423339844,17.8414306640625,1.0075792846679688,0.035682861328125,224,0.0,-178.414306640625,-178.414306640625,17.8414306640625,0.0,503.7896423339844,-0.00455254560696261,-121.89173606329652,6.740013518236054e-05,-8.774999999999991,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-8.774999999999991,0.0,0.0,-8.285923957824707,-6.988644827288226e-07,-0.10395588725805283
1.0,80,flat_plate,504.8675842285156,17.744348526000977,1.0097351684570313,0.03548869705200195,224,0.0,-177.44348526000977,-177.44348526000977,17.744348526000977,0.0,504.8675842285156,-0.0020044235635552354,-122.17990574616852,5.444116995434456e-05,-9.39999999999999,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-9.39999999999999,0.0,0.0,-8.910926818847656,-6.988644827288226e-07,-0.10395588725805283
1.0625,85,flat_plate,505.7704162597656,17.659442901611328,1.0115408325195312,0.035318885803222656,224,0.0,-176.59442901611328,-176.59442901611328,17.659442901611328,0.0,505.7704162597656,-0.0025567026942283633,-122.4194924162774,-0.00048430358021978037,-10.024999999999988,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-10.024999999999988,0.0,0.0,-9.535928726196289,-6.988644827288226e-07,-0.10395588725805283
1.125,90,flat_plate,506.52685546875,17.588315963745117,1.0130537109375,0.03517663192749024,224,0.0,-175.88315963745117,-175.88315963745117,17.588315963745117,0.0,506.52685546875,-0.002670520451076186,-122.62028448161105,-0.00033339375589935827,-10.649999999999984,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-10.649999999999984,0.0,0.0,-10.160932540893555,-6.988644827288226e-07,-0.10395588725805283
1.1875,95,flat_plate,507.1731262207031,17.527063369750977,1.0143462524414062,0.03505412673950195,224,0.0,-175.27063369750977,-175.27063369750977,17.527063369750977,0.0,507.1731262207031,-0.0018896572163384917,-122.79011805724193,-0.00031697213433812266,-11.274999999999979,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-11.274999999999979,0.0,0.0,-10.785931587219238,-6.988644827288226e-07,-0.10395588725805283
1.25,100,flat_plate,507.72442626953125,17.471412658691406,1.0154488525390626,0.03494282531738281,224,0.0,-174.71412658691406,-174.71412658691406,17.471412658691406,0.0,507.72442626953125,-0.00834562163441177,-122.93415881275455,-0.0008368016093349695,-11.899999999999974,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-11.899999999999974,0.0,0.0,-11.410927772521973,-6.988644827288226e-07,-0.10395588725805283
1.3125,105,flat_plate,508.20135498046875,17.42557144165039,1.0164027099609374,0.03485114288330078,224,0.0,-174.2557144165039,-174.2557144165039,17.42557144165039,0.0,508.20135498046875,-0.005796659420745698,-123.05812107522719,-0.0011882336996178466,-12.524999999999968,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-12.524999999999968,0.0,0.0,-12.035926818847656,-6.988644827288226e-07,-0.10395588725805283
1.375,110,flat_plate,508.6163024902344,17.384143829345703,1.0172326049804687,0.03476828765869141,224,0.0,-173.84143829345703,-173.84143829345703,17.384143829345703,0.0,508.6163024902344,-0.00566914896197801,-123.16598579343216,0.00041851267014791915,-13.149999999999963,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-13.149999999999963,0.0,0.0,-12.660928726196289,-6.988644827288226e-07,-0.10395588725805283
1.4375,115,flat_plate,508.9739074707031,17.347135543823242,1.0179478149414063,0.034694271087646486,224,0.0,-173.47135543823242,-173.47135543823242,17.347135543823242,0.0,508.9739074707031,-0.006174460196035625,-123.2581790681536,0.0007328817397063148,-13.774999999999958,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-13.774999999999958,0.0,0.0,-13.285926818847656,-6.988644827288226e-07,-0.10395588725805283
1.5,120,flat_plate,509.2894592285156,17.314889907836914,1.0185789184570313,0.034629779815673827,224,0.0,-173.14889907836914,-173.14889907836914,17.314889907836914,0.0,509.2894592285156,-0.00447732764313713,-123.34009942335177,-0.0006815303254033012,-14.399999999999952,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-14.399999999999952,0.0,0.0,-13.910929679870605,-6.988644827288226e-07,-0.10395588725805283
1.5625,125,flat_plate,509.5675354003906,17.286685943603516,1.0191350708007811,0.03457337188720703,224,0.0,-172.86685943603516,-172.86685943603516,17.286685943603516,0.0,509.5675354003906,-0.0031878478501070617,-123.41200380978339,-0.0007075039873569722,-15.024999999999947,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,-15.024999999999947,0.0,0.0,-14.535934448242188,-6.988644827288226e-07,-0.10395588725805283
