run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,bridge_ratio,core
baseline,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,-1.354488987085026e-05,1
baseline,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,-1.354488987085026e-05,2
baseline,0.15,40,0.679997444152832,1.0399999618530273,0.9557713317871095,2,2,-1.8066521194248578e-06,1
baseline,0.15,40,-0.32000160217285156,0.9599999785423279,0.9078285217285158,2,2,-1.8066521194248578e-06,2
baseline,0.3,80,0.8399972915649414,1.0799999237060547,0.9196394348144532,2,2,9.670653997845063e-06,1
baseline,0.3,80,-0.12000179290771484,0.9199999570846558,0.821594696044922,2,2,9.670653997845063e-06,2
baseline,0.45,120,0.9999971389770508,1.1399999856948853,0.8758770751953127,2,2,2.6379593304866035e-05,1
baseline,0.45,120,0.09999799728393555,0.85999995470047,0.750192337036133,2,2,2.6379593304866035e-05,2
baseline,0.6,160,1.1399970054626465,1.159999966621399,0.8335998535156252,2,2,2.31275947719546e-05,1
baseline,0.6,160,0.29999780654907227,0.8199999928474426,0.6724598693847658,2,2,2.31275947719546e-05,2
baseline,0.75,200,1.2599968910217285,1.2200000286102295,0.8213961791992188,2,2,6.173721361297248e-05,1
baseline,0.75,200,0.5999975204467773,0.7400000095367432,0.5996905517578126,2,2,6.173721361297248e-05,2
baseline,0.9,240,1.3799967765808105,1.2400000095367432,0.7955393981933595,2,2,0.0002923271399486718,1
baseline,0.9,240,0.8799972534179688,0.699999988079071,0.5625954055786133,2,2,0.0002923271399486718,2
baseline,1.05,280,1.4599967002868652,1.2599999904632568,0.7602713775634766,2,2,0.00130708640768587,1
baseline,1.05,280,1.2399969100952148,0.6399999856948853,0.5064859771728516,2,2,0.00130708640768587,2
baseline,1.2,320,1.5599966049194336,1.2799999713897705,0.7271298217773439,2,2,0.00347170375299585,1
baseline,1.2,320,1.659996509552002,0.6399999856948853,0.49357337951660163,2,2,0.00347170375299585,2
baseline,1.35,360,1.659996509552002,1.2400000095367432,0.6901303100585938,2,2,0.0021796859611938777,1
baseline,1.35,360,1.9999961853027344,0.6800000071525574,0.47177520751953134,2,2,0.0021796859611938777,2
baseline,1.5,400,1.7399964332580566,1.2200000286102295,0.6559515380859376,2,2,0.0017132276113916791,1
baseline,1.5,400,2.339995861053467,0.7199999690055847,0.49720481872558603,2,2,0.0017132276113916791,2
baseline,1.65,440,1.8799962997436523,1.1799999475479126,0.6204428100585938,2,2,0.000848506818872157,1
baseline,1.65,440,2.619995594024658,0.7799999713897705,0.5158385848999024,2,2,0.000848506818872157,2
baseline,1.8,480,1.9999961853027344,1.1399999856948853,0.5865985870361329,2,2,8.238903658015133e-05,1
baseline,1.8,480,2.8599953651428223,0.8399999737739563,0.5114471817016603,2,2,8.238903658015133e-05,2
baseline,1.95,520,2.1599960327148438,1.1200000047683716,0.5488710403442384,2,2,-5.773104944739124e-05,1
baseline,1.95,520,3.0799951553344727,0.8999999761581421,0.5276650619506836,2,2,-5.773104944739124e-05,2
baseline,2.1,560,2.279995918273926,1.059999942779541,0.4966938018798829,2,2,0.0006976459068178025,1
baseline,2.1,560,3.239995002746582,0.9599999785423279,0.5224948883056642,2,2,0.0006976459068178025,2
baseline,2.25,600,2.439995765686035,1.0399999618530273,0.47580490112304696,2,2,0.0018208124160918634,1
baseline,2.25,600,3.419994831085205,1.0,0.518502540588379,2,2,0.0018208124160918634,2
baseline,2.4,640,2.619995594024658,1.0199999809265137,0.4488324737548829,2,3,0.0008174497607178725,1
baseline,2.4,640,3.5799946784973145,1.059999942779541,0.5133785247802735,2,3,0.0008174497607178725,2
baseline,2.55,680,2.8599953651428223,0.9599999785423279,0.4023555755615235,2,3,0.001164904659853723,1
baseline,2.55,680,3.779994487762451,1.059999942779541,0.5028373718261719,2,3,0.001164904659853723,2
baseline,2.7,720,2.939995288848877,0.8799999952316284,0.37856243133544926,2,3,0.001366966798108739,1
baseline,2.7,720,3.8799943923950195,1.1200000047683716,0.510156593322754,2,3,0.001366966798108739,2
baseline,2.85,760,3.1599950790405273,0.8199999928474426,0.3430259323120118,2,3,0.002940940093566848,1
baseline,2.85,760,4.039994239807129,1.159999966621399,0.505168914794922,2,3,0.002940940093566848,2
baseline,3.0,800,3.4599947929382324,0.7799999713897705,0.3322549438476563,2,2,0.006233898596174578,1
baseline,3.0,800,4.159994125366211,1.1999999284744263,0.5007844161987305,2,2,0.006233898596174578,2
baseline,3.15,840,3.679994583129883,0.6800000071525574,0.2864634704589844,2,2,0.012217225108949606,1
baseline,3.15,840,4.259994029998779,1.2400000095367432,0.4986940002441407,2,2,0.012217225108949606,2
baseline,3.3,880,4.059994220733643,0.6399999856948853,0.2647343444824219,2,2,0.0321362121116247,1
baseline,3.3,880,4.359993934631348,1.2599999904632568,0.48110450744628913,2,2,0.0321362121116247,2
baseline,3.45,920,4.459993839263916,0.6599999666213989,0.2725492858886719,2,2,0.06743710354306537,1
baseline,3.45,920,4.439993858337402,1.2799999713897705,0.47474479675292974,2,2,0.06743710354306537,2
baseline,3.6,960,4.799993515014648,0.6800000071525574,0.27500984191894534,2,2,0.08928124408257702,1
baseline,3.6,960,4.519993782043457,1.2599999904632568,0.4567090606689454,2,2,0.08928124408257702,2
baseline,3.75,1000,5.139993190765381,0.7400000095367432,0.2831740188598633,2,2,0.10243657145591537,1
baseline,3.75,1000,4.619993686676025,1.2400000095367432,0.4389778137207032,2,2,0.10243657145591537,2
baseline,3.9,1040,5.379992961883545,0.8199999928474426,0.29951099395751957,2,2,0.10643921438130938,1
baseline,3.9,1040,4.719993591308594,1.1999999284744263,0.4112324142456055,2,2,0.10643921438130938,2
baseline,4.05,1080,5.599992752075195,0.8799999952316284,0.323905143737793,2,3,0.04144709811924288,1
baseline,4.05,1080,4.839993476867676,1.159999966621399,0.38128524780273443,2,3,0.04144709811924288,2
