run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,bridge_ratio
pedrizzetti_relaxation,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,-1.354488987085026e-05
pedrizzetti_relaxation,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,-1.354488987085026e-05
pedrizzetti_relaxation,0.15,40,0.679997444152832,1.0399999618530273,0.9557740783691407,2,2,-1.7547503099150103e-06
pedrizzetti_relaxation,0.15,40,-0.32000160217285156,0.9599999785423279,0.9078321838378908,2,2,-1.7547503099150103e-06
pedrizzetti_relaxation,0.3,80,0.8399972915649414,1.0799999237060547,0.9196437072753908,2,2,9.790002603909323e-06
pedrizzetti_relaxation,0.3,80,-0.12000179290771484,0.9199999570846558,0.8215951538085938,2,2,9.790002603909323e-06
pedrizzetti_relaxation,0.45,120,0.9999971389770508,1.1399999856948853,0.8758721923828127,2,2,2.6764651061076958e-05
pedrizzetti_relaxation,0.45,120,0.09999799728393555,0.85999995470047,0.7501959228515626,2,2,2.6764651061076958e-05
pedrizzetti_relaxation,0.6,160,1.1399970054626465,1.159999966621399,0.8335986328125001,2,2,2.303012524515459e-05
pedrizzetti_relaxation,0.6,160,0.29999780654907227,0.8199999928474426,0.672467498779297,2,2,2.303012524515459e-05
pedrizzetti_relaxation,0.75,200,1.2599968910217285,1.2200000286102295,0.8214016723632813,2,2,6.069400360339966e-05
pedrizzetti_relaxation,0.75,200,0.5999975204467773,0.7400000095367432,0.5996969604492188,2,2,6.069400360339966e-05
pedrizzetti_relaxation,0.9,240,1.3799967765808105,1.2400000095367432,0.7955418395996094,2,2,0.00029186093168288797
pedrizzetti_relaxation,0.9,240,0.8799972534179688,0.699999988079071,0.5626343536376954,2,2,0.00029186093168288797
pedrizzetti_relaxation,1.05,280,1.4599967002868652,1.2599999904632568,0.760270004272461,2,2,0.0012914447161793557
pedrizzetti_relaxation,1.05,280,1.2399969100952148,0.6399999856948853,0.5065141296386719,2,2,0.0012914447161793557
pedrizzetti_relaxation,1.2,320,1.5599966049194336,1.2799999713897705,0.7271230316162111,2,2,0.0034706621656668394
pedrizzetti_relaxation,1.2,320,1.659996509552002,0.6399999856948853,0.49363082885742193,2,2,0.0034706621656668394
pedrizzetti_relaxation,1.35,360,1.659996509552002,1.2400000095367432,0.6901221466064454,2,2,0.0021861047857792528
pedrizzetti_relaxation,1.35,360,1.9999961853027344,0.6800000071525574,0.4717323303222657,2,2,0.0021861047857792528
pedrizzetti_relaxation,1.5,400,1.7399964332580566,1.2200000286102295,0.655890350341797,2,2,0.0016963725726424018
pedrizzetti_relaxation,1.5,400,2.339995861053467,0.7199999690055847,0.4971564483642579,2,2,0.0016963725726424018
pedrizzetti_relaxation,1.65,440,1.8799962997436523,1.1799999475479126,0.620387420654297,2,2,0.0008377722344095922
pedrizzetti_relaxation,1.65,440,2.619995594024658,0.7799999713897705,0.5158870315551759,2,2,0.0008377722344095922
pedrizzetti_relaxation,1.8,480,1.9999961853027344,1.1399999856948853,0.5865314102172853,2,2,8.828651569351095e-05
pedrizzetti_relaxation,1.8,480,2.8599953651428223,0.8399999737739563,0.5114670944213868,2,2,8.828651569351095e-05
pedrizzetti_relaxation,1.95,520,2.1599960327148438,1.1200000047683716,0.5487284088134766,2,2,-4.6932860247434516e-05
pedrizzetti_relaxation,1.95,520,3.0799951553344727,0.8999999761581421,0.5276937866210938,2,2,-4.6932860247434516e-05
pedrizzetti_relaxation,2.1,560,3.239995002746582,0.9599999785423279,0.5224781799316407,2,2,0.000700522543268863
pedrizzetti_relaxation,2.1,560,2.279995918273926,1.059999942779541,0.4966250610351563,2,2,0.000700522543268863
pedrizzetti_relaxation,2.25,600,3.419994831085205,1.0,0.5186251068115235,2,2,0.0018010110249906963
pedrizzetti_relaxation,2.25,600,2.439995765686035,1.0399999618530273,0.47564384460449227,2,2,0.0018010110249906963
pedrizzetti_relaxation,2.4,640,3.5799946784973145,1.059999942779541,0.513655128479004,2,3,0.000817301035321989
