time,step,surface,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0125,1,flat_plate,1964.2980164138778,314.20176378671994,3.9285960328277576,0.6284035275734402,224,0.0,0.0,0.0,-31.668437957763672,0.0,1989.0164794921875,-6.689504613177633e-05,-1052.5732325911522,-1.6577092802616544e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.025,2,flat_plate,276.67829875795877,15.296975266660809,0.5533565975159178,0.03059395053332163,224,0.0,0.0,0.0,-32.9801025390625,0.0,275.1312255859375,9.251577786528742e-05,-51.72082879753725,-1.0010293187805164e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.0375,3,flat_plate,336.3200132809382,23.935853290028472,0.6726400265618767,0.04787170658005697,224,0.0,0.0,0.0,-34.82914352416992,0.0,335.3669738769531,9.254040922002105e-06,-90.38201838976238,-2.843327463957629e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.05,4,flat_plate,361.6178534807982,26.43003143158346,0.7232357069615968,0.05286006286316694,224,0.0,0.0,0.0,-36.76578140258789,0.0,360.7135925292969,0.0002714496305316061,-104.48666347825201,4.240301442089145e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.0625,5,flat_plate,368.1567965725608,25.76380918491764,0.7363135931451219,0.051527618369835305,224,0.0,0.0,0.0,-38.55735778808594,0.0,367.0375061035156,-0.00021708971683409573,-105.50856346887304,3.3647852763999536e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.075,6,flat_plate,369.71392429601235,24.413606567379524,0.739427848592025,0.04882721313475907,224,0.0,0.0,0.0,-40.157440185546875,0.0,368.3365173339844,-1.857164718188642e-05,-103.36812661413569,4.362614065906573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.0875,7,flat_plate,371.25503714227136,23.22804119751896,0.7425100742845431,0.046456082395037936,224,0.0,0.0,0.0,-41.59260559082031,0.0,369.6483459472656,-5.9234936305330166e-05,-101.60629589876044,-4.167622873404997e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.1,8,flat_plate,373.45948925077664,22.296060373331134,0.7469189785015536,0.04459212074666229,224,0.0,0.0,0.0,-42.893226623535156,0.0,371.657470703125,-6.881160197380609e-05,-100.62228767634952,1.4817474787431895e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.1125,9,flat_plate,375.84931349203293,21.514517555715685,0.7516986269840662,0.04302903511143139,224,0.0,0.0,0.0,-44.077884674072266,0.0,373.8752746582031,0.00027880562323900904,-100.02649646362988,2.166208246712903e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.125,10,flat_plate,378.18179927112317,20.82476964519982,0.7563635985422467,0.041649539290399655,224,0.0,0.0,0.0,-45.16218566894531,0.0,376.05255126953125,-0.0001745205672243344,-99.61794918426313,1.5167299978226245e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
