time,step,group_id,vortex_centroid_x,vortex_centroid_y,vortex_centroid_z,major_radius,tube_circulation,linear_impulse_x,linear_impulse_magnitude,impulse_radius,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,max_vortex_strength_magnitude
0.0,0,0,3.0728064169683247e-18,-0.0010992424268143266,7.312848947463036e-05,1.0031406193982413,3.1357489689339952,9.89032979850859,9.89032979850859,1.0008241962893707,19.76436987670305,0.0,-0.00046889617090073443,0.0036253976157922807,0.006902420784791573
0.1,5,0,0.09491439407533502,-0.001164075046422807,8.5569759384924e-05,1.0039068310918635,3.1338977350877277,9.897514994647048,9.897515007716457,1.0013780472446645,19.76778906817441,4.7002162128884084e-05,-0.0006804888133160603,-0.0004919399995912954,0.006928271618388664
0.2,10,0,0.1881264735863068,-0.0011671739885922162,7.356087373510003e-05,1.0044685855235385,3.1324930170392955,9.900637495435067,9.900637516702787,1.0015827063766871,19.76998495215479,0.0001152138353202048,-0.0006411708944966676,0.0017082889830533077,0.006954404490965482
0.3,15,0,0.2801921111232489,-0.0012289152731470214,7.334606901452353e-05,1.0049971476698467,3.131560261487812,9.903878106378352,9.903878166594325,1.001681871529888,19.774498167702568,-0.0003795947855489423,-0.0006267409539759683,0.0031846645161976994,0.006916420110486926
0.4,20,0,0.37116992632137685,-0.001284448316577249,6.25413509024238e-05,1.005287081534113,3.1315573845588363,9.906266953842422,9.906266974089217,1.001635432817322,19.780184784848597,0.0010310639952599843,-0.0006648130732145319,-0.0006464410283442135,0.006980347476002007
0.5,25,0,0.4613866864794652,-0.0013010468015820491,6.177819471054424e-05,1.0056624194666919,3.131322943573167,9.908037753433291,9.90803778516924,1.001515557506543,19.786088615212567,-0.001614080688748576,-0.0014693274968138326,0.00170445071429981,0.007049722562912929
0.6,30,0,0.5507823154691402,-0.001363299035455632,3.8193789220350705e-05,1.0059135216496091,3.132424033054577,9.908868289081283,9.908868741991059,1.0009975383257173,19.79798823194865,0.0011349150064199343,-0.002856246732448331,0.005199646572641825,0.007099428340727025
0.7,35,0,0.639666036808495,-0.0015898774096604546,-6.314524494936291e-05,1.0061654256660761,3.1346792069926286,9.90872424663032,9.908724303150064,1.0000123863220045,19.817203144040757,0.0032747974588165363,0.0028897615057132953,-0.0016146836685351218,0.007059536654779065
0.8,40,0,0.7277272709527673,-0.0018215897848820766,-0.000206013721435327,1.0063514687724402,3.138509630953424,9.908589515379795,9.908589669451498,0.9985936976387011,19.845087532359937,-0.009594227642326203,-0.0025451678753825036,0.002346676677916548,0.007012233886271939
0.9,45,0,0.8154527414162469,-0.0022698594822524727,-0.0004123245223503334,1.0062691575878686,3.14647743372154,9.90837351840063,9.908375465204484,0.9961249075808262,19.893841404423497,0.006656279673186383,-0.006166183152330973,0.006363118827863445,0.007136912398909268
1.0,50,0,0.9028548766414644,-0.0027531899970351654,-0.0006361343542521462,1.0067012096680223,3.1539053637094994,9.908923755770028,9.908923916385948,0.9934073591126857,19.949366844305697,0.008958661127058676,0.00769832449997665,0.0012821439425465542,0.007225884540239915
1.1,55,0,0.9892686423658802,-0.0032585648591684038,-0.0007682056478078578,1.0069485922529178,3.16517979457185,9.908931156053695,9.908933995900362,0.9896266432905535,20.025600691090343,-0.020188386141086312,0.00289279670855791,0.0050519321569488795,0.007424272636095786
1.2,60,0,1.0753085810962972,-0.004028699573173526,-0.0007871667222705926,1.0065247065881782,3.184539146197735,9.91040596054826,9.910411152609209,0.9841714630708129,20.139602751103414,-0.001222517637369469,-0.015871752147152307,0.005056899941884296,0.007406046907142847
1.3,65,0,1.1618418787936236,-0.00489762940211465,-0.0010783173027599392,1.0064674944430798,3.2058338627066125,9.90896008389709,9.90896329633747,0.9775468529173439,20.273121982369716,0.026642668248389956,0.005248301828094881,-0.005436975147247836,0.008692795637096355
1.4,70,0,1.247667222691004,-0.005646213050221675,-0.0016707106573638608,1.0070686002473679,3.225867558971098,9.906658018842343,9.906678248394742,0.9706722124359755,20.411995154436703,-0.009491325744610535,0.030163776260678787,0.0010643283409024207,0.010034646268481544
1.5,75,0,1.3316075511363477,-0.006908725192493376,-0.0018716086228135606,1.0077901007984835,3.251515123210855,9.903859243534878,9.903866504556564,0.9620530897044779,20.589022810786503,-0.0227403139873128,-0.007806137236606503,-0.0015176958349201186,0.012462221363545498
1.6,80,0,1.415542864548054,-0.008316028104481336,-0.002010519501093628,1.0062276036143891,3.2986500406671366,9.891597955050301,9.891667870605135,0.9486088740168411,20.85510296508047,0.00510393352295857,-0.03583741861743306,-0.022269009235750648,0.015479952044441043
1.7,85,0,1.501431253762003,-0.010016579994358583,-0.0020270549324661667,1.0048503031343015,3.359646436132822,9.876325760999828,9.876359753240505,0.9312195503635505,21.21166753723061,-0.010009330556318474,0.047176535323529833,-0.02295142702581643,0.018093497811853786
1.8,90,0,1.5872857541370182,-0.011332485405553804,-0.0013174584420353145,1.0069782910354146,3.406406096398758,9.8695334215084,9.869916752549003,0.9158979515465501,21.552437661604202,0.014043660565485006,0.07020172582211615,-0.014498270346599895,0.020637929251380763
