time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.125,-1.0243027210235596,-1.6388843059539795,-1.3220510482788086,-0.0,6.621745586395264,9.910032272338867,0.0001732179953251034,1.978567123413086,0.03125,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875,0.125,-0.4428001642227173,-0.7084802389144897,-0.08932431787252426,-0.0,2.863009214401245,9.911648750305176,0.00020044475968461484,0.3092380166053772,0.15625,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125,0.125,-0.27614739537239075,-0.44183582067489624,-0.027249861508607864,-0.0,1.785886526107788,9.913884162902832,0.00023492591571994126,0.15127050876617432,0.28125,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375,0.125,-0.17962008714675903,-0.28739213943481445,-0.011952749453485012,-0.0,1.1620078086853027,9.917108535766602,0.0002791330625768751,0.10201025009155273,0.40625,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625,0.125,-0.10914072394371033,-0.17462515830993652,-0.005688002333045006,-0.0,0.7064098119735718,9.922036170959473,0.00033917377004399896,0.079892098903656,0.53125,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875,0.125,-0.05210963636636734,-0.08337541669607162,-0.0022300919517874718,-0.0,0.33755552768707275,9.93020248413086,0.00042797712376341224,0.0656048059463501,0.65625,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125,0.125,-0.007449615281075239,-0.011919384822249413,-0.00022361613810062408,-0.0,0.04833037778735161,9.94528579711914,0.0005590365617536008,0.04601508378982544,0.78125,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375,0.125,0.014933265745639801,0.02389322593808174,6.675804615952075e-05,0.0,-0.09717978537082672,9.975899696350098,0.000695004768203944,0.006852984428405762,0.90625,-0.3261663019657135,0.0,-0.0652332603931427
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.125,-1.0223311185836792,-1.6357297897338867,-1.184180736541748,-0.0,5.9404096603393555,9.909872055053711,0.0004470158601179719,1.9754663705825806,0.03125,-0.9455074667930603,0.0,-0.18910149335861207
0.03125,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875,0.125,-0.4416336715221405,-0.7066138982772827,-0.08000928908586502,-0.0,2.566585063934326,9.911438941955566,0.0005099145346321166,0.30897367000579834,0.15625,-0.9455074667930603,0.0,-0.18910149335861207
