time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.125,-0.015512058511376381,-0.04343376308679581,0.006540742237120867,0.0,0.07829539477825165,0.006614481098949909,0.0,0.07560386508703232,0.2659875154495239,1.1494759810659616e-08,0.007287171203643084,0.03002149984240532,-0.3261663019657135,-0.0027236170135438442,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875000149011612,0.125,-0.006508321966975927,-0.04304259642958641,0.011671814136207104,0.0,0.13364574313163757,0.011594515293836594,0.0,0.13252593576908112,0.26375728845596313,1.2643580404869681e-08,-0.018206877633929253,0.1545458436012268,-0.3261663019657135,-0.013618084602057934,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125,0.125,-0.0038729736115783453,-0.04607692360877991,0.014223188161849976,0.0,0.1626417338848114,0.01417105458676815,0.0,0.1619758903980255,0.2635451555252075,1.3808603149811916e-08,-0.02063480205833912,0.2790701985359192,-0.3261663019657135,-0.024512551724910736,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375000298023224,0.1250000149011612,-0.002337004989385605,-0.04797298088669777,0.015750767663121223,0.0,0.1800599992275238,0.015718068927526474,0.0,0.17965833842754364,0.2634745240211487,1.4244544210839649e-08,-0.021448422223329544,0.4035945236682892,-0.3261663019657135,-0.03540702164173126,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625,0.1249999850988388,-0.0013268028851598501,-0.048883628100156784,0.01663513481616974,0.0,0.19014972448349,0.01661599799990654,0.0,0.18992173671722412,0.2634176015853882,1.352934919651716e-08,-0.02211085706949234,0.5281188488006592,-0.3261663019657135,-0.04630148783326149,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875,0.12499995529651642,-0.0010621402179822326,-0.05026545003056526,0.017273753881454468,0.0,0.1974364072084427,0.017257491126656532,0.0,0.1972539722919464,0.26330074667930603,1.1550512546421032e-08,-0.023472055792808533,0.6526431441307068,-0.3261663019657135,-0.057195957750082016,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125,0.1250000149011612,-0.002178237773478031,-0.055089954286813736,0.01837325282394886,0.0,0.20997004210948944,0.01833728514611721,0.0,0.20959612727165222,0.26314377784729004,8.318143507324294e-09,-0.025312790647149086,0.7771674990653992,-0.3261663019657135,-0.06809042394161224,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375,0.1250000149011612,-0.003713109763339162,-0.0628727599978447,0.020287252962589264,0.0,0.23186993598937988,0.02023019641637802,0.0,0.2312321662902832,0.26330214738845825,3.783296786963319e-09,-0.023555710911750793,0.9016918540000916,-0.3261663019657135,-0.07898489385843277,-0.0652332603931427
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.125,-0.015426432713866234,-0.043194010853767395,0.00584779866039753,0.0,0.06998732686042786,0.005912614520639181,0.0,0.06758148968219757,0.2659768760204315,3.0768045888862616e-08,0.007165732327848673,0.03002149984240532,-0.9455074667930603,-0.0027236170135438442,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875000149011612,0.125,-0.006450817454606295,-0.042744576930999756,0.010424826294183731,0.0,0.1193666085600853,0.010355943813920021,0.0,0.1183689683675766,0.2637568712234497,3.3940732890869185e-08,-0.01821117475628853,0.1545458436012268,-0.9455074667930603,-0.013618084602057934,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,2,0.3125,0.125,-0.0038101759273558855,-0.045672088861465454,0.012686512432992458,0.0,0.14506982266902924,0.012640451081097126,0.0,0.14448103308677673,0.2635466456413269,3.7322283930052436e-08,-0.020617248490452766,0.2790701985359192,-0.9455074667930603,-0.024512551724910736,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,3,0.4375000298023224,0.1250000149011612,-0.002246174495667219,-0.04738916456699371,0.014016317203640938,0.0,0.1602323055267334,0.013988151215016842,0.0,0.15988528728485107,0.26347988843917847,3.8917256972581526e-08,-0.021386045962572098,0.4035945236682892,-0.9455074667930603,-0.03540702164173126,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,4,0.5625,0.1249999850988388,-0.0011395708424970508,-0.047884561121463776,0.014726527035236359,0.0,0.16833369433879852,0.014711889438331127,0.0,0.1681576669216156,0.263435423374176,3.745413579281376e-08,-0.021905742585659027,0.5281188488006592,-0.9455074667930603,-0.04630148783326149,-0.18910149335861207
0.0125,1,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,5,0.6875,0.12499995529651642,-0.0006389805930666625,-0.048306215554475784,0.015111050568521023,0.0,0.17271970212459564,0.015102386474609375,0.0,0.17262104153633118,0.26333102583885193,3.238483614609322e-08,-0.023124761879444122,0.6526431441307068,-0.9455074667930603,-0.057195957750082016,-0.18910149335861207
