# flow_time=20.0
x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,Sxx,Sxy,Sxz,Syy,Syz,Szz,dudx,dudy,dudz,dvdx,dvdy,dvdz,dwdx,dwdy,dwdz
-0.875,0.0,0.0,0.00026152766,-0.1716986,0.0,0.0,0.0,0.017748341,0.0007432599,-0.19429615,6.3259154e-07,-0.0007432599,-1.2508552e-07,0.0,0.0007432599,-0.19599338,1.2651831e-06,-0.19259891,-0.0007432599,-2.5017104e-07,0.0,0.0,0.0
-0.8625,0.0,0.0,0.00027066277,-0.17413071,0.0,0.0,0.0,0.020270238,0.0007690091,-0.19870545,6.58243e-07,-0.00076900865,-1.0460449e-07,0.0,0.0007690091,-0.20164157,1.316486e-06,-0.19576932,-0.00076900865,-2.0920898e-07,0.0,0.0,0.0
-0.85,0.0,0.0,0.0002802004,-0.1766045,0.0,0.0,0.0,0.023106303,0.00079493463,-0.20316885,6.846018e-07,-0.0007949356,-8.78966e-08,0.0,0.00079493463,-0.20750204,1.3692036e-06,-0.19883567,-0.0007949356,-1.757932e-07,0.0,0.0,0.0
-0.8375,0.0,0.0,0.00029008376,-0.17911655,0.0,0.0,0.0,0.026288932,0.00082093873,-0.20767862,7.1140397e-07,-0.00082093826,-6.773422e-08,0.0,0.00082093873,-0.21358183,1.4228079e-06,-0.2017754,-0.00082093826,-1.3546844e-07,0.0,0.0,0.0
-0.825,0.0,0.0,0.00029936107,-0.18165705,0.0,0.0,0.0,0.029852888,0.0008468974,-0.21222475,7.39151e-07,-0.00084689783,-4.4025878e-08,0.0,0.0008468974,-0.21988896,1.478302e-06,-0.20456056,-0.00084689783,-8.8051756e-08,0.0,0.0,0.0
-0.8125,0.0,0.0,0.00030906053,-0.18421131,0.0,0.0,0.0,0.033835314,0.0008726796,-0.21679685,7.675764e-07,-0.0008726795,-1.746122e-08,0.0,0.0008726796,-0.226431,1.5351528e-06,-0.20716268,-0.0008726795,-3.492244e-08,0.0,0.0,0.0
-0.8,0.0,0.0,0.00031847425,-0.18681397,0.0,0.0,0.0,0.038275864,0.0008981669,-0.22138241,7.9672253e-07,-0.00089816644,1.33181e-08,0.0,0.0008981669,-0.23321672,1.5934451e-06,-0.20954812,-0.00089816644,2.66362e-08,0.0,0.0,0.0
-0.7875,0.0,0.0,0.00032831813,-0.18943107,0.0,0.0,0.0,0.043216586,0.0009231843,-0.22596896,8.262374e-07,-0.0009231844,4.0916543e-08,0.0,0.0009231843,-0.24025285,1.6524748e-06,-0.21168505,-0.0009231844,8.1833086e-08,0.0,0.0,0.0
-0.775,0.0,0.0,0.00033903867,-0.19209553,0.0,0.0,0.0,0.048702054,0.00094756845,-0.23054177,8.563227e-07,-0.00094756845,6.92314e-08,0.0,0.00094756845,-0.24754837,1.7126454e-06,-0.21353514,-0.00094756845,1.384628e-07,0.0,0.0,0.0
-0.7625,0.0,0.0,0.0003543755,-0.19474661,0.0,0.0,0.0,0.054779004,0.0009711593,-0.2350852,8.868141e-07,-0.00097115885,1.0582092e-07,0.0,0.0009711593,-0.2551107,1.7736282e-06,-0.2150597,-0.00097115885,2.1164183e-07,0.0,0.0,0.0
