time,step,total_kinetic_energy,energy_measurement,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,0.0293056238318457,unbounded_energy,18.79471040234285,12.359354781345958,0.0,direct_energy_backward_difference,0.0,3.583578837092735e-20,0.5717698629533434,0.0,-3.1441863002079632e-18,-2.5587171270657905e-17,0.0381049920286505,-4.87890977618477e-18,4.743384504624082e-18,2.358139725155972e-18,0.005334698884011,-0.0186714460940387,252,0.0027086533840463,0.0477297077300919,0.0477297077300919,0.0477297077300919,0.0,0.0,0.0,0.0,0.0,0.0477297077300919,0.6208549707001009,0.6663235117892962,5.174054750207331e-16,0.031140668610759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381049920286505,0.0,0.0,0.0,-4.87890977618477e-18,0.0,-3.1441863002079632e-18,0.0,4.743384504624082e-18,0.0,-2.5587171270657905e-17,,,,
0.01,1,0.0520323618824389,unbounded_energy,19.217472746708086,12.742058614744154,2.2726738050593265,direct_energy_backward_difference,0.0,0.0018844917651128,1.3131782788260948,-1.805163064734321e-05,-0.6604825818103278,2.536991238889612e-06,0.0105165024790507,4.346812979106631e-06,-0.3189541365506187,6.356281620337379e-07,0.2343599829334577,-0.018668985981275,286,0.0536563566181426,0.0477297077300919,0.0758929694203095,0.2846324384183926,0.0,0.0,0.0,0.0,0.0,0.0758929694203095,0.6005375658188811,0.7083053084806343,0.0025873632647029,16.399030726502264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1747504715563225,0.0,0.0044699445965849,0.0149864470756357,1.805163064735123e-05,8.023096076392733e-18,2.5688554151274376e-08,4.372501533257905e-06,0.6604825818103278,0.0,0.1280984198089437,-0.1908557167416749,-2.5369912389176926e-06,-2.8080836267374565e-17,0.1747504715563225,0.1162996445590313,0.0536563566181426,131.67997021124216
0.02,2,0.0508661861333487,unbounded_energy,19.171853917681577,12.722963445677589,-0.11661757490902813,direct_energy_backward_difference,0.0,0.002095310678942794,1.407212082669292,-2.3950416367115278e-05,-0.6370186347257902,3.3660115076939012e-06,0.011198891813887998,6.087468569921739e-06,-0.3340184382816184,-1.1985741398146146e-06,0.25037874996223425,-0.018667674149606336,320,0.053679626595981876,0.047729707730091955,0.09807153800135582,0.2846324384183926,0.0,0.0,0.0,0.0,0.0,0.09807153800135582,0.5409445608477765,0.6672981160506399,0.004259523097156522,19.23809570864032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.19070612551678146,0.0,0.0041986074646825685,0.015397499278570566,2.3950416367145527e-05,3.0249240612345574e-17,3.57665813215688e-08,6.123235151243308e-06,0.6370186347257903,1.1102230246251565e-16,0.1227770498786586,-0.2112413884029598,-3.366011507707447e-06,-1.3545750892490771e-17,0.19070612551678146,0.12412049858280305,0.053679626595981876,131.73707789021657
