time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,pressure_jump_coefficient_type,panel_force_x,panel_force_y,panel_force_z,panel_force_units,force_density,unsteady_force_x,unsteady_force_y,unsteady_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,relative_velocity_units,bound_x,bound_y,bound_z,span_coordinate_normalized
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:0,mirror,0,-0.17844140080435655,0.17844140080435655,-0.3680071330830423,0.0,0,0.1666666666666667,0.17833333333333332,-0.22004764126935142,-2.6799026404590984,circulation_proxy,0.050982862803825336,-0.007957150025450438,0.426028763745252,N,1.0,0.04608062223189182,4.771522614290835e-18,0.3278806642174278,3.973702942444147,-0.01003647249512259,-0.19928974271260547,m/s,0.09985203026477502,-0.05625,-0.014033287680139932,-0.27731647078862204
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:0,mirror,0,-0.17844140080435655,0.17844140080435655,-0.3680071330830423,0.0,1,0.5,0.17833333333333323,-0.133351950423057,-4.37465402423181,circulation_proxy,0.09707973055588491,-0.0002874658722075503,0.6947416928440878,N,1.0,0.08936633166510073,1.0483001792188511e-17,0.6358744905304028,3.927209606297774,-0.0063827071894243395,-0.5146154028206793,m/s,0.27644983585702176,-0.05625,-0.03885249068468494,-0.27731647078862204
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:0,mirror,0,-0.17844140080435655,0.17844140080435655,-0.3680071330830423,0.0,2,0.8333333333333333,0.17833333333333334,-0.11788017626913531,-5.853126715787974,circulation_proxy,0.13039323785815543,-3.2336175055438776e-05,0.929538684208752,N,1.0,0.1233603588005282,-7.408630419269978e-17,0.8777545619517307,3.9057421740841796,-0.00682756898793609,-0.5304489469134472,m/s,0.45304764144926835,-0.05625,-0.06367169368922992,-0.27731647078862204
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:1,mirror,1,-0.3051656201855695,0.3051656201855695,-0.45982396749308435,-0.15165806578919214,0,0.1666666666666667,0.135,-0.22141515343034812,-2.8958231872256173,circulation_proxy,0.03552869553061137,-0.012121432873761476,0.3491766249342765,N,1.0,0.035100249098884685,-3.3608230651855257e-17,0.24975124968634776,3.9970895828166384,-0.006233219293253497,-0.01798428533803864,m/s,0.200529283920168,-0.16875,-0.02818255294441325,-0.47425907000510986
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:1,mirror,1,-0.3051656201855695,0.3051656201855695,-0.45982396749308435,-0.15165806578919214,1,0.5,0.1349999999999999,-0.11846950194817368,-4.317116931784864,circulation_proxy,0.07194618655916779,-0.0005078232881133829,0.5189608063860772,N,1.0,0.06558093031845505,2.964860446447619e-17,0.4666325659537235,3.929356899178123,-0.00606666028820924,-0.478029532603786,m/s,0.33421547320028,-0.16875,-0.04697092157402208,-0.47425907000510986
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:1,mirror,1,-0.3051656201855695,0.3051656201855695,-0.45982396749308435,-0.15165806578919214,2,0.8333333333333333,0.135,-0.09436752483150228,-5.482763088754641,circulation_proxy,0.09223025715471715,-5.3461638011117836e-05,0.6591334121637881,N,1.0,0.08680091714097472,-2.0623172107712903e-17,0.6176206177000715,3.9117006029758095,-0.01082564697636213,-0.5116141092573256,m/s,0.46790166248039194,-0.16875,-0.06575929020363092,-0.47425907000510986
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:2,mirror,2,-0.43188983956678245,0.43188983956678245,-0.5516408019031265,-0.3033161315783843,0,0.1666666666666665,0.09166666666666665,-0.1956335628704548,-2.9011568130220855,circulation_proxy,0.017789714621602608,-0.014036064042303108,0.23818034033785723,N,1.0,0.0210583283598294,1.060531669376133e-17,0.14983779201555483,4.018582859809924,-0.00515544980138892,0.14786570195531135,m/s,0.30120653757556093,-0.28125,-0.04233181820868656,-0.6712016692215977
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:2,mirror,2,-0.43188983956678245,0.43188983956678245,-0.5516408019031265,-0.3033161315783843,1,0.4999999999999999,0.0916666666666667,-0.09764136525857371,-3.8933966002265787,circulation_proxy,0.04344788860140036,-0.0006194219283845653,0.3177313422240207,N,1.0,0.03858805323172046,3.709958976818295e-18,0.27456826561073405,3.932823345447981,-0.006670809828521643,-0.44290183978484254,m/s,0.39198111054353824,-0.28125,-0.05508935246335923,-0.6712016692215977
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:2,mirror,2,-0.43188983956678245,0.43188983956678245,-0.5516408019031265,-0.3033161315783843,2,0.8333333333333334,0.09166666666666665,-0.06844770177057936,-4.680984906278834,circulation_proxy,0.05327272653379573,-5.6320797151791445e-05,0.3820902576218153,N,1.0,0.049459307249661605,3.375920675054366e-17,0.3519212572943395,3.9192970451874483,-0.010841829262253893,-0.4954268749575396,m/s,0.48275568351151543,-0.28125,-0.06784688671803188,-0.6712016692215977
0.01,1,front_wing,front_wing_main_wing,segment_0,front_wing_main_wing:segment_0:mirror:3,mirror,3,-0.5586140589479954,0.5586140589479954,-0.6434576363131684,-0.4549741973675764,0,0.16666666666666657,0.048333333333333325,-0.13572920596980623,-2.676556540137344,circulation_proxy,0.0019349440372596364,-0.012928808217976914,0.11656405794688343,N,1.0,0.007703518782435397,-1.471578999821964e-17,0.05481338430035895,4.04923231423756,-0.005797623455195031,0.37705407129268764,m/s,0.4018837912309539,-0.39375000000000004,-0.05648108347295989,-0.8681442684380857
