time,step,particle,particle_index,provenance,event_type,event_name,process,surface,panel,interval_start,interval_end,start_x,start_y,start_z,end_x,end_y,end_z,crossing_x,crossing_y,crossing_z,core_radius,closest_distance,surface_tolerance
0.02,2,252,252,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.01032258064516129,0.6141746186723825,-1.1721841103483493e-05,-0.0835092102676345,0.6538353143344798,-3.418117371048055e-05,-0.08517495632740395,0.6141746186723825,-1.1721841103483493e-05,-0.0835092102676345,0.28463243841839253,0.02001378157510171,0.0019967283202059947
0.02,2,252,252,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.01967741935483871,0.02,0.6141746186723825,-1.1721841103483493e-05,-0.0835092102676345,0.6538353143344798,-3.418117371048055e-05,-0.08517495632740395,0.6538353143344798,-3.418117371048055e-05,-0.08517495632740395,0.28463243841839253,0.0768536118703965,0.0019967283202059947
0.02,2,253,253,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.01032258064516129,0.6255281120836362,0.056226680131883366,-0.08229824314549333,0.6651960920696411,0.056234860485390004,-0.0838773156089917,0.6255281120836362,0.056226680131883366,-0.08229824314549333,0.28463243841839253,0.03956207519432268,0.0019967283202059947
0.02,2,253,253,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.01967741935483871,0.02,0.6255281120836362,0.056226680131883366,-0.08229824314549333,0.6651960920696411,0.056234860485390004,-0.0838773156089917,0.6651960920696411,0.056234860485390004,-0.0838773156089917,0.28463243841839253,0.0739874850355335,0.0019967283202059947
0.02,2,254,254,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.01032258064516129,0.596849489054707,0.11248840197298685,-0.08107512882049751,0.6365548632686795,0.11251493491129672,-0.08264794115841913,0.596849489054707,0.11248840197298685,-0.08107512882049751,0.28463243841839253,0.0197832990763437,0.0019967283202059947
0.02,2,254,254,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.01967741935483871,0.02,0.596849489054707,0.11248840197298685,-0.08107512882049751,0.6365548632686795,0.11251493491129672,-0.08264794115841913,0.6365548632686795,0.11251493491129672,-0.08264794115841913,0.28463243841839253,0.08939742905821992,0.0019967283202059947
0.02,2,255,255,active_particle_index,3,core_overlap,advective_transport,front_wing,5,0.01,0.01032258064516129,0.6082080116835631,0.16872825411900172,-0.07986574504045485,0.6479513465177679,0.16876984754055488,-0.08121127254439593,0.6082080116835631,0.16872825411900172,-0.07986574504045485,0.28463243841839253,0.0395717848010068,0.0019967283202059947
0.02,2,255,255,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.01967741935483871,0.02,0.6082080116835631,0.16872825411900172,-0.07986574504045485,0.6479513465177679,0.16876984754055488,-0.08121127254439593,0.6479513465177679,0.16876984754055488,-0.08121127254439593,0.28463243841839253,0.1071763917819342,0.0019967283202059947
0.02,2,256,256,active_particle_index,3,core_overlap,advective_transport,front_wing,5,0.01,0.01032258064516129,0.579524827069332,0.22498985214601488,-0.07864118289579489,0.6193219541678456,0.2250324008742013,-0.07988997649146472,0.579524827069332,0.22498985214601488,-0.07864118289579489,0.2846324384183925,0.019788485757513984,0.0019967283202059947
0.02,2,256,256,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.01967741935483871,0.02,0.579524827069332,0.22498985214601488,-0.07864118289579489,0.6193219541678456,0.2250324008742013,-0.07988997649146472,0.6193219541678456,0.2250324008742013,-0.07988997649146472,0.2846324384183925,0.15751238096233414,0.0019967283202059947
0.02,2,257,257,active_particle_index,3,core_overlap,advective_transport,front_wing,8,0.01,0.01032258064516129,0.5908881576801498,0.2812328704767696,-0.07743332799850544,0.6307326507314663,0.2812762823847931,-0.07839861006570346,0.5908881576801498,0.2812328704767696,-0.07743332799850544,0.2846324384183925,0.039582200943407156,0.0019967283202059947
0.02,2,257,257,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.01967741935483871,0.02,0.5908881576801498,0.2812328704767696,-0.07743332799850544,0.6307326507314663,0.2812762823847931,-0.07839861006570346,0.6307326507314663,0.2812762823847931,-0.07839861006570346,0.2846324384183925,0.18483800279935017,0.0019967283202059947
0.02,2,258,258,active_particle_index,3,core_overlap,advective_transport,front_wing,8,0.01,0.01032258064516129,0.5621999438483163,0.33749301833075473,-0.07620718251174695,0.6020966679032319,0.337531751602255,-0.07702670797212675,0.5621999438483163,0.33749301833075473,-0.07620718251174695,0.28463243841839253,0.01979371521801664,0.0019967283202059947
0.02,2,258,258,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.01967741935483871,0.02,0.5621999438483163,0.33749301833075473,-0.07620718251174695,0.6020966679032319,0.337531751602255,-0.07702670797212675,0.6020966679032319,0.337531751602255,-0.07702670797212675,0.28463243841839253,0.2418683899274929,0.0019967283202059947
0.02,2,259,259,active_particle_index,3,core_overlap,advective_transport,front_wing,11,0.01,0.01032258064516129,0.5448738342707158,0.4499979251570957,-0.07377285032774784,0.584854567971592,0.4500308696883457,-0.0741625604894511,0.5448738342707158,0.4499979251570957,-0.07377285032774784,0.28463243841839253,0.019797998549680843,0.0019967283202059947
0.02,2,260,260,active_particle_index,3,core_overlap,advective_transport,front_wing,11,0.01,0.01032258064516129,0.5735668560845113,0.3937409434878504,-0.07500052469725954,0.6135053505573096,0.39377572060060756,-0.07554613145649945,0.5735668560845113,0.3937409434878504,-0.07500052469725954,0.28463243841839253,0.039591713746329874,0.0019967283202059947
0.02,2,260,260,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.01967741935483871,0.02,0.5735668560845113,0.3937409434878504,-0.07500052469725954,0.6135053505573096,0.39377572060060756,-0.07554613145649945,0.6135053505573096,0.39377572060060756,-0.07554613145649945,0.28463243841839253,0.2715280423489759,0.0019967283202059947
0.02,2,261,261,active_particle_index,3,core_overlap,advective_transport,front_wing,14,0.01,0.01032258064516129,0.6255202011355507,-0.056273787076373864,-0.08229587383352861,0.6651812669866817,-0.05632506837179889,-0.08387311193310476,0.6255202011355507,-0.056273787076373864,-0.08229587383352861,0.28463243841839253,0.03956143237835766,0.0019967283202059947
