flow_time,time_step,group_id,x_centroid,y_centroid,z_centroid,major_radius,tube_circulation,impulse_x,impulse_norm,impulse_radius,length_strength,vector_circulation_x,vector_circulation_y,vector_circulation_z,max_strength
0.1,5,0,0.09289760283360318,0.006019066025234302,-0.00889100627154668,1.0037092319873555,3.2220423959909703,9.880948359926363,9.88094860701212,0.9725447602880989,20.319781691251038,-6.980061937444937e-06,1.1798039309951491e-06,0.00023914219570286832,0.011926228376557803
0.2,10,0,0.1846851871174668,0.00664109680416843,-0.009042903386926773,1.004219863517431,3.2217841525518502,9.882860617951447,9.882861924939977,0.9723163902316366,20.328489829499976,-1.270700792395385e-05,8.637224802043875e-07,0.00023865026868818973,0.013524877272699761
0.3,15,0,0.2752261939238845,0.007225660023432418,-0.009112164053031046,1.004164385006641,3.2246367005264047,9.881530432144952,9.881533684123164,0.9713793708539057,20.345364500455993,-1.6127914309767982e-05,1.6279467160984495e-06,0.00023837473575150092,0.01399767440759557
0.4,20,0,0.36499474239795654,0.007447964447695221,-0.00924204589286605,1.0042380683221972,3.226050325879542,9.88130234383079,9.881307167924767,0.9708602245358866,20.35577711023945,-1.9342710502551208e-05,3.0683804270736914e-06,0.00023773267514548557,0.014147363257880975
0.5,25,0,0.45388224386449993,0.007787339511250818,-0.009457939631489966,1.0044477707419233,3.226702790029252,9.881821461755367,9.881825698722674,0.9705121857483024,20.36414553847854,-2.188238840181156e-05,3.649331302923997e-06,0.0002374290221456299,0.014034591345077506
0.6,30,0,0.5421592712150952,0.008024152012265516,-0.009571169350865978,1.0045304846557424,3.2270539066957005,9.88253729185556,9.882545485917436,0.9703973640355188,20.36803860393774,-2.4116730271084297e-05,4.3383240182492955e-06,0.00023743230133377313,0.013744976573115322
0.7,35,0,0.6299695007789653,0.008164225374209454,-0.009467488759816574,1.0046339709480963,3.2274667705234763,9.88272492780291,9.882735108463864,0.9701918974067727,20.37274303131049,-2.6015154482528224e-05,4.822650192082278e-06,0.00023755346091203222,0.014429183161061497
0.8,40,0,0.717128937447096,0.008102159496800867,-0.009421806976886667,1.004710218173716,3.2273725133982176,9.882493696960447,9.882505725874939,0.9701240850614455,20.37369420685809,-2.735639618441088e-05,5.528453016268031e-06,0.00023791033235376347,0.013757256879643317
0.9,45,0,0.8037439820625064,0.007882736767406806,-0.009291315060973415,1.0047632121732428,3.2274025025934754,9.882849583436926,9.882865216100472,0.9700991915131497,20.374958153887935,-2.8599682097278645e-05,6.435439838803347e-06,0.00023745200522351517,0.014565170090551444
1.0,50,0,0.8900134833844445,0.007568146574256655,-0.009161517885075908,1.0048076563232597,3.227222563839936,9.883598653412376,9.883615651904178,0.9701840329596358,20.374723384703202,-3.0500245231712686e-05,6.661756661863194e-06,0.00023687092651591968,0.013903318865940704
1.1,55,0,0.9758068635981882,0.007273743797544726,-0.009079911132343518,1.004849169717516,3.2270133795881386,9.883475422322048,9.883496094493262,0.9701951030664322,20.37424444476197,-3.2195410978541616e-05,6.2222588210758545e-06,0.00023651653520495586,0.014092813134846966
1.2,60,0,1.061145957671823,0.006919286648483876,-0.008998962340695985,1.0048801194879495,3.2268467368172007,9.883262541485609,9.88328338585088,0.9701944428497353,20.373819822799405,-3.334186004477768e-05,5.8019152024968434e-06,0.0002364697363266277,0.014625614671065282
1.3,65,0,1.1460933479143396,0.006594345649004584,-0.0088702132150424,1.0049211328961951,3.2265011965496937,9.88355324277539,9.883578608876745,0.9702877274420683,20.3724695867945,-3.429343159816467e-05,5.802192194259703e-06,0.00023627670689574387,0.013805174851237874
1.4,70,0,1.2306611330193422,0.006285192289505255,-0.00870125180415996,1.0050047793146568,3.225892272642702,9.883831685053703,9.88385903112138,0.9704176405686453,20.370320196013,-3.549486758458453e-05,6.055424396578246e-06,0.0002361865693512044,0.014150090757955475
1.5,75,0,1.3149218014621902,0.005915867612529132,-0.008747158965433413,1.0050193411492387,3.2258723057516043,9.883791899003707,9.883821056679727,0.9704058581234902,20.370489262693525,-3.670740011708917e-05,6.4783677027335784e-06,0.0002360809835710853,0.014813150000211215
1.6,80,0,1.3988642205471469,0.005530322437398235,-0.00862648585641072,1.0050009201023957,3.2257701550539317,9.8836259039662,9.883655588042139,0.9704381288110872,20.369470849524227,-3.772154097299307e-05,6.647268623538594e-06,0.0002359262118121208,0.01354116047909768
1.7,85,0,1.4823960727760663,0.005107622057679234,-0.008443035795619233,1.00516637333478,3.2244961965820713,9.883782529291395,9.883819159263032,0.9706778010395534,20.36477840263349,-3.844401277086629e-05,6.876411218215139e-06,0.00023572793041237716,0.013922411761616914
1.8,90,0,1.5655588789747392,0.004722822903437744,-0.008383643505169548,1.005123957561805,3.225102452086857,9.883898680609212,9.883937137880512,0.9705478721094849,20.367747788468762,-3.8961144634294675e-05,7.1223416062693445e-06,0.00023610270898655195,0.01496728853375637
1.9,95,0,1.6485792351115747,0.004372402837984499,-0.008271705219537892,1.0050964640121671,3.2258464052478297,9.884026835303757,9.884064782725321,0.9703631156617014,20.371888879938037,-3.979740293791334e-05,7.506405002466465e-06,0.00023649210094800477,0.014089561948245876
2.0,100,0,1.7312714075220856,0.004076928220133312,-0.008156593507166014,1.0051761424585002,3.2252606632911487,9.8842445465732,9.884289165359942,0.970484442074892,20.36980447461346,-4.08291601452504e-05,8.006290623363554e-06,0.00023666006796951855,0.013571912329044155
