time,step,particle,particle_index,provenance,event_type,event_name,process,surface,panel,interval_start,interval_end,start_x,start_y,start_z,end_x,end_y,end_z,crossing_x,crossing_y,crossing_z,core_radius,closest_distance,surface_tolerance
0.02,2,196,196,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.010344827586206896,0.6141749024391174,-1.1932595953112468e-05,-0.08350930362939835,0.6538361310958862,-3.4734832297544926e-05,-0.08517517894506454,0.6141749024391174,-1.1932595953112468e-05,-0.08350930362939835,0.2846324145793915,0.02001405192090722,0.001996728284361581
0.02,2,196,196,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.019655172413793102,0.02,0.6141749024391174,-1.1932595953112468e-05,-0.08350930362939835,0.6538361310958862,-3.4734832297544926e-05,-0.08517517894506454,0.6538361310958862,-3.4734832297544926e-05,-0.08517517894506454,0.2846324145793915,0.0768537215293643,0.001996728284361581
0.02,2,197,197,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.010344827586206896,0.6255288124084473,0.05622626841068268,-0.08229845762252808,0.6651973724365234,0.05623413249850273,-0.08387766778469086,0.6255288124084473,0.05622626841068268,-0.08229845762252808,0.2846324145793915,0.039562691562890114,0.001996728284361581
0.02,2,197,197,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.019655172413793102,0.02,0.6255288124084473,0.05622626841068268,-0.08229845762252808,0.6651973724365234,0.05623413249850273,-0.08387766778469086,0.6651973724365234,0.05623413249850273,-0.08387766778469086,0.2846324145793915,0.0739876583956828,0.001996728284361581
0.02,2,198,198,active_particle_index,3,core_overlap,advective_transport,front_wing,2,0.01,0.010344827586206896,0.5968498587608337,0.11248820275068283,-0.08107524365186691,0.6365558505058289,0.1125144213438034,-0.08264821022748947,0.5968498587608337,0.11248820275068283,-0.08107524365186691,0.2846324145793915,0.01978362241403378,0.001996728284361581
0.02,2,198,198,active_particle_index,3,core_overlap,advective_transport,rear_wing,24,0.019655172413793102,0.02,0.5968498587608337,0.11248820275068283,-0.08107524365186691,0.6365558505058289,0.1125144213438034,-0.08264821022748947,0.6365558505058289,0.1125144213438034,-0.08264821022748947,0.2846324145793915,0.08939698971578079,0.001996728284361581
0.02,2,199,199,active_particle_index,3,core_overlap,advective_transport,front_wing,5,0.01,0.010344827586206896,0.6082088351249695,0.16872788965702057,-0.07986599951982498,0.6479528546333313,0.1687692105770111,-0.08121169358491898,0.6082088351249695,0.16872788965702057,-0.07986599951982498,0.2846324145793915,0.039572532019590885,0.001996728284361581
0.02,2,199,199,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.019655172413793102,0.02,0.6082088351249695,0.16872788965702057,-0.07986599951982498,0.6479528546333313,0.1687692105770111,-0.08121169358491898,0.6479528546333313,0.1687692105770111,-0.08121169358491898,0.2846324145793915,0.10717541248407061,0.001996728284361581
0.02,2,200,200,active_particle_index,3,core_overlap,advective_transport,front_wing,5,0.01,0.010344827586206896,0.5795252919197083,0.22498968243598938,-0.07864131778478622,0.619323194026947,0.22503197193145752,-0.07989029586315155,0.5795252919197083,0.22498968243598938,-0.07864131778478622,0.28463247418403625,0.01978890965005859,0.001996728284361581
0.02,2,200,200,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.019655172413793102,0.02,0.5795252919197083,0.22498968243598938,-0.07864131778478622,0.619323194026947,0.22503197193145752,-0.07989029586315155,0.619323194026947,0.22503197193145752,-0.07989029586315155,0.28463247418403625,0.15751139885695525,0.001996728284361581
0.02,2,201,201,active_particle_index,3,core_overlap,advective_transport,front_wing,8,0.01,0.010344827586206896,0.5908890962600708,0.2812325954437256,-0.07743362337350845,0.630734384059906,0.28127580881118774,-0.07839909940958023,0.5908890962600708,0.2812325954437256,-0.07743362337350845,0.28463247418403625,0.03958307653713725,0.001996728284361581
0.02,2,201,201,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.019655172413793102,0.02,0.5908890962600708,0.2812325954437256,-0.07743362337350845,0.630734384059906,0.28127580881118774,-0.07839909940958023,0.630734384059906,0.28127580881118774,-0.07839909940958023,0.28463247418403625,0.1848366295067519,0.001996728284361581
0.02,2,202,202,active_particle_index,3,core_overlap,advective_transport,front_wing,8,0.01,0.010344827586206896,0.5622004866600037,0.3374929130077362,-0.07620733976364136,0.6020980477333069,0.3375314772129059,-0.0770270824432373,0.5622004866600037,0.3374929130077362,-0.07620733976364136,0.2846323847770691,0.019794225779861056,0.001996728284361581
0.02,2,202,202,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.019655172413793102,0.02,0.5622004866600037,0.3374929130077362,-0.07620733976364136,0.6020980477333069,0.3375314772129059,-0.0770270824432373,0.6020980477333069,0.3375314772129059,-0.0770270824432373,0.2846323847770691,0.2418673035809902,0.001996728284361581
0.02,2,203,203,active_particle_index,3,core_overlap,advective_transport,front_wing,11,0.01,0.010344827586206896,0.5448744297027588,0.4499978721141815,-0.07377302646636963,0.5848560929298401,0.45003077387809753,-0.07416297495365143,0.5448744297027588,0.4499978721141815,-0.07377302646636963,0.2846323847770691,0.019798573256122855,0.001996728284361581
0.02,2,204,204,active_particle_index,3,core_overlap,advective_transport,front_wing,11,0.01,0.010344827586206896,0.5735679268836975,0.39374080300331116,-0.07500085234642029,0.6135072708129883,0.39377549290657043,-0.07554667443037033,0.5735679268836975,0.39374080300331116,-0.07500085234642029,0.2846323847770691,0.03959274226018684,0.001996728284361581
0.02,2,204,204,active_particle_index,3,core_overlap,advective_transport,rear_wing,27,0.019655172413793102,0.02,0.5735679268836975,0.39374080300331116,-0.07500085234642029,0.6135072708129883,0.39377549290657043,-0.07554667443037033,0.6135072708129883,0.39377549290657043,-0.07554667443037033,0.2846323847770691,0.271526602775818,0.001996728284361581
0.02,2,205,205,active_particle_index,3,core_overlap,advective_transport,front_wing,14,0.01,0.010344827586206896,0.6255207061767578,-0.05627422034740448,-0.08229605108499527,0.6651822328567505,-0.056325845420360565,-0.08387340605258942,0.6255207061767578,-0.05627422034740448,-0.08229605108499527,0.2846324145793915,0.03956198443728417,0.001996728284361581
0.02,2,205,205,active_particle_index,3,core_overlap,advective_transport,rear_wing,36,0.019655172413793102,0.02,0.6255207061767578,-0.05627422034740448,-0.08229605108499527,0.6651822328567505,-0.056325845420360565,-0.08387340605258942,0.6651822328567505,-0.056325845420360565,-0.08387340605258942,0.2846324145793915,0.07398554516083447,0.001996728284361581
0.02,2,206,206,active_particle_index,3,core_overlap,advective_transport,front_wing,14,0.01,0.010344827586206896,0.5968418121337891,-0.11251229047775269,-0.0810728371143341,0.6365325450897217,-0.11258451640605927,-0.08264175057411194,0.5968418121337891,-0.11251229047775269,-0.0810728371143341,0.2846324145793915,0.01977934249222514,0.001996728284361581
0.02,2,206,206,active_particle_index,3,core_overlap,advective_transport,rear_wing,36,0.019655172413793102,0.02,0.5968418121337891,-0.11251229047775269,-0.0810728371143341,0.6365325450897217,-0.11258451640605927,-0.08264175057411194,0.6365325450897217,-0.11258451640605927,-0.08264175057411194,0.2846324145793915,0.08942840245336274,0.001996728284361581
0.02,2,207,207,active_particle_index,3,core_overlap,advective_transport,front_wing,17,0.01,0.010344827586206896,0.6081845164299011,-0.1687740832567215,-0.0798586905002594,0.6479068994522095,-0.1688576191663742,-0.08119866251945496,0.6081845164299011,-0.1687740832567215,-0.0798586905002594,0.2846324145793915,0.0395555484194572,0.001996728284361581
0.02,2,207,207,active_particle_index,3,core_overlap,advective_transport,rear_wing,39,0.019655172413793102,0.02,0.6081845164299011,-0.1687740832567215,-0.0798586905002594,0.6479068994522095,-0.1688576191663742,-0.08119866251945496,0.6479068994522095,-0.1688576191663742,-0.08119866251945496,0.2846324145793915,0.10724059861226984,0.001996728284361581
0.02,2,208,208,active_particle_index,3,core_overlap,advective_transport,front_wing,17,0.01,0.010344827586206896,0.5795090198516846,-0.22501179575920105,-0.07863640785217285,0.6192760467529297,-0.22509634494781494,-0.07987703382968903,0.5795090198516846,-0.22501179575920105,-0.07863640785217285,0.28463247418403625,0.019776207105938092,0.001996728284361581
0.02,2,208,208,active_particle_index,3,core_overlap,advective_transport,rear_wing,39,0.019655172413793102,0.02,0.5795090198516846,-0.22501179575920105,-0.07863640785217285,0.6192760467529297,-0.22509634494781494,-0.07987703382968903,0.6192760467529297,-0.22509634494781494,-0.07987703382968903,0.28463247418403625,0.15757802714585598,0.001996728284361581
0.02,2,209,209,active_particle_index,3,core_overlap,advective_transport,front_wing,20,0.01,0.010344827586206896,0.5908491611480713,-0.2812725603580475,-0.07742145657539368,0.6306586861610413,-0.2813524603843689,-0.07837728410959244,0.5908491611480713,-0.2812725603580475,-0.07742145657539368,0.28463247418403625,0.039549724928975356,0.001996728284361581
0.02,2,209,209,active_particle_index,3,core_overlap,advective_transport,rear_wing,39,0.019655172413793102,0.02,0.5908491611480713,-0.2812725603580475,-0.07742145657539368,0.6306586861610413,-0.2813524603843689,-0.07837728410959244,0.6306586861610413,-0.2813524603843689,-0.07837728410959244,0.28463247418403625,0.1849326165486963,0.001996728284361581
0.02,2,210,210,active_particle_index,3,core_overlap,advective_transport,front_wing,20,0.01,0.010344827586206896,0.5621767044067383,-0.33751076459884644,-0.07620008289813995,0.6020292639732361,-0.3375835418701172,-0.07700717449188232,0.5621767044067383,-0.33751076459884644,-0.07620008289813995,0.2846323847770691,0.01977345887258668,0.001996728284361581
0.02,2,210,210,active_particle_index,3,core_overlap,advective_transport,rear_wing,39,0.019655172413793102,0.02,0.5621767044067383,-0.33751076459884644,-0.07620008289813995,0.6020292639732361,-0.3375835418701172,-0.07700717449188232,0.6020292639732361,-0.3375835418701172,-0.07700717449188232,0.2846323847770691,0.24194665717418049,0.001996728284361581
0.02,2,211,211,active_particle_index,3,core_overlap,advective_transport,front_wing,23,0.01,0.010344827586206896,0.5448450446128845,-0.45000943541526794,-0.0737638920545578,0.5847710371017456,-0.45006468892097473,-0.07413745671510696,0.5448450446128845,-0.45000943541526794,-0.0737638920545578,0.2846323847770691,0.019771317259638238,0.001996728284361581
0.02,2,212,212,active_particle_index,3,core_overlap,advective_transport,front_wing,23,0.01,0.010344827586206896,0.5735148191452026,-0.3937702178955078,-0.07498446851968765,0.6134065389633179,-0.3938322365283966,-0.07551693171262741,0.5735148191452026,-0.3937702178955078,-0.07498446851968765,0.2846323847770691,0.03954477826118401,0.001996728284361581
0.02,2,212,212,active_particle_index,3,core_overlap,advective_transport,rear_wing,39,0.019655172413793102,0.02,0.5735148191452026,-0.3937702178955078,-0.07498446851968765,0.6134065389633179,-0.3938322365283966,-0.07551693171262741,0.6134065389633179,-0.3938322365283966,-0.07551693171262741,0.2846323847770691,0.2716318727477407,0.001996728284361581
0.02,2,213,213,active_particle_index,3,core_overlap,advective_transport,rear_wing,26,0.01,0.010344827586206896,1.2255077362060547,0.05624503642320633,-0.08228865265846252,1.265362024307251,0.056236766278743744,-0.08327671140432358,1.2255077362060547,0.05624503642320633,-0.08228865265846252,0.2846324145793915,0.03954478292237557,0.001996728284361581
0.02,2,214,214,active_particle_index,3,core_overlap,advective_transport,rear_wing,26,0.01,0.010344827586206896,1.1968374252319336,0.11249767988920212,-0.08106968551874161,1.2366821765899658,0.11248748004436493,-0.08217888325452805,1.1968374252319336,0.11249767988920212,-0.08106968551874161,0.2846324145793915,0.019772828529134888,0.001996728284361581
0.02,2,215,215,active_particle_index,3,core_overlap,advective_transport,rear_wing,29,0.01,0.010344827586206896,1.2081794738769531,0.16874587535858154,-0.07985341548919678,1.2480406761169434,0.168730229139328,-0.08078218996524811,1.2081794738769531,0.16874587535858154,-0.07985341548919678,0.2846324145793915,0.03954632394751212,0.001996728284361581
