time,CL,CD,CC,Fx,Fy,Fz,Mx,My,Mz,L,D,q,S_ref
0.15,-0.004836826511277635,-0.004962220393640169,0.004918316609198522,-0.014886662,-0.014754951,-0.014510481,4.4201966e-05,-0.0019585034,0.002035608,-0.01451048068702221,-0.014886662364006042,0.5,6.000000476837158
0.3,-0.003922783147471496,-0.0040960308634415575,0.003988032843626909,-0.012288094,-0.0119640995,-0.01176835,3.0936208e-05,-0.0011496143,0.0011925427,-0.011768350377678871,-0.012288093566894531,0.5,6.000000476837158
0.45,-0.0024059692348266256,-0.002543909273035584,0.0025549249555726883,-0.0076317284,-0.0076647755,-0.0072179083,1.0213349e-05,-0.0005327733,0.00060753105,-0.007217908278107643,-0.007631728425621986,0.5,6.000000476837158
0.6,-0.0017943722322088693,-0.0010312254652400442,0.001888967900358208,-0.0030936766,-0.005666904,-0.005383117,1.2186356e-05,-0.00014828146,0.00017759064,-0.005383117124438286,-0.0030936766415834427,0.5,6.000000476837158
0.75,-0.001544842373741279,-0.0003970985295694248,0.0016117218842727436,-0.0011912957,-0.004835166,-0.0046345275,9.223819e-06,-2.336502e-05,2.243789e-05,-0.004634527489542961,-0.0011912956833839417,0.5,6.000000476837158
0.9,-0.001273559926067994,1.1698031489210806e-05,0.0013345919730590205,3.5094097e-05,-0.0040037762,-0.00382068,9.519514e-06,-5.2910298e-05,4.4022687e-05,-0.00382068008184433,3.509409725666046e-05,0.5,6.000000476837158
1.05,-0.0010584393295892613,0.00042956877811203175,0.001109568934872235,0.0012887064,-0.003328707,-0.0031753182,1.2662727e-05,-0.00013894774,0.00013452582,-0.0031753182411193848,0.001288706436753273,0.5,6.000000476837158
1.2,-0.0009843824269865015,0.0009242239605010382,0.0010243256072739277,0.002772672,-0.003072977,-0.0029531475,1.7694198e-05,-0.0002242662,0.00022622664,-0.002953147515654564,0.002772672101855278,0.5,6.000000476837158
1.35,-0.0010198794736560603,0.0013544800546185132,0.0010481749138693084,0.0040634405,-0.003144525,-0.0030596387,2.2665132e-05,-0.00030122697,0.00030612852,-0.003059638664126396,0.00406344048678875,0.5,6.000000476837158
1.5,-0.0010968582453840378,0.0015238336007727304,0.0011175677533890602,0.004571501,-0.0033527035,-0.003290575,2.5271438e-05,-0.00037376955,0.00037877494,-0.003290574997663498,0.004571501165628433,0.5,6.000000476837158
1.65,-0.001172725018046298,0.0014344924541717804,0.0011861571720316274,0.0043034777,-0.0035584718,-0.0035181753,2.6407186e-05,-0.00043114182,0.00043384964,-0.003518175333738327,0.004303477704524994,0.5,6.000000476837158
1.8,-0.001217003815014854,0.001162985868216684,0.0012245400766897141,0.0034889579,-0.0036736205,-0.0036510117,2.6747119e-05,-0.00044135842,0.00045192568,-0.003651011735200882,0.0034889578819274902,0.5,6.000000476837158
1.95,-0.0012045334067318117,0.0007308354641329874,0.0012160644210525815,0.0021925066,-0.0036481936,-0.0036136005,2.7373899e-05,-0.0003836956,0.0004073996,-0.003613600507378578,0.002192506566643715,0.5,6.000000476837158
2.1,-0.001182164902912386,0.00015434745714287303,0.001189023782688476,0.0004630424,-0.0035670716,-0.003546495,2.6540365e-05,-0.0003039455,0.00033328263,-0.0035464949905872345,0.00046304240822792053,0.5,6.000000476837158
2.25,-0.0011638942180956032,-0.0002641460337920162,0.0011680429493949453,-0.00079243816,-0.0035041291,-0.003491683,2.5518239e-05,-0.00024038926,0.00026693288,-0.003491682931780815,-0.0007924381643533707,0.5,6.000000476837158
