flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,p
0.15,15,-1.5,0.75,0.0,0.9599783679175402,0.03641753986949395,-0.0001470924263085405,4.709100620193041e-05,-0.008145293628353778,0.060104525173571774,0.13697696499175172
0.15,15,-1.46,0.75,0.0,0.9584954468509572,0.039034762780718386,0.0001294243632169196,9.606112044022027e-06,-0.006968390831481125,0.05955916931633294,0.13894537300802667
0.15,15,-1.42,0.75,0.0,0.955983588961382,0.044971131063626234,-4.931501557194442e-06,-2.7688483022558277e-05,-0.002977836658629446,0.044846957437281336,0.14180853460956425
0.15,15,-1.38,0.75,0.0,0.9537711690751269,0.04986631465075873,0.00044377751252657686,-1.1360672274031941e-05,-0.0011642868987753747,0.028546861275342353,0.14423530270208718
0.15,15,-1.34,0.75,0.0,0.9518560145191097,0.05446590637144878,4.137737469136823e-05,-1.935872236205223e-05,-0.001402954263086362,0.039554277769328426,0.1462396375025271
0.15,15,-1.3,0.75,0.0,0.9495743420111645,0.06175721943851524,8.557186805005826e-05,-3.572771957054063e-05,-0.001817680501606995,0.06879662211735402,0.14849426703678087
0.15,15,-1.26,0.75,0.0,0.9475992583193448,0.06930212158719963,0.00014965391447650168,-1.144246037711345e-05,-6.843229625865419e-05,0.06808941373077033,0.15040378112837413
0.15,15,-1.22,0.75,0.0,0.9455093832829655,0.07723111322273715,6.390252882945875e-05,4.8256912793535886e-05,0.002541268957169493,0.04017563326738406,0.1523479372215883
0.15,15,-1.18,0.75,0.0,0.9433584211473224,0.08505631341022984,0.0005520015998850292,7.207981097855842e-05,0.00316846222216958,0.011821618872092736,0.15421126309516953
0.15,15,-1.14,0.75,0.0,0.9415533817223232,0.0923660210058943,0.00045655275503239727,6.229210039862421e-05,0.0021961319756465753,0.0005319464255238749,0.15571327864717902
0.15,15,-1.1,0.75,0.0,0.9400609199056278,0.10036585215329778,0.0004225207042431,3.841527187965055e-05,0.0009143246098387767,-0.0011486769678732797,0.15684790580272537
