time,step,surface,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.0625,5,flat_plate,243.65778938817235,9.237086616575311,0.4873155787763447,0.018474173233150624,224,0.0,0.0,0.0,-24.763418197631836,0.0,242.57208251953125,-4.5595898257033696e-07,-52.10228171420749,2.3093526116957364e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.125,10,flat_plate,277.18266977346804,9.670087396753194,0.5543653395469361,0.019340174793506387,224,0.0,0.0,0.0,-29.00039291381836,0.0,275.8309631347656,8.824562282683246e-06,-63.800295585999265,-1.1087251101885714e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.1875,15,flat_plate,295.7441033685498,9.5168361837313,0.5914882067370997,0.0190336723674626,224,0.0,0.0,0.0,-31.73540496826172,0.0,294.1904296875,6.649647030343431e-06,-69.81845368724316,1.9717889191937787e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.25,20,flat_plate,307.4966720163529,9.263499394122743,0.6149933440327058,0.018526998788245486,224,0.0,0.0,0.0,-33.621917724609375,0.0,305.7933654785156,-1.800555435949036e-05,-73.48033485561609,-1.5432223953396745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.3125,25,flat_plate,315.4769878672359,9.016789972731972,0.6309539757344718,0.018033579945463944,224,0.0,0.0,0.0,-34.976871490478516,0.0,313.66168212890625,0.000533997203142178,-75.9009660424199,8.375979528962504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.375,30,flat_plate,321.1509668444283,8.801999786134413,0.6423019336888566,0.017603999572268825,224,0.0,0.0,0.0,-35.9792366027832,0.0,319.25054931640625,5.322079828573578e-05,-77.5874154670164,5.657782453505691e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.4375,35,flat_plate,325.2930429085378,8.621389986243585,0.6505860858170757,0.01724277997248717,224,0.0,0.0,0.0,-36.734554290771484,0.0,323.3271789550781,0.0009896816064944858,-78.79925566352904,5.590719989440225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.5,40,flat_plate,328.4472966390921,8.472783724869807,0.6568945932781842,0.016945567449739612,224,0.0,0.0,0.0,-37.320701599121094,0.0,326.4300537109375,-0.0015526573704605084,-79.71133996034041,-0.00025127095928918763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.5625,45,flat_plate,330.85665457207415,8.349219270413744,0.6617133091441483,0.01669843854082749,224,0.0,0.0,0.0,-37.77838134765625,0.0,328.79876708984375,-0.0019787455480120286,-80.40027011255734,-0.00036770647639911697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
0.625,50,flat_plate,332.74250919771407,8.246532984468637,0.6654850183954282,0.016493065968937272,224,0.0,0.0,0.0,-38.14252853393555,0.0,330.6519775390625,-0.0012805926087793296,-80.9338028950151,-8.564512738913274e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000596046448,-6.988644827288226e-07,0.0
