time,step,ensemble_size,relative_standard_error_l2_velocity,relative_standard_error_l2_vorticity,half_ensemble_relative_difference_velocity,half_ensemble_relative_difference_vorticity,minimum_absolute_circulation_capture_fraction,mean_absolute_circulation_capture_fraction
0.0,0,8,4.1322257623297664e-17,4.3826246388682764e-17,1.0932841728298803e-16,1.1595334884189722e-16,0.9999999999999996,0.9999999999999996
0.193999999998,6,8,0.001833557925497983,0.006581178006786892,0.0013794940763339589,0.004618527313342366,0.9999999999999998,1.0
0.387999999996,12,8,0.0022153490427741364,0.0077826675675087215,0.0017667756757826045,0.0053255168101687764,0.9999999999999998,1.0
0.581999999994,18,8,0.0028868265000037284,0.00974963218388542,0.0028496836220636926,0.009259156879431322,0.9999999999999998,1.0
0.775999999992,24,8,0.0029778029662364037,0.010982868375873872,0.003378668547500987,0.01251117882374905,0.9999999999999996,0.9999999999999998
0.96999999999,30,8,0.0030532706985070867,0.0117532779051564,0.0030303077794886094,0.011938600489608243,0.9999999999999996,0.9999999999999998
1.163999999988,36,8,0.0035086450712166635,0.013412548818429437,0.00322008591668659,0.01284208165036383,0.9999999999999996,0.9999999999999998
1.357999999986,42,8,0.0038803382153533668,0.014471960500463022,0.004358728943265822,0.017253056814938935,0.9999999999999998,0.9999999999999999
1.551999999984,48,8,0.00405787068842562,0.01558792607732593,0.005258338226184211,0.019290577201639167,0.9999999999999998,0.9999999999999999
1.745999999982,54,8,0.004335905792846715,0.01738964193834957,0.006084989701704349,0.023860084500054748,0.9999999999999998,1.0
1.93999999998,60,8,0.004480387620465143,0.01841642675236704,0.006594985317943607,0.02469904022314882,0.9999999999999996,0.9999999999999998
2.133999999978,66,8,0.004555157354096219,0.018725774687368565,0.007088155849687445,0.02471169598436739,0.9999999999999996,1.0
2.327999999976,72,8,0.004536937039259517,0.01952501785806821,0.006709444398296819,0.022578270682855624,0.9999999999999998,1.0
2.521999999974,78,8,0.004832126343350196,0.02116726431568169,0.006561395697161606,0.024532103095736897,0.9999999999999998,1.0
2.715999999972,84,8,0.004975101904351495,0.022391741366585248,0.005961653715273884,0.023251702003363208,0.9999999999999998,0.9999999999999999
2.90999999997,90,8,0.004991610268017722,0.02221410549726832,0.0063468992418265905,0.024104241974467127,0.9999999999999996,0.9999999999999999
3.103999999968,96,8,0.005196652239436258,0.023008487874592014,0.006441692153443408,0.022865670388261133,1.0,1.0
3.297999999966,102,8,0.0052312864125538035,0.023204131053499943,0.006499774727591882,0.024844196090092696,0.9999999999999996,1.0
3.491999999964,108,8,0.0052425270134889256,0.023948494727255555,0.0069269722005674585,0.027214094393843327,0.9999999999999998,1.0
3.685999999962,114,8,0.005282177465931902,0.02477112849837025,0.007383978557578681,0.031018084111198257,0.9999999999999998,1.0
3.87999999996,120,8,0.005400648630623427,0.02548396801186767,0.007544128390320872,0.032962814017022855,0.9999999999999998,0.9999999999999999
4.073999999958,126,8,0.0056660976312536025,0.026843617715318187,0.007369304982586598,0.032360317409142594,0.9999999999999998,0.9999999999999999
4.267999999956,132,8,0.0056379880807694415,0.02748449937998557,0.00675354167974917,0.03045781108851551,0.9999999999999998,1.0
4.461999999954,138,8,0.005852110516111956,0.02817089237614063,0.006556140288132469,0.028463636643620432,0.9999999999999996,0.9999999999999999
4.655999999952,144,8,0.005946580428069931,0.028144083406524384,0.006407069056477374,0.029436120257034223,0.9999999999999998,1.0
4.84999999995,150,8,0.006202895486907013,0.02913059346311209,0.005731184481968668,0.028175164059492063,0.9999999999999998,0.9999999999999998
