run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank,ring
baseline,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,1,"[0.499997615814209, 0.499997615814209]","[1.0, 1.0]",-1.354488987085026e-05,0,1
baseline,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,1,"[-0.5000014305114746, -0.5000014305114746]","[1.0, 1.0]",-1.354488987085026e-05,1,2
baseline,0.15,40,0.679997444152832,1.0399999618530273,0.9463867187500001,2,2,1,"[0.679997444152832, 0.679997444152832]","[1.0399999618530273, 1.0399999618530273]",4.517076958320747e-06,0,1
baseline,0.15,40,-0.32000160217285156,0.9599999785423279,0.9031988525390626,2,2,1,"[-0.32000160217285156, -0.32000160217285156]","[0.9599999785423279, 0.9599999785423279]",4.517076958320747e-06,1,2
baseline,0.3,80,0.8399972915649414,1.0799999237060547,0.8724908447265626,2,2,1,"[0.8399972915649414, 0.8399972915649414]","[1.0799999237060547, 1.0799999237060547]",2.4872589260201494e-05,0,1
baseline,0.3,80,-0.12000179290771484,0.9199999570846558,0.7913282775878907,2,2,1,"[-0.12000179290771484, -0.12000179290771484]","[0.9199999570846558, 0.9199999570846558]",2.4872589260201494e-05,1,2
baseline,0.45,120,0.9799971580505371,1.1200000047683716,0.8084895324707032,2,2,1,"[0.9799971580505371, 0.9799971580505371]","[1.1200000047683716, 1.1200000047683716]",4.7884346116249205e-05,0,1
baseline,0.45,120,0.07999801635742188,0.85999995470047,0.7059301757812501,2,2,1,"[0.07999801635742188, 0.07999801635742188]","[0.85999995470047, 0.85999995470047]",4.7884346116249205e-05,1,2
baseline,0.6,160,1.1199970245361328,1.159999966621399,0.7503855133056642,2,2,1,"[1.1199970245361328, 1.1199970245361328]","[1.159999966621399, 1.159999966621399]",1.4096916578522308e-05,0,1
baseline,0.6,160,0.31999778747558594,0.8199999928474426,0.6278030395507813,2,2,1,"[0.31999778747558594, 0.31999778747558594]","[0.8199999928474426, 0.8199999928474426]",1.4096916578522308e-05,1,2
baseline,0.75,200,1.2599968910217285,1.2200000286102295,0.6959570312500001,2,2,1,"[1.2599968910217285, 1.2599968910217285]","[1.2200000286102295, 1.2200000286102295]",0.0007672236630934747,0,1
baseline,0.75,200,0.55999755859375,0.7400000095367432,0.5402040481567384,2,2,1,"[0.55999755859375, 0.55999755859375]","[0.7400000095367432, 0.7400000095367432]",0.0007672236630934747,1,2
baseline,0.9,240,1.3599967956542969,1.2400000095367432,0.6553425598144532,2,2,1,"[1.3599967956542969, 1.3599967956542969]","[1.2400000095367432, 1.2400000095367432]",0.009112041556264973,0,1
baseline,0.9,240,0.8599972724914551,0.699999988079071,0.4607330322265626,2,2,1,"[0.8599972724914551, 0.8599972724914551]","[0.699999988079071, 0.699999988079071]",0.009112041556264973,1,2
baseline,1.05,280,1.4399967193603516,1.2599999904632568,0.6066888427734376,2,2,1,"[1.4399967193603516, 1.4399967193603516]","[1.2599999904632568, 1.2599999904632568]",0.02053470443534891,0,1
baseline,1.05,280,1.2399969100952148,0.6399999856948853,0.4111753082275391,2,2,1,"[1.2399969100952148, 1.2399969100952148]","[0.6399999856948853, 0.6399999856948853]",0.02053470443534891,1,2
baseline,1.2,320,1.53999662399292,1.2999999523162842,0.5880162811279298,2,2,1,"[1.53999662399292, 1.53999662399292]","[1.2999999523162842, 1.2999999523162842]",0.039561576385013716,0,1
baseline,1.2,320,1.6199965476989746,0.6800000071525574,0.3831983947753907,2,2,1,"[1.6199965476989746, 1.6199965476989746]","[0.6800000071525574, 0.6800000071525574]",0.039561576385013716,1,2
baseline,1.35,360,1.599996566772461,1.2599999904632568,0.5528665161132813,2,2,1,"[1.599996566772461, 1.599996566772461]","[1.2599999904632568, 1.2599999904632568]",0.07249827344631744,0,1
