run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank
baseline,0.0,0,0.499997615814209,1.0,1.0008936309814453,2,2,1,"[0.499997615814209, 0.499997615814209]","[1.0, 1.0]",-1.354488987085026e-05,0
baseline,0.0,0,-0.5000014305114746,1.0,1.0008557128906252,2,2,1,"[-0.5000014305114746, -0.5000014305114746]","[1.0, 1.0]",-1.354488987085026e-05,1
baseline,0.15,40,0.679997444152832,1.0399999618530273,0.9557710266113283,2,2,1,"[0.679997444152832, 0.679997444152832]","[1.0399999618530273, 1.0399999618530273]",-1.8030804271154864e-06,0
baseline,0.15,40,-0.32000160217285156,0.9599999785423279,0.9078285217285158,2,2,1,"[-0.32000160217285156, -0.32000160217285156]","[0.9599999785423279, 0.9599999785423279]",-1.8030804271154864e-06,1
baseline,0.3,80,0.8399972915649414,1.0799999237060547,0.919639129638672,2,2,1,"[0.8399972915649414, 0.8399972915649414]","[1.0799999237060547, 1.0799999237060547]",9.673634831253037e-06,0
baseline,0.3,80,-0.12000179290771484,0.9199999570846558,0.821594696044922,2,2,1,"[-0.12000179290771484, -0.12000179290771484]","[0.9199999570846558, 0.9199999570846558]",9.673634831253037e-06,1
baseline,0.45,120,0.9999971389770508,1.1399999856948853,0.8758763885498048,2,2,1,"[0.9999971389770508, 0.9999971389770508]","[1.1399999856948853, 1.1399999856948853]",2.638642183609484e-05,0
baseline,0.45,120,0.09999799728393555,0.85999995470047,0.7501926422119142,2,2,1,"[0.09999799728393555, 0.09999799728393555]","[0.85999995470047, 0.85999995470047]",2.638642183609484e-05,1
baseline,0.6,160,1.1399970054626465,1.159999966621399,0.8335992431640626,2,2,1,"[1.1399970054626465, 1.1399970054626465]","[1.159999966621399, 1.159999966621399]",2.3131552864472115e-05,0
baseline,0.6,160,0.29999780654907227,0.8199999928474426,0.6724593353271485,2,2,1,"[0.29999780654907227, 0.29999780654907227]","[0.8199999928474426, 0.8199999928474426]",2.3131552864472115e-05,1
baseline,0.75,200,1.2599968910217285,1.2200000286102295,0.8213946533203126,2,2,1,"[1.2599968910217285, 1.2599968910217285]","[1.2200000286102295, 1.2200000286102295]",6.174943787789266e-05,0
baseline,0.75,200,0.5999975204467773,0.7400000095367432,0.599690399169922,2,2,1,"[0.5999975204467773, 0.5999975204467773]","[0.7400000095367432, 0.7400000095367432]",6.174943787789266e-05,1
baseline,0.9,240,1.3799967765808105,1.2400000095367432,0.7955383300781251,2,2,1,"[1.3799967765808105, 1.3799967765808105]","[1.2400000095367432, 1.2400000095367432]",0.0002923468287323771,0
baseline,0.9,240,0.8799972534179688,0.699999988079071,0.5625954818725587,2,2,1,"[0.8799972534179688, 0.8799972534179688]","[0.699999988079071, 0.699999988079071]",0.0002923468287323771,1
baseline,1.05,280,1.4599967002868652,1.2599999904632568,0.7602693176269533,2,2,1,"[1.4599967002868652, 1.4599967002868652]","[1.2599999904632568, 1.2599999904632568]",0.0013067388490077656,0
baseline,1.05,280,1.2399969100952148,0.6399999856948853,0.5064871978759766,2,2,1,"[1.2399969100952148, 1.2399969100952148]","[0.6399999856948853, 0.6399999856948853]",0.0013067388490077656,1
baseline,1.2,320,1.5599966049194336,1.2799999713897705,0.7271286010742188,2,2,1,"[1.5599966049194336, 1.5599966049194336]","[1.2799999713897705, 1.2799999713897705]",0.003471960838475949,0
baseline,1.2,320,1.659996509552002,0.6399999856948853,0.49356910705566415,2,2,1,"[1.659996509552002, 1.659996509552002]","[0.6399999856948853, 0.6399999856948853]",0.003471960838475949,1
baseline,1.35,360,1.659996509552002,1.2400000095367432,0.6901258850097657,2,2,1,"[1.659996509552002, 1.659996509552002]","[1.2400000095367432, 1.2400000095367432]",0.0021802818547194463,0
baseline,1.35,360,1.9999961853027344,0.6800000071525574,0.4717683410644532,2,2,1,"[1.9999961853027344, 1.9999961853027344]","[0.6800000071525574, 0.6800000071525574]",0.0021802818547194463,1
baseline,1.5,400,1.7399964332580566,1.2200000286102295,0.6559507751464845,2,2,1,"[1.7399964332580566, 1.7399964332580566]","[1.2200000286102295, 1.2200000286102295]",0.001713802205602324,0
baseline,1.5,400,2.339995861053467,0.7199999690055847,0.49720478057861334,2,2,1,"[2.339995861053467, 2.339995861053467]","[0.7199999690055847, 0.7199999690055847]",0.001713802205602324,1
baseline,1.65,440,1.8799962997436523,1.1799999475479126,0.620443458557129,2,2,1,"[1.8799962997436523, 1.8799962997436523]","[1.1799999475479126, 1.1799999475479126]",0.000848764935729468,0
