time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth
3.1194368848,400,22.732168197631836,845.6834716796875,717.29443359375,0.0,direct_energy_backward_difference,-1.282751202583313,0.7556113004684448,54.51908874511719,-0.004867989104241133,0.07864205539226532,-0.07906028628349304,19.788145065307617,0.3989953100681305,0.5469319820404053,-2.1660096645355225,-1.9211187362670898,0.7093208432197571,32578,0.05498393252491951,0.0006510274833999574,0.001710072043351829,0.0016982249217107892,0.002757269423455,0.0,0.13475138797511696,0.3388023229968896,0.7388388574384568,0.1664019326829244,14.629631226186978,32,filament refinement,0.0,0.0,0.0,6.971173922268919e-08
3.15842984586,405,22.71746253967285,846.032470703125,718.5059814453125,-0.37713622046697237,direct_energy_backward_difference,-1.285339117050171,0.7961471080780029,55.355228424072266,-0.0048684184439480305,0.078640878200531,-0.07906107604503632,19.766353607177734,0.37452971935272217,0.5819762349128723,-2.330085515975952,-2.100503444671631,0.6506224870681763,32578,0.0551886186003685,0.0006465425249189138,0.0017108829924836755,0.0016937401378527284,0.00275808060541749,0.0,0.13572508907481315,0.3377503611573963,0.786863971554461,0.18658514300233436,15.025372534648774,32,filament refinement,0.0,0.0,0.0,6.971173922268919e-08
3.19742280692,410,22.692880630493164,846.8104858398438,719.9839477539062,-0.6304191451852653,direct_energy_backward_difference,-1.290493369102478,0.6905702352523804,56.254722595214844,-0.004867732524871826,0.07864274084568024,-0.07905784994363785,19.741743087768555,0.3491099178791046,0.6189494132995605,-2.495129108428955,-2.303870677947998,0.5963432788848877,32578,0.05551418289542198,0.0006432217778638005,0.001681700348854065,0.0016904192743822932,0.0027288978453725576,0.0,0.13668964314441726,0.33637244643686326,0.7824741036111906,0.19788921426210662,15.22316008305452,32,filament refinement,0.0,0.0,0.0,6.971173922268919e-08
3.23641576798,415,22.654233932495117,847.4396362304688,721.253662109375,-0.9911198572116577,direct_energy_backward_difference,-1.2971206903457642,0.41742613911628723,57.22901916503906,-0.0048661502078175545,0.07863514870405197,-0.07907182723283768,19.715068817138672,0.3233081102371216,0.6574581265449524,-2.6577508449554443,-2.5376882553100586,0.545988917350769,32578,0.06289021670818329,0.0006404196028597653,0.0016640502726659179,0.001687617041170597,0.0027112476527690887,0.0,0.13764563299277788,0.33514997716601136,0.7657012371503903,0.20618658600738138,15.598767406551843,32,filament refinement,0.0,0.0,0.0,6.971173922268919e-08
3.27540872904,420,22.5960750579834,847.5538330078125,721.9669799804688,-1.491522390983016,direct_energy_backward_difference,-1.2993278503417969,0.21816952526569366,58.2629508972168,-0.004869864787906408,0.07863125950098038,-0.07905543595552444,19.686880111694336,0.2994300425052643,0.696334183216095,-2.80747389793396,-2.8059399127960205,0.5072714686393738,32578,0.0714091807603836,0.0006377617828547955,0.001677087158896029,0.0016849592793732882,0.0027242847718298435,0.0,0.1385935483031184,0.3339922568310705,0.7689943795562401,0.2091080693995881,16.09499947107797,32,filament refinement,0.0,0.0,0.0,6.971173922268919e-08
3.3144016901,425,22.542917251586914,846.9168701171875,722.2946166992188,-1.3632667269020287,direct_energy_backward_difference,-1.298336386680603,0.43233340978622437,59.35356140136719,-0.00870754849165678,0.09082289785146713,-0.08247349411249161,19.66798210144043,0.2883763313293457,0.7601014375686646,-2.9265875816345215,-3.1845476627349854,0.5102890729904175,33245,0.06423477828502655,0.0006254448089748621,0.001689756871201098,0.0016726423054933548,0.0027369544841349125,0.0,0.13954009285661972,0.3230219677003232,0.8114780791600138,0.20550223906186077,15.158785479590046,34,filament refinement,0.0,2.3942717258015117e-16,0.0,6.971173922268919e-08
3.35339465116,430,22.44859504699707,845.7090454101562,721.78076171875,-2.41895465298741,direct_energy_backward_difference,-1.3022196292877197,0.4259926676750183,60.490089416503906,-0.008709240704774857,0.09081815183162689,-0.08248138427734375,19.636276245117188,0.27296584844589233,0.8011503219604492,-3.0264225006103516,-3.5337488651275635,0.48678475618362427,33245,0.06901764869689941,0.0006222334341146052,0.001684456830844283,0.001669430872425437,0.002731654327362776,0.0,0.14046691511023007,0.3222408153417452,0.8453434948690808,0.20553821427069238,15.709386479353256,34,filament refinement,0.0,2.3942717258015117e-16,0.0,6.971173922268919e-08
3.39238761222,435,22.352489471435547,845.1251831054688,721.7822265625,-2.464690368439631,direct_energy_backward_difference,-1.3047544956207275,0.18860550224781036,61.77762222290039,-0.00871273223310709,0.09083087742328644,-0.0824727714061737,19.60151481628418,0.2604473829269409,0.8463519215583801,-3.1091346740722656,-3.922520399093628,0.4554923176765442,33245,0.07414694130420685,0.0006183510995469987,0.0017616190016269684,0.0016655485378578305,0.002808816498145461,0.0,0.14138574723032726,0.3216536698379208,0.8813059667726396,0.20463747093664758,16.450384588769865,34,filament refinement,0.0,2.3942717258015117e-16,0.0,6.971173922268919e-08
3.43138057328,440,22.265676498413086,846.2489624023438,723.2322387695312,-2.22637549605116,direct_energy_backward_difference,-1.308496117591858,-0.202287957072258,63.25160217285156,-0.008710477501153946,0.09083687514066696,-0.08248249441385269,19.564250946044922,0.24917902052402496,0.8985690474510193,-3.181037187576294,-4.354465961456299,0.40142688155174255,33245,0.08088423311710358,0.000614766264334321,0.001814229879528284,0.0016619637608528137,0.0028614273760467768,0.0,0.14229656714911854,0.3201072553039843,0.9088767972783194,0.20743194493315809,17.238103246066537,34,filament refinement,0.0,2.3942717258015117e-16,0.0,6.971173922268919e-08
3.47037353434,445,22.198209762573242,849.8167724609375,726.7706298828125,-1.7302285850010048,direct_energy_backward_difference,-1.318403959274292,-0.5868055820465088,64.92603302001953,-0.00870872475206852,0.09083182364702225,-0.08247636258602142,19.525283813476562,0.23895306885242462,0.9599421620368958,-3.2530927658081055,-4.8291778564453125,0.3201810121536255,33245,0.0892418920993805,0.0006118934834375978,0.0018371458863839507,0.0016590909799560905,0.0028843432664871216,0.0,0.1431998862442459,0.3183672152993674,0.9380185852398895,0.21216185187230255,17.865542488456217,34,filament refinement,0.0,2.3942717258015117e-16,0.0,6.971173922268919e-08
