# time=0.018
position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
-12.0,0.0,0.0,6.9966316,5.6997123e-08,1.4517009e-06,4.5513384975492954e-05,2.7969159418717027e-05,-8.439864885190218e-05
-11.833333,0.0,0.0,6.9965076,4.9410346e-08,1.5703663e-06,0.0001122759422287345,3.920125891454518e-06,4.5891301994060996e-05
-11.666667,0.0,0.0,6.996377,5.5361625e-08,1.672016e-06,4.9565453082323074e-05,-7.137250213418156e-05,-2.4431412214198645e-05
-11.5,0.0,0.0,6.9962406,5.4747716e-08,1.8168248e-06,-6.527593359351158e-05,4.1102121031144634e-05,3.4446250765540753e-05
-11.333333,0.0,0.0,6.996097,4.130129e-08,1.9684835e-06,1.2304168194532394e-05,-6.904856854816899e-05,-2.9940318256649334e-05
-11.166667,0.0,0.0,6.995947,6.304981e-08,2.1325232e-06,5.380879156291485e-05,6.489513907581568e-06,9.046685420344147e-06
-11.0,0.0,0.0,6.995789,5.213701e-08,2.318474e-06,2.1828338503837585e-05,0.00010844710050150752,4.999118078785614e-05
-10.833333,0.0,0.0,6.995623,5.3780013e-08,2.518846e-06,9.269639849662781e-05,4.6751600166317075e-05,1.5614991184520477e-05
-10.666667,0.0,0.0,6.995449,5.718175e-08,2.7121469e-06,1.678592525422573e-05,-2.9888182325521484e-05,-8.903807668048103e-06
-10.5,0.0,0.0,6.9952655,6.939308e-08,2.9479725e-06,0.00019844085909426212,0.0001009592815535143,-1.037819782823135e-05
-10.333333,0.0,0.0,6.995073,5.3873237e-08,3.2341568e-06,6.147590465843678e-05,-1.3598812074633315e-05,3.417763156221554e-05
-10.166667,0.0,0.0,6.9948697,5.1424195e-08,3.5192115e-06,2.3893779143691063e-05,-4.7087818529689685e-05,0.00011370363159812769
-10.0,0.0,0.0,6.9946566,1.286412e-08,3.839747e-06,9.760051034390926e-05,6.806410965509713e-06,4.979800200999307e-05
-9.833334,0.0,0.0,6.994431,3.2463277e-08,4.185077e-06,7.02438410371542e-05,6.341897824313492e-05,-2.0789911332030897e-05
-9.666666,0.0,0.0,6.994194,-1.6850208e-08,4.633994e-06,6.952229887247086e-05,4.280947905499488e-05,-2.3480444724555127e-05
-9.5,0.0,0.0,6.9939437,1.3778845e-09,5.055026e-06,0.00022590579465031624,-0.0001013774162856862,-7.12794964101704e-05
-9.333333,0.0,0.0,6.9936795,-1.5641035e-08,5.5631654e-06,0.00015192897990345955,3.9053520595189184e-05,-6.198833034432027e-05
-9.166667,0.0,0.0,6.9934,-4.0179657e-08,6.1346263e-06,0.00010510347783565521,0.00011403195094317198,-5.101128510887065e-05
-9.0,0.0,0.0,6.993106,-2.5356712e-08,6.7522037e-06,-3.135111182928085e-05,-9.040802251547575e-05,3.152637032144412e-05
-8.833333,0.0,0.0,6.992817,-1.1494135e-06,-7.472295e-07,0.0001348690129816532,-3.292505789431743e-05,7.020337261565146e-05
-8.666666,0.0,0.0,6.99249,-1.3180174e-06,1.246956e-05,0.00020387256518006325,-0.00010204376303590834,-6.845583425274526e-05
-8.5,0.0,0.0,6.992143,-1.4774937e-06,1.3145373e-05,0.00032334867864847183,1.269056519959122e-05,-1.0079943876917241e-05
-8.333334,0.0,0.0,6.991777,-1.633151e-06,1.3874978e-05,8.35023820400238e-06,2.9792099667247385e-05,3.263595488078863e-05
-8.166666,0.0,0.0,6.991389,-1.8376786e-06,1.41577475e-05,0.00010480731725692749,0.00011084858851972967,8.088479944490246e-06
-8.0,0.0,0.0,6.9909782,-1.9801046e-06,3.238315e-06,0.00022088317200541496,-3.6614663258660585e-05,6.294429624631448e-05
-7.8333335,0.0,0.0,6.9905424,-2.2298605e-06,3.2730513e-06,0.0002524754963815212,-3.0499446438625455e-05,-3.026534966465988e-05
-7.666667,0.0,0.0,6.99008,-2.5181344e-06,3.3303513e-06,0.0002941293641924858,-0.0001852927089203149,-2.6839844736059604e-05
-7.5,0.0,0.0,6.989589,-1.0385611e-07,4.6736004e-06,0.0002442784607410431,-8.540817361790687e-05,-6.4369962501587e-05
-7.333333,0.0,0.0,6.9890685,-1.0438089e-07,4.804824e-06,0.00034053903073072433,-0.00012855800741817802,2.6999825536222488e-05
-7.1666665,0.0,0.0,6.9885154,-1.17012405e-07,5.0094004e-06,0.00021959096193313599,0.00021310911688487977,-2.946030156181223e-05
-7.0,0.0,0.0,6.987927,-1.3155568e-07,5.09234e-06,0.00023909471929073334,0.00012440021964721382,3.4316610708629014e-05
