time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0625,5,1.9333876371383667,58.37181091308594,17.43195152282715,0.0,direct_energy_backward_difference,-0.5711187720298767,2.5465851649641987e-11,8.60775089263916,8.316419553011656e-09,-8.416422843933105,5.820766091346741e-11,-0.5923402905464172,-1.135049387812614e-09,-4.425840377807617,1.8387564182376082e-07,2.9540700912475586,-5.8673322200775146e-08,280,0.1822198182344436,0.0635912865400314,0.2283425331115722,0.5880571603775024,0.0005418376531451,0.0023536116350442,0.0105418367311358,0.0123536111786961,0.0,0.2283425224146672,0.4457115504914879,0.7634205988284453,0.1626138723759838,2.466085590465564,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0168763037770986,0.0,-0.4607551030311622,-1.0530953935775795,0.0,8.316419553011656e-09,0.0,-1.135049387812614e-09,8.416423797607422,9.5367431640625e-07,-3.791520306203721,-8.217360684011338,0.0,5.820766091346741e-11,0.0168763037770986,0.0130220568472424,0.1822198182344436,158.77413588186397
0.125,10,12.513090133666992,157.8457489013672,63.87950134277344,169.275239944458,direct_energy_backward_difference,-2.5262160301208496,-1.811713445931673e-09,25.44132423400879,-5.0989910960197455e-08,-23.082847595214844,-3.4924596548080444e-10,-1.9152003526687624,5.2677933126688e-09,-14.674812316894531,6.183981895446777e-07,7.943167686462402,2.2165477275848389e-07,560,0.2386501133441925,0.0830259025096893,0.266367495059967,0.5901911854743958,0.004077055491507,0.0189868193119764,0.0140770552679896,0.028986819088459,0.0,0.2663674880617431,0.4340918809531373,1.053483762616425,0.1227878027351863,5.7695687054106495,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.035196384601295,0.0,-0.946271644099129,-2.861471996767891,0.0,-5.0989910960197455e-08,0.0,5.2677933126688e-09,23.082860946655273,1.33514404296875e-05,-14.234998536339198,-28.90981085323373,0.0,-3.4924596548080444e-10,0.035196384601295,0.0234764374571078,0.2386501133441925,158.4789659968369
0.1875,15,16.776092529296875,168.84634399414062,77.6993179321289,68.20803833007812,direct_energy_backward_difference,-2.775538682937622,1.2194504961371422e-08,33.10059356689453,-3.585591912269592e-08,-27.15122413635254,-4.8166839405894286e-08,-2.7363924980163574,6.984919309616089e-09,-22.93824005126953,-1.5720725059509275e-06,8.378369331359863,2.328306436538697e-07,840,0.2386509925127029,0.0991442576050758,0.2894834876060486,0.5923261046409607,0.0049720010720193,0.0239743702113628,0.0149720013141632,0.0339743718504905,0.0,0.289483511430167,0.4560939758421475,0.9553309283977872,0.1132271450239286,8.13271605594334,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0421342890709638,0.0,-1.0259691949117775,-3.762361692928135,0.0,-3.585591912269592e-08,0.0,6.984919309616089e-09,27.15124130249023,1.71661376953125e-05,-24.609065159555744,-47.54730521082527,0.0,-4.8166839405894286e-08,0.0421342890709638,0.0303213259031681,0.2386509925127029,157.7551968936596
0.25,20,19.683815002441406,180.0323028564453,88.717041015625,46.5235595703125,direct_energy_backward_difference,-2.837714672088623,4.9949449021369225e-08,39.2999267578125,-4.350004019215703e-07,-29.27863883972168,-1.3783574104309082e-07,-3.461948871612549,4.409230314195156e-08,-31.263607025146484,-4.502799129113555e-06,5.231788635253906,1.278938725590706e-06,1120,0.2386584728956222,0.1125164106488227,0.3024922013282776,0.5944653749465942,0.0049612140282988,0.0242020860314369,0.0149612138047814,0.0342020839452743,0.0,0.3024921955208161,0.4632700905812177,1.0742275390730536,0.1060455790229048,10.96470715732786,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0435622692108154,0.0,-1.075430791666465,-4.5373796632790135,0.0,-4.350004019215703e-07,0.0,4.409230314195156e-08,29.27869033813477,5.14984130859375e-05,-35.46683433479721,-66.7304413599437,0.0,-1.3783574104309082e-07,0.0435622692108154,0.0333879908855719,0.2386584728956222,156.6428584318206
0.3125,25,22.293088912963867,193.599609375,100.01927185058594,41.748382568359375,direct_energy_backward_difference,-2.9231770038604736,2.128072082996369e-07,44.958396911621094,-9.83476638793945e-07,-30.58493995666504,-1.4901161193847656e-07,-4.1333088874816895,1.6391277313232425e-07,-39.88488006591797,7.152557373046875e-07,-1.6648645401000977,7.152557373046875e-07,1400,0.238671988248825,0.1234372705221176,0.3113778233528137,0.5976865887641907,0.0048483745194971,0.0228118244558572,0.0148483738303184,0.0328118242323398,0.0,0.3113778395312173,0.4678259139978997,0.9540255265993992,0.1047318842205225,11.355214034454075,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.04388447701931,0.0,-1.1083719318672984,-5.241680819348987,0.0,-9.83476638793945e-07,0.0,1.6391277313232425e-07,30.58500099182129,6.103515625e-05,-46.500025786353035,-86.384905852271,0.0,-1.4901161193847656e-07,0.04388447701931,0.0350814407111865,0.238671988248825,155.33704803185984
0.375,30,24.90433883666992,208.62791442871097,111.68147277832033,41.779998779296875,direct_energy_backward_difference,-3.03778076171875,-9.819814295042306e-07,50.35744857788086,-1.1997180990874767e-06,-31.45615577697754,5.434267222881317e-07,-4.768261909484863,6.193731678649783e-07,-48.80340576171875,-5.67002352909185e-05,-12.538576126098633,-5.434267222881317e-06,1680,0.2386913746595382,0.1334775537252426,0.3181599080562591,0.6017243266105652,0.0046820994466543,0.0214237459003925,0.0146821001544594,0.0314237475395202,0.0,0.3181599048099348,0.4718814033095618,0.9538215382266496,0.0971574984093728,11.68298822404679,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0451219990849494,0.0,-1.1314361908977526,-5.899698100382616,0.0,-1.1997180990874767e-06,0.0,6.193731678649783e-07,31.4562931060791,0.0001373291015625,-57.594231276038634,-106.3976370377574,0.0,5.434267222881317e-07,0.0451219990849494,0.0361477573032269,0.2386913746595382,153.92584139152189
0.4375,35,27.61138343811035,224.47610473632812,123.57233428955078,43.312713623046875,direct_energy_backward_difference,-3.172071695327759,-7.087364792823792e-07,55.614295959472656,-2.8312206268310547e-06,-32.06776809692383,1.1511147022247314e-06,-5.376347064971924,2.1345913410186768e-06,-57.982330322265625,2.7418136596679688e-05,-27.567533493041992,-5.140900611877441e-06,1960,0.2387164384126663,0.1428139805793762,0.3237062692642212,0.6057232022285461,0.0045022936537861,0.0203018952161073,0.0145022934302687,0.0303018949925899,0.0,0.3237062828121136,0.4730741990338084,0.953684257835989,0.0983061592284637,11.933661971817774,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0454604106023907,0.0,-1.148186694351249,-6.524533759323173,0.0,-2.8312206268310547e-06,0.0,2.1345913410186768e-06,32.068023681640625,0.0002555847167968,-68.69817695344882,-126.68050727571443,0.0,1.1511147022247314e-06,0.0454604106023907,0.036876177921895,0.2387164384126663,152.4112759264476
0.5,40,30.438777923583984,240.752685546875,135.58660888671875,45.238311767578125,direct_energy_backward_difference,-3.3177196979522705,-2.5186818675138056e-06,60.788604736328125,-4.327797796577215e-06,-32.51215362548828,1.820677425712347e-06,-5.963103294372559,3.3886462915688753e-06,-67.38289642333984,3.1176372431218624e-05,-46.88380813598633,-4.096655175089836e-06,2240,0.2387466579675674,0.1515669077634811,0.3284560143947601,0.6098496913909912,0.0043267300352454,0.0191836692392826,0.0143267288804054,0.0291836690157651,0.0,0.3284559852842774,0.4743455463949746,0.9535838167380304,0.0958291069126589,12.216856207932938,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.04639507625252,0.0,-1.160632856491859,-7.123736150864418,0.0,-4.327797796577215e-06,0.0,3.3886462915688753e-06,32.512611389160156,0.000457763671875,-79.78604580862917,-147.16894223196903,0.0,1.820677425712347e-06,0.04639507625252,0.0373969481006008,0.2387466579675674,150.94685755391143
0.5625,45,33.38639831542969,257.2156066894531,147.65203857421875,47.16192626953125,direct_energy_backward_difference,-3.471151113510132,-4.5085325837135315e-06,65.91781616210938,-7.331371307373047e-06,-32.84602737426758,2.78279185295105e-06,-6.532264709472656,4.883855581283569e-06,-76.96505737304688,-3.6716461181640625e-05,-70.5682601928711,-1.558661460876465e-05,2520,0.2387811988592147,0.1598218977451324,0.3326568007469177,0.6138994097709656,0.0041635348461568,0.0181111842393875,0.0141635350883007,0.02811118401587,0.0,0.3326567894823494,0.4743988250603904,0.9535120880394444,0.0939369999978645,12.080423226458151,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.047066690120846,0.0,-1.1701666929923462,-7.702431402465003,0.0,-7.331371307373047e-06,0.0,4.883855581283569e-06,32.84659957885742,0.0005722045898437,-90.85325225870632,-167.8183096317532,0.0,2.78279185295105e-06,0.047066690120846,0.0377870451187609,0.2387811988592147,150.1142723090659
0.625,50,36.44327545166016,273.7005615234375,159.71530151367188,48.9100341796875,direct_energy_backward_difference,-3.63363265991211,7.0863752625882626e-06,71.0236587524414,-1.8102582544088364e-05,-33.10078048706055,-1.487421104684472e-05,-7.086088180541992,7.91042111814022e-06,-86.70222473144531,-0.0001884414959931,-98.6919937133789,-4.0179118514060974e-05,2800,0.2388192117214203,0.1630830764770507,0.3364607393741607,0.617866039276123,0.0040169944986701,0.0171030163764953,0.0140169933438301,0.0271030161529779,0.0,0.3364607372454234,0.4730814388092329,0.9534508820651808,0.0984275561050433,13.146689309394183,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0475681680254638,0.0,-1.1775605887454688,-8.26364876928746,0.0,-1.8102582544088364e-05,0.0,7.91042111814022e-06,33.10148620605469,0.0007057189941406,-101.89045433567372,-188.59267906711904,0.0,-1.487421104684472e-05,0.0475681680254638,0.0380828517366128,0.2388192117214203,150.09792342786133
