time,CL,CD,CC,Fx,Fy,Fz,Mx,My,Mz,L,D,q,S_ref
0.15,-0.010280828726821841,-0.008328725232384584,0.010350299797431644,-0.024986178,-0.031050902,-0.030842489,5.4632314e-05,-0.003514924,0.0036235382,-0.030842488631606102,-0.024986177682876587,0.5,6.000000476837158
0.3,-0.006416083734942775,-0.0060246793111420225,0.006488343185119376,-0.01807404,-0.019465031,-0.019248253,4.0296e-05,-0.0018072575,0.0018662829,-0.019248252734541893,-0.01807403936982155,0.5,6.000000476837158
0.45,-0.003921682324275786,-0.0037414621071845604,0.004082343527091064,-0.011224387,-0.012247032,-0.011765048,1.4754944e-05,-0.0008958215,0.0009847768,-0.011765047907829285,-0.011224387213587761,0.5,6.000000476837158
0.6,-0.0029916674004660127,-0.0019463541302002167,0.003087294973946017,-0.005839063,-0.009261886,-0.008975003,1.515029e-05,-0.00042984076,0.00046728225,-0.00897500291466713,-0.005839062854647636,0.5,6.000000476837158
0.75,-0.0025887816328778557,-0.0010839190714423599,0.002652065617675335,-0.0032517575,-0.0079561975,-0.0077663455,1.1700671e-05,-0.00032900274,0.00033501955,-0.007766345515847206,-0.0032517574727535248,0.5,6.000000476837158
0.9,-0.002172964762809693,-0.0005942899261482615,0.002231436914687402,-0.0017828699,-0.0066943113,-0.006518895,1.1716969e-05,-0.00035402086,0.00035187975,-0.00651889480650425,-0.0017828699201345444,0.5,6.000000476837158
1.05,-0.001829023638047883,-0.00011255404948758686,0.0018787345287216083,-0.00033766218,-0.005636204,-0.0054870714,1.5022699e-05,-0.00043404102,0.00043569924,-0.0054870713502168655,-0.0003376621752977371,0.5,6.000000476837158
1.2,-0.0016570034051336126,0.0005211593789927659,0.001696930442497695,0.0015634783,-0.0050907917,-0.0049710106,2.0724256e-05,-0.0005267244,0.00053201336,-0.004971010610461235,0.001563478261232376,0.5,6.000000476837158
1.35,-0.0016260158220119617,0.0011291714108648768,0.0016539312826449647,0.0033875145,-0.0049617942,-0.004878048,2.5625806e-05,-0.0006249817,0.000631765,-0.004878047853708267,0.003387514501810074,0.5,6.000000476837158
1.5,-0.0016514179536566771,0.0014957473976812841,0.0016720920714066766,0.0044872425,-0.0050162766,-0.0049542543,2.8764363e-05,-0.00072565954,0.00073232595,-0.004954254254698753,0.004487242549657822,0.5,6.000000476837158
1.65,-0.0016780953762455483,0.0016077799065685346,0.0016945263886828114,0.00482334,-0.0050835796,-0.0050342865,3.0350406e-05,-0.0008040555,0.0008128206,-0.00503428652882576,0.004823340103030205,0.5,6.000000476837158
1.8,-0.0016905931033219415,0.0015169952100916536,0.0017035968489569943,0.004550986,-0.005110791,-0.0050717797,3.0844007e-05,-0.00084546953,0.0008587451,-0.00507177971303463,0.0045509859919548035,0.5,6.000000476837158
1.95,-0.0016900765297749416,0.001294258879084676,0.001699030885177383,0.003882777,-0.005097093,-0.00507023,3.1541567e-05,-0.0008448884,0.0008649365,-0.00507022999227047,0.0038827769458293915,0.5,6.000000476837158
2.1,-0.0016792576667262978,0.00100339071922376,0.0016859197270139275,0.0030101724,-0.0050577596,-0.0050377734,3.135437e-05,-0.0008174423,0.00084315194,-0.00503777340054512,0.0030101723968982697,0.5,6.000000476837158
2.25,-0.0016658782876826693,0.0007064621334106022,0.0016711166663077143,0.0021193866,-0.0050133504,-0.0049976353,3.1819567e-05,-0.00078313705,0.0008102716,-0.004997635260224342,0.0021193865686655045,0.5,6.000000476837158
2.4,-0.0016605002106825342,0.00042619676977819046,0.0016652511971989316,0.0012785904,-0.004995754,-0.004981501,3.174646e-05,-0.00075470284,0.00078238733,-0.004981501027941704,0.0012785904109477997,0.5,6.000000476837158
2.55,-0.0016662104593745503,0.00017624036560532526,0.0016704082403255908,0.00052872114,-0.005011225,-0.004998632,3.2679643e-05,-0.00074062217,0.0007693558,-0.004998631775379181,0.0005287211388349533,0.5,6.000000476837158
2.7,-0.00167597382358918,-5.111905029463368e-05,0.0016784567293757812,-0.00015335716,-0.0050353706,-0.005027922,3.2841228e-05,-0.00073893555,0.0007689968,-0.005027921870350838,-0.00015335716307163239,0.5,6.000000476837158
2.85,-0.001681250075995916,-0.0002658528374947836,0.0016820944750631274,-0.0007975586,-0.005046284,-0.0050437506,3.2320153e-05,-0.0007438455,0.00077765575,-0.005043750628829002,-0.0007975585758686066,0.5,6.000000476837158
3.0,-0.0016721380166500395,-0.0004764273384072512,0.0016738292983111303,-0.0014292821,-0.0050214883,-0.0050164144,3.0959025e-05,-0.00074983574,0.0007909895,-0.005016414448618889,-0.0014292821288108826,0.5,6.000000476837158
3.15,-0.0016381559212481243,-0.0006773533382134964,0.001641373330046866,-0.0020320602,-0.0049241204,-0.004914468,2.9271003e-05,-0.0007637609,0.00081011,-0.00491446815431118,-0.0020320601761341095,0.5,6.000000476837158
3.3,-0.0015707828097913416,-0.0008299741234402559,0.0015756753573278302,-0.0024899226,-0.0047270264,-0.004712349,2.7969945e-05,-0.0007931823,0.0008413219,-0.0047123488038778305,-0.0024899225682020187,0.5,6.000000476837158
3.45,-0.0014713424019938786,-0.0008757256517230946,0.0014773649541644292,-0.0026271772,-0.004432095,-0.0044140276,2.677925e-05,-0.0008486789,0.00089245755,-0.004414027556777,-0.0026271771639585495,0.5,6.000000476837158
3.6,-0.0013662966745061338,-0.0007660996801773961,0.001377794782098549,-0.0022982992,-0.0041333847,-0.0040988903,2.5890302e-05,-0.00091386214,0.0009496738,-0.004098890349268913,-0.0022982992231845856,0.5,6.000000476837158
3.75,-0.0012992327621195506,-0.0005584104163717892,0.0013142574775809068,-0.0016752314,-0.0039427727,-0.0038976986,2.4434179e-05,-0.00095148105,0.0009769723,-0.0038976985961198807,-0.0016752313822507858,0.5,6.000000476837158
3.9,-0.0012592765433171158,-0.00030665345536442953,0.0012764054267481624,-0.00091996044,-0.0038292166,-0.00377783,2.4409499e-05,-0.0009717094,0.0009926525,-0.0037778299301862717,-0.0009199604392051697,0.5,6.000000476837158
4.05,-0.0012188025092043473,-5.4282442388340444e-05,0.001238627260833799,-0.00016284734,-0.003715882,-0.0036564078,2.5051646e-05,-0.0010065818,0.0010265652,-0.003656407818198204,-0.0001628473401069641,0.5,6.000000476837158
4.2,-0.0011737991433303243,0.000155374395420202,0.0011948315098022214,0.00046612322,-0.0035844948,-0.0035213977,2.5866553e-05,-0.0010587284,0.0010789395,-0.0035213977098464966,0.00046612322330474854,0.5,6.000000476837158
4.35,-0.0011330301904256988,0.00027814443185771053,0.0011528406617768079,0.00083443336,-0.0034585223,-0.0033990908,2.6163645e-05,-0.0011135684,0.001134749,-0.0033990908414125443,0.0008344333618879318,0.5,6.000000476837158
4.5,-0.0011067277803637361,0.00028742040396369267,0.0011220852883986404,0.0008622613,-0.0033662561,-0.0033201836,2.5898218e-05,-0.0011584777,0.0011800756,-0.0033201836049556732,0.0008622612804174423,0.5,6.000000476837158
4.65,-0.0010974629841277613,0.00021660574542635715,0.001107976994277875,0.0006498173,-0.0033239312,-0.0032923892,2.552336e-05,-0.0011830237,0.0012076115,-0.003292389214038849,0.0006498172879219055,0.5,6.000000476837158
4.8,-0.001104476463438951,0.00010814206436140821,0.0011134233682613874,0.00032442622,-0.0033402704,-0.0033134297,2.53506e-05,-0.001181569,0.0012102006,-0.0033134296536445618,0.00032442621886730194,0.5,6.000000476837158
4.95,-0.0011204840345792743,1.0010475118122488e-05,0.0011316120966981176,3.0031428e-05,-0.0033948366,-0.0033614524,2.4571083e-05,-0.0011559855,0.0011865837,-0.0033614523708820343,3.003142774105072e-05,0.5,6.000000476837158
5.1,-0.0011370938609366527,-6.55514446456079e-05,0.001149731907269803,-0.00019665435,-0.003449196,-0.0034112819,2.4277717e-05,-0.0011183294,0.0011474239,-0.003411281853914261,-0.00019665434956550598,0.5,6.000000476837158
5.25,-0.0011485702376707206,-0.00010833019150652953,0.0011629088788899678,-0.0003249906,-0.003488727,-0.003445711,2.3713801e-05,-0.0010853568,0.0011085002,-0.003445710986852646,-0.0003249906003475189,0.5,6.000000476837158
5.4,-0.0011477419815268531,-0.00012404656914499846,0.0011616050273891268,-0.00037213974,-0.0034848154,-0.0034432262,2.320623e-05,-0.0010747667,0.0010879352,-0.0034432262182235718,-0.00037213973701000214,0.5,6.000000476837158
