time,step,total_kinetic_energy,energy_measurement,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,bound_linear_impulse_x,coupled_linear_impulse_x,bound_vortex_strength_x,coupled_vortex_strength_x,bound_linear_impulse_y,coupled_linear_impulse_y,bound_vortex_strength_y,coupled_vortex_strength_y,bound_linear_impulse_z,coupled_linear_impulse_z,bound_vortex_strength_z,coupled_vortex_strength_z,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.0,0,0.0,empty_particle_field,0.0,0.0,0.0,empty_particle_field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
0.01,1,0.0066839964062242,unbounded_energy,0.1780931517009096,0.1525964824070192,0.0,direct_energy_backward_difference,0.0,-5.7174723939665265e-21,0.3517250558355946,-8.673617379884035e-19,-0.3135548235186055,4.336808689942019e-19,-0.0130915191330211,-1.0842021724855044e-19,-0.1056931917998562,-6.3696877633523395e-19,0.0514830416637544,-1.0842021724855044e-19,16,0.0489557570477723,0.2846324384183925,0.2846324384183925,0.2846324384183925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0026373472490259,0.0,0.0019723296263307,-0.0111191895066904,-4.0115480381963664e-18,-4.87890977618477e-18,-9.629649721936181e-35,-1.0842021724855054e-19,0.3135548235186056,5.551115123125783e-17,0.0140338545057549,-0.0916593372941013,-6.776263578034404e-19,-2.439454888092385e-19,0.2846324384183925,0.4880209238599673,0.708259206216813,0.8177701307510712,21.996424623330167,0.0026373472490259,0.0020279499954888,0.0489557570477723,120.21679038702187
0.02,2,0.006348072121498138,unbounded_energy,0.17147723106310206,0.14668730857330906,-0.033592428472608515,direct_energy_backward_difference,0.0,1.257314531080602e-20,0.39616482675932607,4.336808689942018e-19,-0.30220994463255524,6.776263578034403e-20,-0.01277775562272133,-2.0032329202564203e-19,-0.11440040269877345,-4.45539330255762e-19,0.05743989848570034,6.776263578034403e-20,32,0.04895423984484836,0.2846324384183925,0.2846324384183925,0.28463243841839253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0025699415401155196,0.0,0.0018127889258884406,-0.01096496669683289,-7.589415207398531e-19,-3.2526065174565133e-19,-1.925929944387236e-34,-2.0032329202564222e-19,0.30220994463255524,0.0,0.012898663436340042,-0.10150173926243342,-5.421010862427522e-20,1.3552527156068805e-20,0.2846324384183925,0.26376699110862367,0.35539121909792276,0.706916934335125,25.438829511514115,0.0025699415401155196,0.001979871895319338,0.04895423984484836,120.213064711496
