time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,local_chord,spanwise_station_width,circulation,circulation_magnitude,relative_speed,section_lift_coefficient_from_circulation,lift_per_span,drag_per_span,section_lift_coefficient,section_force_x,section_force_y,section_force_z,section_force_units,force_density,span_coordinate_normalized
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.17844140080435655,0.17844140080435655,-0.3680071330830423,0.0,0.5349999999999999,0.12672421938121295,-0.4299910203471811,0.4299910203471811,3.9691822084041597,0.40498092108619005,15.073087326631072,2.045016171894063,3.5217493753810922,0.2591530780052315,-0.007904356512646652,1.9101252251321765,N,1.0,-0.27731647078862204
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.3051656201855695,0.3051656201855695,-0.45982396749308435,-0.15165806578919214,0.4049999999999999,0.12672421938121292,-0.39919390162554347,0.39919390162554347,3.975822887223719,0.49582890515490335,11.23753488405225,1.4702726673956263,3.468374964213658,0.18631915605324445,-0.011758833610226525,1.4240678359506704,N,1.0,-0.47425907000510986
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:2,mirror,2,-0.43188983956678245,0.43188983956678245,-0.5516408019031265,-0.3033161315783843,0.275,0.12672421938121295,-0.3364244762981071,0.3364244762981071,3.9835072096914925,0.6142133891545594,6.9311214587323065,0.8503213176500911,3.15050975396923,0.10775630520241221,-0.013355238268472534,0.8783409562942255,N,1.0,-0.6712016692215977
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:3,mirror,3,-0.5586140589479954,0.5586140589479954,-0.6434576363131684,-0.4549741973675764,0.14499999999999988,0.12672421938121295,-0.22796759514519327,0.22796759514519327,3.99724061365794,0.7866378150838534,2.8883107982670615,0.2924790342897268,2.4899231019543655,0.03706417730573665,-0.01220891127117514,0.3660189312407214,N,1.0,-0.8681442684380857
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:orig:0,orig,0,0.17844140080435655,0.17844140080435655,0.0,0.3680071330830423,0.5349999999999999,0.12672421938121295,0.4299910203471812,0.4299910203471812,3.9691822084041597,0.4049809210861901,15.073087326631075,2.0450161718940634,3.5217493753810927,0.2591530780052316,0.00790435651264664,1.910125225132177,N,1.0,0.27731647078862204
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:orig:1,orig,1,0.3051656201855695,0.3051656201855695,0.15165806578919214,0.45982396749308435,0.4049999999999999,0.12672421938121292,0.3991939016255433,0.3991939016255433,3.975822887223719,0.49582890515490313,11.237534884052247,1.4702726673956255,3.468374964213657,0.18631915605324434,0.011758833610226529,1.42406783595067,N,1.0,0.47425907000510986
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:orig:2,orig,2,0.43188983956678245,0.43188983956678245,0.3033161315783843,0.5516408019031265,0.275,0.12672421938121295,0.33642447629810707,0.33642447629810707,3.9835072096914925,0.6142133891545593,6.931121458732306,0.8503213176500912,3.1505097539692297,0.10775630520241222,0.013355238268472527,0.8783409562942254,N,1.0,0.6712016692215977
0.01,1,front_wing,main_wing,segment_0,main_wing:segment_0:orig:3,orig,3,0.5586140589479954,0.5586140589479954,0.4549741973675764,0.6434576363131684,0.14499999999999988,0.12672421938121295,0.22796759514519327,0.22796759514519327,3.99724061365794,0.7866378150838534,2.8883107982670615,0.2924790342897268,2.4899231019543655,0.03706417730573665,0.012208911271175142,0.3660189312407214,N,1.0,0.8681442684380857
0.02,2,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.17844140080435655,0.17844140080435655,-0.3680071330830423,0.0,0.5349999999999999,0.12672421938121295,-0.41235935701868576,0.41235935701868576,3.9711840892747152,0.38817900957430806,1.0694125390809754,0.07723786091542245,0.24986274277592888,0.009787907631181607,-0.007886324143468645,0.1355204692115175,N,1.0,-0.27731647078862204
0.02,2,front_wing,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.3051656201855695,0.3051656201855695,-0.45982396749308435,-0.15165806578919214,0.4049999999999999,0.12672421938121292,-0.3838844847050678,0.3838844847050678,3.977839736933706,0.4765717011657956,1.0684789556140746,0.04329550955958993,0.3297774554364428,0.005486589651650876,-0.01155687864346025,0.13540216157544724,N,1.0,-0.47425907000510986
