time,step,total_kinetic_energy,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,n_stabilization_events,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth
0.0375,6,0.0009143998031504452,6.678333282470703,4.071463584899902,0.0,-0.00010017504973802716,9.732986654853448e-05,0.1666560024023056,-1.1119773262180388e-06,-6.399131962098181e-07,-0.0007649865001440048,-4.0927659483713796e-08,-6.85686245560646e-08,-0.004142755176872015,3.758134425879689e-08,1.6839976524352096e-08,1.96452656382462e-05,1200,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.02299433293364321,0.534502422450101,0.9576743447937425,0.3311249993864672,20.748301803144287,0,none,0.0,0.0,0.0,0.0
0.075,12,0.0017659574514254928,12.050127029418945,7.319268703460693,0.02270820395400127,-0.0001807517692213878,6.392873910954222e-05,0.2703714370727539,-1.4264442143030465e-06,-2.4672817744431086e-07,-0.0018267477862536907,1.1863757976016132e-07,1.4615758914260368e-07,-0.008443716913461685,6.420418685593177e-08,-1.5493146321432505e-08,4.7994984925026074e-05,2400,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.022958392238942905,0.5583484564623352,1.232991402727961,0.2250283441004727,14.509418517202876,0,none,0.0,0.0,0.0,0.0
0.1125,18,0.0026443081442266703,17.102947235107422,10.348831176757812,0.02342268514136473,-0.00025654438650235534,-0.0004308449861127883,0.369899719953537,-1.5183541108854115e-06,-1.1017255019396544e-07,-0.0029690300580114126,1.5878894998877513e-07,-5.253546078165527e-07,-0.012728884816169739,-8.585693933582661e-09,-2.8263851703513865e-08,7.807479414623231e-05,3600,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.02293581683188677,0.5819168659358702,1.4388216830514553,0.23095229604769957,10.37878443668673,0,none,0.0,0.0,0.0,0.0
0.15,24,0.0036492564249783754,22.046709060668945,13.32666301727295,0.026798620820045478,-0.0003307004808448255,-0.0003962101473007351,0.47089964151382446,-1.576519252921571e-06,-8.173392416210845e-07,-0.004078986123204231,-1.2863893061876297e-07,-1.0981855211866787e-06,-0.017075099050998688,3.706800200120597e-08,2.097841189652172e-08,0.00010759579163277522,4800,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.022924004908418283,0.6073122261912874,1.4722912548081049,0.20695406257617346,9.475493427811944,0,none,0.0,0.0,0.0,0.0
0.1875,30,0.004833421669900417,27.336328506469727,16.498510360717773,0.03157773986458778,-0.00041004494414664805,-0.00014790955174248666,0.5745221376419067,-1.2728061165034887e-06,-7.389226084342226e-07,-0.005147235933691263,-4.221168694584776e-07,2.2777921060423978e-07,-0.021482832729816437,1.438439767298405e-07,-2.2475726169091104e-08,0.0001362705515930429,6000,0.000957504496909678,0.0,0.0,1.4999997802078724e-05,1.4999999621068127e-05,0.0,0.022942600067239256,0.6191523844685598,1.5386948507116336,0.22016864094444583,9.422974948731792,0,none,0.0,0.0,0.0,0.0
0.225,36,0.006124198902398348,32.78993606567383,19.749723434448242,0.03442072619994481,-0.0004918492049910128,0.00025515593006275594,0.6797586679458618,-1.4886064718666603e-06,-8.688701882419991e-07,-0.006155603099614382,1.8899055476140347e-07,1.0101105090143392e-06,-0.025992590934038162,2.0124248578667903e-07,5.1552548896438566e-09,0.00016483628132846206,7200,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.02298166020721611,0.6392504169358143,1.6564166311151094,0.20040391730916632,7.735616428344093,0,none,0.0,0.0,0.0,0.0
0.2625,42,0.0074297781102359295,38.45280456542969,23.143604278564453,0.0348154455423355,-0.0005767918191850185,0.0003793377836700529,0.7853336930274963,-2.526864818719332e-06,-6.367408786900342e-07,-0.007182647939771414,1.402146153850481e-06,8.510760380886495e-07,-0.030592378228902817,2.2979438796255636e-08,-1.2587463515956188e-07,0.00019352615345269442,8400,0.000957504496909678,0.0,0.0,1.4999998711573426e-05,1.4999999621068127e-05,0.0,0.023023686378063367,0.6482086008621859,1.6449034885514346,0.19723815314494714,8.268941940855143,0,none,0.0,0.0,0.0,0.0
0.3,48,0.008843161165714264,44.251670837402344,26.60107421875,0.037690214812755606,-0.0006637750193476677,0.0005767496768385172,0.8919583559036255,-2.0759214294230333e-06,-2.489923076609557e-07,-0.008177443407475948,1.7352508621115703e-06,6.247435635486909e-07,-0.03525139391422272,-2.0517431664757169e-07,-3.137832038646593e-07,0.00022527755936607718,9600,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.02306564846939485,0.6579134690787963,1.5511574152506484,0.1955387796404392,7.172672605462013,0,none,0.0,0.0,0.0,0.0
0.3375,54,0.010445085354149342,50.22041702270508,30.190567016601562,0.0427179783582687,-0.0007533063180744648,0.000667029176838696,0.999050498008728,-2.9400314360827906e-06,6.422669684980065e-07,-0.009176366031169891,1.5843942264837096e-06,2.5981146336562233e-06,-0.04001285880804062,1.683226855675457e-07,-3.8233150689848117e-07,0.0002568752388469875,10800,0.000957504496909678,0.0,0.0,1.4999999621068127e-05,1.4999999621068127e-05,0.0,0.023110548687012244,0.6721159452834734,1.9535857131018388,0.21688943148533885,5.8884034531686,0,none,0.0,0.0,0.0,0.0
0.375,60,0.012113532982766628,56.22897720336914,33.8018798828125,0.04449193676312767,-0.0008434343617409468,6.310336902970448e-05,1.1070852279663086,-4.212587100482779e-06,-3.1961099011823535e-07,-0.01013155933469534,1.783409743438824e-06,3.473031028988771e-06,-0.0448945015668869,5.819566695208778e-07,-6.585758001165232e-07,0.00028771223151125014,12000,0.0009610960260033607,0.0,0.0,1.4999997802078724e-05,1.4999999621068127e-05,0.0,0.023154257886266957,0.6791839461000817,1.684771125473114,0.21761048154525747,6.124488566677393,0,none,0.0,0.0,0.0,0.0
