time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total
0.0375,6,17.250275190649333,-17.250275190649333,0.0,7.21653e-07,-7.110691e-08,0.12983824,0.0003419090537764765,0.012511327362571847,-4.507389372035313e-05,0.1298382431268692,-0.1298382431268692,0.3920000000000001,0.019200853569933066,0.37854956584039645,10.388611263693663,-0.04990421490777666,5.4607829639226555,20.29900221592222,-0.049924895927282865,2.9042712412774563e-07,-6.416903488570824e-07,0.0,1200
0.075,12,17.193174825879407,-17.193174825879407,0.0,3.4468933e-08,5.973243e-07,0.12940846,-1.4745194402285467e-07,0.029763812650615493,-5.653355479889608e-05,0.12940846383571625,-0.12940846383571625,0.3920000000000001,0.019200853569933066,-0.0001632535575634832,24.713978812324154,-0.06259194481152039,-5.731470047891223,34.38470880908945,-0.06264990494235462,-1.6884769138414413e-09,-2.515439518901985e-07,0.0,2400
0.1125,18,16.971480808580452,-16.971480808580452,0.0,-1.4683792e-08,-2.6420116e-07,0.12773983,-0.012309087030695366,0.04121333402490612,-6.090002842944096e-05,0.1277398318052292,-0.1277398318052292,0.3920000000000001,0.019200853569933066,-13.628184161533216,34.22093385121833,-0.06742634939612933,-26.629063961723908,37.97084085921384,-0.0674174934681577,6.542541086673737e-08,-1.1094380170106888e-07,0.0,3600
0.15,24,17.071116411443505,-17.071116411443505,0.0,2.0870903e-07,-9.1500745e-08,0.12848976,-0.029552721789818798,0.041116774068622276,-6.566073270512977e-05,0.12848976254463196,-0.12848976254463196,0.3920000000000001,0.019200853569933066,-32.7197243810091,34.14075659900502,-0.07269723215501259,-45.52305665703258,29.872983956306165,-0.07268094838056942,1.2610689736902714e-07,-8.066194823186379e-07,0.0,4800
0.1875,30,17.308577272408904,-17.308577272408904,0.0,-3.102357e-07,-4.235062e-07,0.13027707,-0.04203216852412335,0.029135106461999405,-6.840638718112182e-05,0.13027706742286682,-0.13027706742286682,0.3920000000000001,0.019200853569933066,-46.53652475824545,24.191941141712967,-0.07573712331423886,-51.63593331645289,14.248057887248892,-0.07579237334146122,-1.157168298959732e-07,-7.44112185202539e-07,0.0,6000
0.225,36,17.495615513919162,-17.495615513919162,0.0,1.1279274e-07,-1.340158e-06,0.13168485,-0.04213941936746649,0.011851737933405354,-7.729965546964046e-05,0.13168485462665558,-0.13168485462665558,0.3920000000000001,0.019200853569933066,-46.6552690843612,9.840930112471373,-0.08558343423328747,-40.82314419027739,8.580099793801789e-05,-0.0857226761755739,-2.245769792352803e-09,-8.642018656246364e-07,0.0,7200
0.2625,42,17.47399450692754,-17.47399450692754,0.0,1.6766983e-06,-1.7310823e-06,0.13152212,-0.02941378512735424,-0.00034609465997775455,-8.505489039986198e-05,0.13152211904525757,-0.13152211904525757,0.3920000000000001,0.019200853569933066,-32.565898640876306,-0.287375014557212,-0.09416975502064187,-19.180077768175057,-4.148310740569506,-0.09440821267942218,4.3251202441751957e-07,-6.459595169872046e-07,0.0,8400
0.3,48,17.654238197023524,-17.654238197023524,0.0,8.3730333e-07,1.9485722e-07,0.13287877,-0.011958931439678763,-6.579206782273622e-08,-8.133865380420087e-05,0.13287876546382904,-0.13287876546382904,0.3920000000000001,0.019200853569933066,-13.240504322430219,-5.4629552647599824e-05,-0.09005526979625413,0.00017518072183078458,4.413501026375674,-0.09014734455688429,4.005851224064827e-07,-2.4657083486090414e-07,0.0,9600
0.3375,54,17.666320699145114,-17.666320699145114,0.0,-7.471749e-07,-6.8888744e-07,0.1329697,0.000349898830707671,0.012813277751940345,-7.581429366362051e-05,0.1329697072505951,-0.1329697072505951,0.3920000000000001,0.019200853569933066,0.3873955632044867,10.6393316808937,-0.08393889437517552,5.592203777206057,20.788742221900268,-0.08383932121745423,-5.017209332436323e-07,6.348127499222755e-07,0.0,10800
0.375,60,17.752200898970184,-17.752200898970184,0.0,2.2287217e-07,-4.163305e-06,0.1336161,-4.0676760701212145e-07,0.030731351532569662,-8.334410351076606e-05,0.133616104722023,-0.133616104722023,0.3920000000000001,0.019200853569933066,-0.0004503586533658782,25.51736162182523,-0.09227563251361963,-5.91810697441037,35.50253698534412,-0.09185064239782,-6.634309102082625e-09,-2.873675839509815e-07,0.0,12000
