time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,span_coordinate_normalized
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:0,orig,0,-0.029169056564569473,0.029169056564569473,-0.03452720493078232,-0.02388021908700466,0,0.12499941885471344,0.006144969258457422,0.023042716085910797,9.374626159667969,0.00016612783656455576,0.00019058110774494708,0.00016882865747902542,0.9122520328405402
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:0,orig,0,-0.029169056564569473,0.029169056564569473,-0.03452720493078232,-0.02388021908700466,1,0.37499910593032837,0.006145010702311993,0.00912429392337799,3.712074041366577,4.3242957872280385e-06,5.524116204469465e-06,4.581343455356546e-05,0.9122520328405402
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:0,orig,0,-0.029169056564569473,0.029169056564569473,-0.03452720493078232,-0.02388021908700466,2,0.6249996423721313,0.006145020946860313,0.005902020260691643,2.4011390209198,-6.085363111196784e-07,-4.162052675837913e-07,2.58823019976262e-05,0.9122520328405402
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:0,orig,0,-0.029169056564569473,0.029169056564569473,-0.03452720493078232,-0.02388021908700466,3,0.8750001788139343,0.006144990213215351,0.0046789259649813175,1.9035530090332031,-1.3887749901186908e-06,-1.429989993084746e-06,2.0650728401960805e-05,0.9122520328405402
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:1,orig,1,-0.03917260095477104,0.03917260095477104,-0.04451803117990494,-0.0338936448097229,0,0.12499947845935822,0.005935119930654764,0.03209322318434715,13.518354415893555,0.00031297607347369194,0.0003582794452086091,0.00029343689675442874,0.7462815925777824
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:1,orig,1,-0.03917260095477104,0.03917260095477104,-0.04451803117990494,-0.0338936448097229,1,0.3749992847442627,0.005935139954090118,0.013894450850784779,5.852621078491211,1.2676296137215104e-05,1.522804541309597e-05,8.450839231954888e-05,0.7462815925777824
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:1,orig,1,-0.03917260095477104,0.03917260095477104,-0.04451803117990494,-0.0338936448097229,2,0.6249995827674866,0.005935129709541798,0.008901405148208141,3.7494568824768066,1.1798135801655008e-06,1.614758502910263e-06,4.903491571894847e-05,0.7462815925777824
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:1,orig,1,-0.03917260095477104,0.03917260095477104,-0.04451803117990494,-0.0338936448097229,3,0.8749998807907104,0.005935145542025566,0.005793067626655102,2.4401538372039795,1.6048257123202347e-07,7.27714351000941e-08,3.23726526403334e-05,0.7462815925777824
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:2,orig,2,-0.04917614161968231,0.04917614161968231,-0.054508890956640244,-0.04390706121921539,0,0.12500005960464478,0.005725479684770107,0.037548188120126724,16.39521598815918,0.00043348572216928005,0.0004972724709659815,0.0004400135076139122,0.5803112141219249
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:2,orig,2,-0.04917614161968231,0.04917614161968231,-0.054508890956640244,-0.04390706121921539,1,0.37500062584877014,0.005725458730012178,0.01643984578549862,7.178396701812744,1.578511182742659e-05,1.9621342289610766e-05,0.00013920365017838776,0.5803112141219249
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:2,orig,2,-0.04917614161968231,0.04917614161968231,-0.054508890956640244,-0.04390706121921539,2,0.6249998211860657,0.005725458730012178,0.010318980552256107,4.505743980407715,2.1159000596071564e-07,8.997393479148741e-07,8.372959564439952e-05,0.5803112141219249
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:2,orig,2,-0.04917614161968231,0.04917614161968231,-0.054508890956640244,-0.04390706121921539,3,0.8750001788139343,0.005725468974560499,0.006233842112123966,2.7219786643981934,-6.780042554055399e-07,-8.078141604528355e-07,5.131185753270984e-05,0.5803112141219249
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:3,orig,3,-0.059179652482271194,0.059179652482271194,-0.06449971348047256,-0.05392046272754669,0,0.12500008940696716,0.005516031291335821,0.04088139906525612,18.528446197509766,0.0005254187271930277,0.000604685046710074,0.0005958227557130158,0.41434133012126995
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:3,orig,3,-0.059179652482271194,0.059179652482271194,-0.06449971348047256,-0.05392046272754669,1,0.375,0.005516020581126213,0.017832955345511436,8.08234691619873,1.5868665286689065e-05,2.0881625459878705e-05,0.00019958488701377064,0.41434133012126995
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:3,orig,3,-0.059179652482271194,0.059179652482271194,-0.06449971348047256,-0.05392046272754669,2,0.6249999403953552,0.005516031291335821,0.011010129936039448,4.9900593757629395,-2.0279553609725554e-06,-1.1067317018387257e-06,0.00012067572242813185,0.41434133012126995
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:3,orig,3,-0.059179652482271194,0.059179652482271194,-0.06449971348047256,-0.05392046272754669,3,0.8749995827674866,0.0055160257034003735,0.006409871391952038,2.9051129817962646,-2.3090760805644095e-06,-2.4761168333498063e-06,7.137025386327878e-05,0.41434133012126995
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:4,orig,4,-0.06918320059776306,0.06918320059776306,-0.07449054718017578,-0.06393391638994217,0,0.1250002235174179,0.00530683109536767,0.04269891232252121,20.115068435668945,0.0005887484294362366,0.0006800245610065758,0.0007466543465852737,0.24837082805161179
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:4,orig,4,-0.06918320059776306,0.06918320059776306,-0.07449054718017578,-0.06393391638994217,1,0.3749997317790985,0.00530683109536767,0.018499569967389107,8.71497917175293,1.3940594726591371e-05,1.998322841245681e-05,0.00025984985404647887,0.24837082805161179
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:4,orig,4,-0.06918320059776306,0.06918320059776306,-0.07449054718017578,-0.06393391638994217,2,0.6250001192092896,0.0053068362176418304,0.01127646490931511,5.312235355377197,-4.864694346906617e-06,-3.7351080663938774e-06,0.00015680331853218377,0.24837082805161179
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:4,orig,4,-0.06918320059776306,0.06918320059776306,-0.07449054718017578,-0.06393391638994217,3,0.8750001788139343,0.00530683109536767,0.00643527926877141,3.0316014289855957,-4.054514647577889e-06,-4.256026386428857e-06,9.080199379241094e-05,0.24837082805161179
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:5,orig,5,-0.07918672263622284,0.07918672263622284,-0.084481380879879,-0.07394730299711227,0,0.12499959021806717,0.0050979056395590305,0.043343015015125275,21.25530433654785,0.0006247962592169642,0.0007244871812872589,0.0008832752937451005,0.08240075863025587
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:5,orig,5,-0.07918672263622284,0.07918672263622284,-0.084481380879879,-0.07394730299711227,1,0.3750002682209015,0.005097941495478153,0.018656985834240913,9.149273872375488,1.0822015610756353e-05,1.7736958398018032e-05,0.00031642374233342707,0.08240075863025587
0.0375,6,rotor_0_blade_0,rotor_0_blade_0_blade_0,blade_segment,rotor_0_blade_0_blade_0:blade_segment:orig:5,orig,5,-0.07918672263622284,0.07918672263622284,-0.084481380879879,-0.07394730299711227,2,0.6250004768371582,0.005097910761833191,0.01127464510500431,5.529051780700684,-7.675458618905395e-06,-6.358266091410769e-06,0.0001902910298667848,0.08240075863025587
