flow_time,time_step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,p
0.15,15,-1.5,0.75,0.0,0.9539521193398401,0.039511357782971344,5.496554898231935e-05,-0.0006421469381937391,0.00574709875185121,0.008877711070473965,0.14171569540772422
0.15,15,-1.46,0.75,0.0,0.9530312184493932,0.04192027736322164,4.920735706596637e-06,-0.0005001620220340686,0.0025084993059522687,0.01734699582714179,0.14248907245083153
0.15,15,-1.42,0.75,0.0,0.9523830197659336,0.04653914093357865,1.4297124787095373e-05,-0.00036224559889388265,-0.00078917052017749,0.027223119685873595,0.14340169567927982
0.15,15,-1.38,0.75,0.0,0.9509973553235931,0.05158597404429682,6.771864582672785e-05,-0.00026828290485667755,-0.00022989836856677148,0.029495097005706686,0.1454885402128971
0.15,15,-1.34,0.75,0.0,0.948527156767641,0.05707642376122536,4.94099462791204e-05,-0.0001428800629632339,0.001519196002653142,0.031318686285945765,0.1487489351199478
0.15,15,-1.3,0.75,0.0,0.9466039878836154,0.06349620077258065,0.00017736813937292535,-3.694119331719259e-05,0.0025179644646829828,0.03143824248245958,0.15136827093809668
0.15,15,-1.26,0.75,0.0,0.9448126556840135,0.069883578242493,8.069825578536907e-05,2.4450937190730486e-05,0.0028763265945818497,0.023722891484134524,0.15373257798246937
0.15,15,-1.22,0.75,0.0,0.942929533856858,0.07635911264094959,-1.9350410560744293e-05,5.526167762298819e-05,0.00262424689795904,0.012581434534070466,0.1561008872900423
0.15,15,-1.18,0.75,0.0,0.9411491283054585,0.08303723817815784,-9.634189455336311e-05,6.059688390120487e-05,0.0018178074872818044,0.004696116476745313,0.15830335450975583
0.15,15,-1.14,0.75,0.0,0.9396041430600954,0.09017185471650369,-0.00013491558140789556,5.163724950388877e-05,0.0008964122872660003,0.0013056637055535204,0.16018282659766192
0.15,15,-1.1,0.75,0.0,0.9382078566488651,0.09873132175592506,-0.0001422951153625927,4.2144171781074054e-05,0.0002451058644495223,0.0005465274624437835,0.16184222345686686
0.15,15,-1.06,0.75,0.0,0.9372730012725343,0.10748349944546182,-0.0001345125852850449,3.995513916081389e-05,2.451448234460009e-05,0.0007275241734049869,0.16292805757066117
0.15,15,-1.02,0.75,0.0,0.9368469560886298,0.1172000353287605,-0.00012449224262246858,4.23944005420797e-05,-4.404110064775125e-06,0.0009839669445326482,0.16340295442962013
0.15,15,-0.98,0.75,0.0,0.9371375763122647,0.12795267047154202,-0.00011584275252886139,4.637465623540838e-05,1.4744670020704371e-05,0.0012029552139452787,0.16303881803167322
0.15,15,-0.94,0.75,0.0,0.9384165871782942,0.1397936647663711,-0.00010865339068532291,5.0605451261115126e-05,2.804175517353897e-05,0.0014330945875555415,0.1615451085286513
0.15,15,-0.8999999999999999,0.75,0.0,0.9401971354382938,0.15474020943155753,-0.0005689598943727843,8.786558120183033e-05,5.841320464640212e-05,0.0017789379627698662,0.15934335440328876
0.15,15,-0.86,0.75,0.0,0.9445827577632331,0.1693664320776198,-0.0006203649090196506,0.00010078399511303054,6.278933131434065e-05,0.002174649393470378,0.15434216270890427
0.15,15,-0.82,0.75,0.0,0.951415911345878,0.18497532678207962,-0.0006598768633479031,0.00011512984310037763,6.621932073121574e-05,0.0026761499544984834,0.14665877493505552
0.15,15,-0.7799999999999999,0.75,0.0,0.9613915639321591,0.20119769926483866,-0.0006820819777269698,0.0001303894751932702,6.878747833656417e-05,0.0033066683968466983,0.1355687728469955
0.15,15,-0.74,0.75,0.0,0.9764572755212261,0.2184661120253877,-0.0007124642524385313,0.0001580733333112275,7.434436337390308e-05,0.004156732423250406,0.11898891875074802
0.15,15,-0.7,0.75,0.0,0.9952942530969269,0.23339521442976097,-0.0007307138705208744,0.00017978149168191773,7.617777228907381e-05,0.005151083918876681,0.09840235128186381
0.15,15,-0.6599999999999999,0.75,0.0,1.019282050221532,0.24560924649288535,-0.0007222496777763976,0.00020144695249256898,7.464835510241497e-05,0.0062898534543535545,0.07231171814291322
0.15,15,-0.62,0.75,0.0,1.0484687561012034,0.2530507299376044,-0.0006866371765251842,0.0002211860919008987,6.865867338152423e-05,0.008204977450093682,0.040623474709290355
0.15,15,-0.5799999999999998,0.75,0.0,1.0820134883461177,0.25325818913481396,-0.0006277143763266432,0.00023848622835431508,5.6586423490846276e-05,0.008966095858838969,0.004067173317080646
0.15,15,-0.54,0.75,0.0,1.1195722617856279,0.24032946982944192,-7.308380824609835e-05,0.0001145029640591075,2.7282035904726716e-06,0.010502620933616138,-0.037107467997342665
0.15,15,-0.5,0.75,0.0,1.1533928751762157,0.2196988924641899,-7.288675324208815e-05,0.00011732871532859414,-5.491773359827633e-06,0.014391558964385954,-0.07537668305014304
0.15,15,-0.45999999999999996,0.75,0.0,1.1809332406227853,0.18835172938997058,-7.331069032770222e-05,0.00011698720445611112,-1.222083648596935e-05,0.01522961240277039,-0.10832751360634044
0.15,15,-0.41999999999999993,0.75,0.0,1.196782418971618,0.14991969020518867,-7.448410939861174e-05,0.00011761572071075802,-1.7463377423950314e-05,0.010746426009385667,-0.1301049180739648
0.15,15,-0.3799999999999999,0.75,0.0,1.1986678075834332,0.11168877411073976,-7.620247369631794e-05,0.00012097104596596051,-2.4841952745545182e-05,0.00613069135425786,-0.13800622895096426
0.15,15,-0.33999999999999986,0.75,0.0,1.189127741912046,0.07830261747460716,-7.844086366343337e-05,0.00012279962088507232,-3.814944987046459e-05,0.004152312941910339,-0.134786199879378
0.15,15,-0.2999999999999998,0.75,0.0,1.1765689359506908,0.05702588904165027,-8.060169750913636e-05,0.00011833679509563027,-5.301987292595592e-05,0.0034399239650958324,-0.12725216800487474
0.15,15,-0.2599999999999998,0.75,0.0,1.1651358932207212,0.042196022532262414,-8.274896214354854e-05,0.0001078218300751769,-6.642055914576954e-05,0.0024626674407071053,-0.11966321551994288
0.15,15,-0.21999999999999997,0.75,0.0,1.1557252939800717,0.031221933197851083,-8.481829851373141e-05,9.383012719740768e-05,-7.592197961928639e-05,0.0014279658741103635,-0.11267691611088433
0.15,15,-0.17999999999999994,0.75,0.0,1.1481226603993706,0.022023381120588905,-0.0002071264908971871,0.00011982951407983525,-0.0001232425888992286,0.000671400232475738,-0.10646333351636175
0.15,15,-0.1399999999999999,0.75,0.0,1.1424030398308198,0.015259589252175666,-0.00018704634681820844,9.577462498899238e-05,-0.00012232964297740094,0.00042529624037586735,-0.10061952722477854
0.15,15,-0.10000000000000009,0.75,0.0,1.1384508353544083,0.0092771132730532,-0.00016365392390336903,7.44511783758296e-05,-0.00011674759089244345,0.000413269782234383,-0.09601007951964013
0.15,15,-0.05999999999999983,0.75,0.0,1.1359393680180911,0.003624199242941733,-0.00013826080559114584,5.667583188737179e-05,-0.00010838852937970487,0.0004958758108815075,-0.0925917696300495
0.15,15,-0.020000000000000018,0.75,0.0,1.1346210170033288,-0.0019574055265563295,-0.0001125079313851603,4.251937161063725e-05,-0.00010062823447281531,0.0006019321788852477,-0.0902568504108822
0.15,15,0.020000000000000018,0.75,0.0,1.1343611213474807,-0.008136431787867047,-6.112511924205454e-05,2.8608141364711432e-05,-9.037305339887795e-05,0.000716178925210804,-0.08891683705013288
0.15,15,0.06000000000000005,0.75,0.0,1.1350856174057666,-0.014245815836372095,-3.542732348641153e-05,1.9637154848986307e-05,-7.7976924944651e-05,0.000839814253127262,-0.08868986437482601
