         18189117 function calls (17857163 primitive calls) in 426.536 seconds

   Ordered by: cumulative time
   List reduced from 3078 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  426.567  426.567 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:844(run)
       16    0.001    0.000  407.540   25.471 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:785(advance)
       81    0.003    0.000  380.133    4.693 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/stage_rhs.py:421(evaluate)
    19409    0.053    0.000  364.226    0.019 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/runtime_ops.py:4(sync)
    19409    0.043    0.000  364.170    0.019 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/impl.py:497(sync)
    19409  363.896    0.019  363.896    0.019 {built-in method taichi._lib.core.taichi_python.synchronize}
       81    0.005    0.000  363.187    4.484 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/evaluator.py:204(evaluate_stage)
       81    0.049    0.001  351.709    4.342 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/lbvh.py:1923(compute_velocity_and_gradient_gpu)
       16    0.005    0.000  327.279   20.455 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/evolution.py:215(advance)
       16    0.001    0.000  232.442   14.528 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/evolution.py:506(_apply_coupled_update)
       16    0.002    0.000  232.389   14.524 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/evolution.py:488(_advance_particles)
       16    0.004    0.000  232.360   14.523 /Users/flaviomartins/OpenONDA/source/solvers/vpm/numerics/runge_kutta.py:184(advance)
       33    0.002    0.000  148.094    4.488 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/evolution.py:377(_update_velocity_and_gradients)
       17    0.000    0.000   76.817    4.519 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:1059(_refresh_particle_diagnostic_fields)
       16    0.004    0.000   76.384    4.774 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:1074(_refresh_accepted_step_health)
    31388    0.358    0.000   34.992    0.001 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1016(__call__)
    31388    0.523    0.000   27.689    0.001 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:685(launch_kernel)
     3105    0.008    0.000   26.590    0.009 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1110(wrapped)
       16    0.001    0.000   21.648    1.353 /Users/flaviomartins/OpenONDA/source/solvers/vpm/coupling/stepper.py:92(advance_vlm)
       16    0.004    0.000   21.646    1.353 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:3119(advance_coupled)
5485/4493    0.016    0.000   19.074    0.004 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/util.py:348(wrapped)
    31388   19.041    0.001   19.041    0.001 {built-in method taichi._lib.core.taichi_python.launch_kernel}
        1    0.000    0.000   18.759   18.759 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:1099(_refresh_diagnostics_for_output)
