         60358262 function calls (58194503 primitive calls) in 82.756 seconds

   Ordered by: cumulative time
   List reduced from 7417 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    116/1    0.001    0.000   11.903   11.903 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/compiler.py:500(_compile_bytecode)
    118/1    0.001    0.000   11.903   11.903 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/compiler.py:456(_compile_core)
    118/1    0.006    0.000   11.902   11.902 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
  3152/31    0.052    0.000   11.902    0.384 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/compiler_machinery.py:267(_runPass)
  9456/93    0.007    0.000   11.898    0.128 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/compiler_machinery.py:271(check)
    19099    0.038    0.000   10.508    0.001 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1008(ensure_compiled)
    19099   10.444    0.001   10.444    0.001 {built-in method taichi._lib.core.taichi_python.launch_kernel}
    19099    0.042    0.000    9.933    0.001 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:634(materialize)
      103    0.003    0.000    9.719    0.094 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/evaluator.py:204(evaluate_stage)
      181    0.002    0.000    9.498    0.052 {built-in method taichi._lib.core.taichi_python.create_kernel}
      181    0.001    0.000    9.496    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:657(taichi_ast_generator)
 2572/181    0.003    0.000    9.494    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/transform.py:5(transform_tree)
144903/181    0.363    0.000    9.494    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer_utils.py:19(__call__)
 2572/181    0.008    0.000    9.492    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:935(build_Module)
 2572/181    0.021    0.000    9.466    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:620(build_FunctionDef)
41995/181    0.076    0.000    9.450    0.052 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:1716(build_stmts)
       83    0.001    0.000    9.399    0.113 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/base.py:989(compute_target_velocity)
   118/37    0.006    0.000    9.385    0.254 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numba/core/typed_passes.py:439(run_pass)
 1487/190    0.007    0.000    9.300    0.049 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:1478(build_For)
       20    0.001    0.000    9.122    0.456 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/solver.py:1266(_record_vlm_diagnostics)
12955/807    0.125    0.000    8.858    0.011 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:547(build_Call)
       90    0.004    0.000    8.616    0.096 /Users/flaviomartins/OpenONDA/source/solvers/vpm/physics/induction/treecode/evaluator.py:299(evaluate_targets)
8053/1595    0.017    0.000    8.590    0.005 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/ast/ast_transformer.py:122(build_Assign)
 2391/167    0.008    0.000    8.566    0.051 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:222(__call__)
       41    0.001    0.000    8.480    0.207 /Users/flaviomartins/OpenONDA/source/solvers/vpm/core/evolution.py:377(_update_velocity_and_gradients)


