time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,local_chord,spanwise_station_width,circulation,circulation_magnitude,relative_speed,section_lift_coefficient_from_circulation,lift_per_span,drag_per_span,section_lift_coefficient,section_force_x,section_force_y,section_force_z,section_force_units,force_density,span_coordinate_normalized
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,0.535,0.12672421938121292,-0.4400318153202386,0.4400318153202386,3.95517429735688,0.4159055012973747,15.077697544987222,2.073888122767821,3.522826529202622,0.2628118534417212,-0.004521690683290855,1.9107094514545362,N,1.0,-0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,0.4049999999999998,0.12672421938121292,-0.408575705942982,0.408575705942982,3.9617534128425844,0.5092840459442314,11.392284567531576,1.5028048346490979,3.516137212201105,0.19044176955321968,-0.010431228387779047,1.4436783687890777,N,1.0,-0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:2,mirror,2,-0.7053922732388518,0.7053922732388518,-0.8251432355751958,-0.5768185652504536,0.2749999999999998,0.1267242193812129,-0.3444778965173153,0.3444778965173153,3.975014399523236,0.630260306265479,7.082383583714616,0.8691417196591231,3.219265265324828,0.11014130595544736,-0.01358376525339464,0.8975095310045518,N,1.0,-0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:3,mirror,3,-0.8321164926200648,0.8321164926200648,-0.9169600699852378,-0.7284766310396457,0.14499999999999993,0.12672421938121295,-0.23349654262583,0.23349654262583,3.9938010735494487,0.8064102112102738,2.958298816806556,0.29673437239584527,2.550257600695308,0.03760343170543764,-0.012808904719910372,0.3748881082561767,N,1.0,-0.9074729858558194
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:0,orig,0,0.4519438344764259,0.4519438344764259,0.2735024336720694,0.6415095667551116,0.535,0.12672421938121292,0.44002844413377884,0.44002844413377884,3.9555506930945135,0.41586273920499484,15.078491530932542,2.0739973881301226,3.5230120399375098,0.26282570000946426,0.004521984121955049,1.9108100687036564,N,1.0,0.4928718809791813
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:1,orig,1,0.5786680538576389,0.5786680538576389,0.4251604994612615,0.7333264011651536,0.4049999999999998,0.12672421938121292,0.4085659089671435,0.4085659089671435,3.9626147631623563,0.5091611341467096,11.392876960298594,1.502892007161678,3.5163200494748765,0.1904528164218279,0.010430831539792362,1.4437534393000453,N,1.0,0.6310722492713939
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:2,orig,2,0.7053922732388518,0.7053922732388518,0.5768185652504536,0.8251432355751958,0.2749999999999998,0.1267242193812129,0.3444638928753278,0.3444638928753278,3.976106470629017,0.6300615857974963,7.082766101443105,0.8692082093405055,3.2194391370195956,0.11014973180841743,0.013582377832652724,0.897558005265094,N,1.0,0.7692726175636065
0.01,1,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:orig:3,orig,3,0.8321164926200648,0.8321164926200648,0.7284766310396457,0.9169600699852378,0.14499999999999993,0.12672421938121295,0.23348323267671878,0.23348323267671878,3.994961090947207,0.8061300995009877,2.9585264807981115,0.2967815396316515,2.550453862756994,0.03760940893657555,0.012807258168913498,0.3749169587977878,N,1.0,0.9074729858558194
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:0,mirror,0,-0.4519438344764259,0.4519438344764259,-0.6415095667551116,-0.2735024336720694,0.535,0.12672421938121292,-0.42225082204156983,0.42225082204156983,3.9574651503620957,0.398868388216979,0.9880524188079757,0.09775320513171198,0.23085336888036814,0.012387698612327778,-0.00406779425049084,0.12521017148115998,N,1.0,-0.4928718809791813
0.02,2,rear_wing,rear_wing_main_wing,segment_0,rear_wing_main_wing:segment_0:mirror:1,mirror,1,-0.5786680538576389,0.5786680538576389,-0.7333264011651536,-0.4251604994612615,0.4049999999999998,0.12672421938121292,-0.393193899775352,0.393193899775352,3.9629207327723788,0.48996646701464397,1.050359568163258,0.05561921457194573,0.3241850519022403,0.007048301549226005,-0.00975313836430718,0.13310599634507678,N,1.0,-0.6310722492713939
