time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.125,-1.4338812828063965,-2.2942099571228027,-2.5435657501220703,-0.0,9.228824615478516,9.866522789001465,0.0001488540874561295,2.7193222045898438,0.03125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875,0.125,-0.6410036683082581,-1.0256059169769287,-0.17333851754665375,-0.0,4.126976490020752,9.869664192199707,0.00014264068158809096,0.414539098739624,0.15625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125,0.125,-0.4206849932670593,-0.6730960011482239,-0.05384448543190956,-0.0,2.7096140384674072,9.87373161315918,0.00013508043775800616,0.19620728492736816,0.28125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375,0.125,-0.29777437448501587,-0.4764389991760254,-0.024660984054207802,-0.0,1.9190022945404053,9.879138946533203,0.00012634303129743785,0.12695622444152832,0.40625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625,0.125,-0.21217221021652222,-0.3394755423069,-0.013066554442048073,-0.0,1.3683685064315796,9.886566162109375,0.00011564471060410142,0.0944068431854248,0.53125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875,0.125,-0.14622515439987183,-0.23396024107933044,-0.007134981919080019,-0.0,0.9440622925758362,9.897134780883789,0.00010502350050956011,0.07480001449584961,0.65625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125,0.125,-0.0933128073811531,-0.1493004858493805,-0.0036923836451023817,-0.0,0.6033992171287537,9.912755966186523,9.317822696175426e-05,0.060659170150756836,0.78125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375,0.125,-0.04943783953785896,-0.07910054177045822,-0.0017030915478244424,-0.0,0.3204554617404938,9.936629295349121,7.879684562794864e-05,0.052809178829193115,0.90625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.125,-1.4329090118408203,-2.292654514312744,-2.282867431640625,-0.0,8.289770126342773,9.86659049987793,0.00048573085223324597,2.7170982360839844,0.03125,-0.9455074667930603,0.0,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875,0.125,-0.6407700777053833,-1.0252320766448975,-0.15555992722511292,-0.0,3.708214044570923,9.869742393493652,0.00047383736819028854,0.4140366315841675,0.15625,-0.9455074667930603,0.0,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,2,0.3125,0.125,-0.42079728841781616,-0.6732756495475769,-0.04831061139702797,-0.0,2.4362101554870605,9.87381649017334,0.00045830951421521604,0.1958000659942627,0.28125,-0.9455074667930603,0.0,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,3,0.4375,0.125,-0.2982253134250641,-0.4771605134010315,-0.022119048982858658,-0.0,1.7275238037109375,9.87922191619873,0.00043895342969335616,0.12649261951446533,0.40625,-0.9455074667930603,0.0,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,4,0.5625,0.125,-0.21297112107276917,-0.34075379371643066,-0.01173230167478323,-0.0,1.2345978021621704,9.886624336242676,0.00041580101242288947,0.09395194053649902,0.53125,-0.9455074667930603,0.0,-0.18910149335861207
