         3143 function calls in 0.214 seconds

   Ordered by: cumulative time
   List reduced from 190 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.214    0.214 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:2216(observe_surface_interaction)
       17    0.000    0.000    0.212    0.012 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/kernels/observer.py:235(observe_moving_surfaces)
        1    0.203    0.203    0.203    0.203 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/kernels/observer.py:187(_observe)
        1    0.002    0.002    0.009    0.009 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/kernels/observer.py:170(moving_panel_geometry)
        1    0.006    0.006    0.006    0.006 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numpy/linalg/_linalg.py:1667(svd)
        2    0.000    0.000    0.002    0.001 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:1042(_stage_geometry_arrays)
       11    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/util.py:348(wrapped)
       11    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1110(wrapped)
       11    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1016(__call__)
        8    0.000    0.000    0.001    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/matrix.py:1250(to_numpy)
        1    0.001    0.001    0.001    0.001 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numpy/linalg/_linalg.py:2356(det)
       14    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:685(launch_kernel)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numpy/_core/_methods.py:115(_mean)
        1    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/field.py:293(to_numpy)
        6    0.000    0.000    0.000    0.000 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:756(_compute_panel_kinematic_velocity)
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:873(recursive_set_args)
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:1008(ensure_compiled)
        1    0.000    0.000    0.000    0.000 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/vlm_solver.py:1827(_last_reference_velocity_norm)
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:710(set_arg_ext_array)
        6    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/numpy/_core/numeric.py:1567(cross)
        1    0.000    0.000    0.000    0.000 /Users/flaviomartins/OpenONDA/source/solvers/vpm/boundary_elements/vlm/solver/lattice.py:335(get_kinematic_velocity)
       11    0.000    0.000    0.000    0.000 /opt/anaconda3/envs/OpenONDA/lib/python3.11/site-packages/taichi/lang/kernel_impl.py:508(lookup)
       11    0.000    0.000    0.000    0.000 {built-in method taichi._lib.core.taichi_python.launch_kernel}


