time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,chord_index,chord_fraction,panel_chord,panel_circulation,pressure_jump_coefficient,panel_force_x,panel_force_y,panel_force_z,relative_velocity_x,relative_velocity_y,relative_velocity_z,bound_x,bound_y,bound_z,span_coordinate_normalized
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,0,0.0625,0.125,1.4338812828063965,2.2942099571228027,-2.5435657501220703,-0.0,-9.228824615478516,9.866522789001465,0.00014885381096974015,-2.7193222045898438,0.03125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,1,0.1875,0.125,0.6410037279129028,1.0256059169769287,-0.17333850264549255,-0.0,-4.12697696685791,9.869664192199707,0.0001426405506208539,-0.4145389795303345,0.15625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,2,0.3125,0.125,0.42068490386009216,0.6730958223342896,-0.05384450405836105,-0.0,-2.70961332321167,9.87373161315918,0.00013508036499843001,-0.19620740413665771,0.28125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,3,0.4375,0.125,0.2977743446826935,0.4764389395713806,-0.024660980328917503,-0.0,-1.9190020561218262,9.879138946533203,0.00012634294398594648,-0.12695622444152832,0.40625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,4,0.5625,0.125,0.21217216551303864,0.33947545289993286,-0.013066600076854229,-0.0,-1.368368148803711,9.886566162109375,0.00011564457963686436,-0.09440720081329346,0.53125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,5,0.6875,0.125,0.14622513949871063,0.23396022617816925,-0.007134958170354366,-0.0,-0.9440621733665466,9.897134780883789,0.00010502342047402635,-0.07479977607727051,0.65625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,6,0.8125,0.125,0.09331291168928146,0.14930066466331482,-0.0036923878360539675,-0.0,-0.603399932384491,9.912755966186523,9.317821240983903e-05,-0.060659170150756836,0.78125,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:0,mirror,0,-0.3261663019657135,0.3261663019657135,-0.652332603931427,0.0,7,0.9375,0.125,0.04943777248263359,0.07910043746232986,-0.0017030852613970637,-0.0,-0.32045501470565796,9.936629295349121,7.879688928369433e-05,-0.052809059619903564,0.90625,-0.3261663019657135,0.0,-0.0652332603931427
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,0,0.0625,0.125,1.4329090118408203,2.292654514312744,-2.282867908477783,-0.0,-8.289770126342773,9.86659049987793,0.00048573067761026323,-2.7170984745025635,0.03125,-0.9455074667930603,0.0,-0.18910149335861207
0.0625,5,flat_plate,main_wing,segment_0,main_wing:segment_0:mirror:1,mirror,1,-0.9455074667930603,0.9455074667930603,-1.2386823892593384,-0.652332603931427,1,0.1875,0.125,0.6407700777053833,1.0252320766448975,-0.15555985271930695,-0.0,-3.708214044570923,9.869742393493652,0.0004738370480481535,-0.4140363931655884,0.15625,-0.9455074667930603,0.0,-0.18910149335861207
