time,step,surface,wing_uid,segment_uid,station_id,half,span_index,span_coordinate,span_coordinate_absolute,min_span_edge,max_span_edge,local_chord,spanwise_station_width,circulation,circulation_magnitude,relative_speed,section_lift_coefficient_from_circulation,lift_per_span,drag_per_span,section_lift_coefficient,section_force_x,section_force_y,section_force_z,section_force_units,force_density,span_coordinate_normalized
0.01,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.25,0.25,-0.5000000000000001,-3.348069976319994e-19,0.9999999999999998,0.5,-0.4957762975870786,0.4957762975870786,1.985787242676738,0.4993246878943567,37.96317324013462,3.9187977709498387,18.981586620067315,1.9593988854749194,-0.05694493069509646,18.98158662006731,N,1.0,-0.2499999999999999
0.01,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7500000000000001,0.7500000000000001,-1.0000000000000002,-0.5,0.9999999999999998,0.5000000000000001,-0.5286821413456091,0.5286821413456091,1.9761920906584385,0.5350513685837696,40.478320384097465,4.143088516006085,20.239160192048736,2.0715442580030428,-0.0607176627292438,20.239160192048736,N,1.0,-0.75
0.01,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25,0.25,2.962345007373549e-19,0.5,0.9999999999999998,0.5,0.31018560216822827,0.31018560216822827,1.9976821579197115,0.31054549988196367,23.75458229286425,2.4726642645428574,11.877291146432126,1.2363321322714287,-0.03563198033530154,11.877291146432125,N,1.0,0.2500000000000001
0.01,1,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:1,orig,1,0.75,0.75,0.5,1.0,0.9999999999999998,0.5,0.10135590615336718,0.10135590615336718,2.01189731997721,0.10075653975672608,7.762868086493691,0.8151317497685538,3.8814340432468466,0.4075658748842769,-0.011644337062772708,3.8814340432468457,N,1.0,0.7500000000000001
0.02,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.25000000000000006,0.25000000000000006,-0.5000000000000001,-3.8163251851910783e-19,0.9999999999999997,0.5000000000000001,-0.49426030096180845,0.49426030096180845,1.9858631819834853,0.49777880515226647,0.8677440418569471,0.02035672602512576,0.4338720209284737,0.010178363012562882,-0.0026032633648061833,0.43387202092847366,N,1.0,-0.24999999999999994
0.02,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7500000000000002,0.7500000000000002,-1.0000000000000002,-0.5000000000000001,0.9999999999999997,0.5000000000000001,-0.5275321865690707,0.5275321865690707,1.9762643455725937,0.5338680402253841,0.956530053196949,-0.010366244175830373,0.47826502659847464,-0.005183122087915187,-0.002869624595168637,0.4782650265984746,N,1.0,-0.7500000000000001
0.02,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25,0.25,9.198730012927871e-19,0.5,0.9999999999999997,0.49999999999999994,0.3088236813225172,0.3088236813225172,1.9977337418362129,0.3091740153907223,0.5139104083785605,0.03019842163530735,0.25695520418928036,0.015099210817653674,-0.0015417497261768073,0.2569552041892802,N,1.0,0.2500000000000001
0.02,2,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:1,orig,1,0.75,0.75,0.5,1.0,0.9999999999999997,0.49999999999999994,0.1005133367362419,0.1005133367362419,2.011915017051113,0.09991807395877535,0.13831661962706063,0.013790140534034363,0.06915830981353034,0.006895070267017181,-0.0004149548383511934,0.0691583098135303,N,1.0,0.7500000000000001
0.03,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.25000000000000006,0.25000000000000006,-0.5000000000000001,-3.40840154573406e-19,0.9999999999999997,0.5000000000000001,-0.49274305193654433,0.49274305193654433,1.9859392446630764,0.4962317485398609,0.8646498187785605,0.020493515536018653,0.4323249093892804,0.010246757768009328,-0.003891029242860387,0.43232490938928037,N,1.0,-0.25000000000000006
0.03,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7500000000000001,0.7500000000000001,-1.0,-0.5000000000000001,0.9999999999999997,0.5,-0.5263811503127863,0.5263811503127863,1.9763367380806625,0.5326836668775246,0.9541919699063804,-0.010141051010682323,0.4770959849531904,-0.0050705255053411615,-0.004293979802659454,0.4770959849531902,N,1.0,-0.7500000000000001
0.03,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25,0.25,1.0000747549316704e-18,0.5000000000000001,0.9999999999999997,0.5,0.30746086318317567,0.30746086318317567,1.9977854904903445,0.30780167805474584,0.5111231905071654,0.03014266113137414,0.2555615952535828,0.01507133056568707,-0.0023001164607620622,0.2555615952535827,N,1.0,0.25
0.03,3,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:1,orig,1,0.7500000000000001,0.7500000000000001,0.5,1.0,0.9999999999999997,0.49999999999999994,0.09967037994402134,0.09967037994402134,2.0119329446567495,0.09907922648090628,0.13659666793435907,0.013643585055894088,0.06829833396717956,0.006821792527947043,-0.000614701602737512,0.06829833396717952,N,1.0,0.7500000000000001
0.04,4,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:0,mirror,0,-0.25,0.25,-0.5000000000000001,-1.868532588658649e-19,0.9999999999999997,0.5,-0.4912248593154347,0.4912248593154347,1.9860154364620484,0.4946838280275591,0.8615690080905527,0.020630472786840305,0.4307845040452765,0.010315236393420153,-0.005169662194710871,0.43078450404527635,N,1.0,-0.24999999999999978
0.04,4,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:mirror:1,mirror,1,-0.7500000000000002,0.7500000000000002,-1.0000000000000004,-0.5000000000000001,0.9999999999999997,0.49999999999999994,-0.5252292653705409,0.5252292653705409,1.9764092593917797,0.5314984868388799,0.9518609852242598,-0.009915691236824868,0.47593049261213005,-0.004957845618412433,-0.005711440063100453,0.47593049261212983,N,1.0,-0.7499999999999998
0.04,4,wing_1,wing_1_main_wing,segment_0,wing_1_main_wing:segment_0:orig:0,orig,0,0.25000000000000006,0.25000000000000006,4.441456445537599e-19,0.5000000000000001,0.9999999999999997,0.5,0.3060974317724888,0.3060974317724888,1.9978374243604147,0.3064287694685493,0.5083514867459216,0.03008750872837072,0.2541757433729609,0.01504375436418536,-0.003050255334137159,0.2541757433729608,N,1.0,0.25000000000000006
