time,step,accepted_time_step_size,patch,pressure_force_x,pressure_force_y,pressure_force_z,viscous_force_x,viscous_force_y,viscous_force_z,total_force_x,total_force_y,total_force_z,moment_x,moment_y,moment_z,drag_coefficient,lift_coefficient,side_force_coefficient,pitching_moment_coefficient
0.0,0,0.001,cylinder,0.0,0.0,0.0,1.2687596777810737,9.200157018596916e-09,-2.896078747421333e-17,1.2687596777810737,9.200157018596916e-09,-2.896078747421333e-17,7.115076756936123e-19,-2.7755575615628914e-17,-6.435134879394927e-09,2.5375193555621474,1.8400314037193832e-08,-5.792157494842667e-17,-1.2870269758789854e-08
0.02,10,0.0024213321692313286,cylinder,0.9942903761215978,-3.56606411935044e-06,0.0,1.0765480002953405,2.0024992910493405e-06,2.974850959848209e-08,2.070838376416938,-1.5635648283010995e-06,2.974850959848209e-08,1.010101006556274e-07,7.111975813267613e-07,7.501694382560601e-07,4.141676752833876,-3.127129656602199e-06,5.949701919696418e-08,1.5003388765121202e-06
0.04,16,0.0034285714285714267,cylinder,0.7945644029345694,-8.575644923367997e-06,0.0,0.8956210318273282,1.823442606493312e-06,1.9917118945326843e-08,1.6901854347618976,-6.752202316874685e-06,1.9917118945326843e-08,2.0076603847511655e-07,1.7456295817175338e-06,1.3054310795395253e-06,3.3803708695237953,-1.350440463374937e-05,3.9834237890653686e-08,2.6108621590790505e-06
0.06,21,0.004,cylinder,0.6921689380405481,1.611534355462109e-07,0.0,0.7704524708103362,1.0187425071436426e-06,5.047527024226027e-09,1.4626214088508844,1.1798959426898535e-06,5.047527024226027e-09,-2.0050930688735903e-07,-1.9633671230478988e-07,1.0180137572143172e-06,2.925242817701769,2.359791885379707e-06,1.0095054048452054e-08,2.0360275144286344e-06
0.08,26,0.00399999999999999,cylinder,0.6233635311776333,-5.876238303472586e-06,0.0,0.6768463039769039,5.693131783965875e-07,-2.69947697859463e-09,1.3002098351545373,-5.306925125075999e-06,-2.69947697859463e-09,8.584500057944662e-08,1.3228275297094694e-06,1.7738430436019942e-06,2.6004196703090745,-1.0613850250151997e-05,-5.39895395718926e-09,3.5476860872039884e-06
0.1,31,0.004,cylinder,0.5712449613411918,-3.5384890998712594e-06,0.0,0.6046514670708492,2.867008009554105e-07,-1.1229844557257378e-07,1.1758964284120408,-3.251788298915849e-06,-1.1229844557257378e-07,3.29207665091208e-07,-4.5191744151018565e-07,9.924610520719614e-06,2.3517928568240816,-6.503576597831698e-06,-2.2459689114514755e-07,1.9849221041439227e-05
0.12,36,0.004,cylinder,0.5320220110128254,-5.839633155640001e-06,0.0,0.5475528039623052,-4.653314829352337e-07,-1.7643089291846795e-07,1.0795748149751307,-6.304964638575235e-06,-1.7643089291846795e-07,5.025676593476314e-07,-1.9929747096802952e-06,1.3394498980242664e-05,2.1591496299502615,-1.260992927715047e-05,-3.528617858369359e-07,2.678899796048533e-05
0.14,41,0.004,cylinder,0.5020791681069341,-6.464594018266729e-06,0.0,0.5015618204178769,-1.1016832343732543e-06,-2.0423199656503864e-07,1.003640988524811,-7.566277252639983e-06,-2.0423199656503864e-07,5.008339712804467e-07,-2.704523592772512e-06,1.4282555865936298e-05,2.007281977049622,-1.5132554505279967e-05,-4.084639931300773e-07,2.8565111731872596e-05
0.16,46,0.003999999999999976,cylinder,0.47851855342364225,-4.843067554523208e-06,0.0,0.4638621827988756,-1.4687337225460654e-06,-2.024575546471454e-07,0.9423807362225178,-6.3118012770692735e-06,-2.024575546471454e-07,3.093729472802224e-07,-2.8937038617227184e-06,1.3845054739490786e-05,1.8847614724450357,-1.2623602554138547e-05,-4.049151092942908e-07,2.7690109478981572e-05
0.18,51,0.004,cylinder,0.4597812184916561,-1.4913754044320986e-06,0.0,0.4325926497232657,-1.4977728740702334e-06,-2.0219267526709633e-07,0.8923738682149218,-2.989148278502332e-06,-2.0219267526709633e-07,-9.034819034586675e-08,-2.7218540027129645e-06,1.2715571319099562e-05,1.7847477364298436,-5.978296557004664e-06,-4.0438535053419266e-07,2.5431142638199125e-05
0.2,56,0.004,cylinder,0.4448713940822471,-4.244256832144563e-06,0.0,0.4063775514950968,-1.606011006933996e-06,-1.695915641603457e-07,0.851248945577344,-5.850267839078559e-06,-1.695915641603457e-07,2.172793507917135e-07,-2.5882730004395116e-06,1.1281584518342395e-05,1.702497891154688,-1.1700535678157119e-05,-3.391831283206914e-07,2.256316903668479e-05
0.22,61,0.003999999999999976,cylinder,0.4330365115502097,-4.2243858203732006e-06,0.0,0.3841635172702871,-1.6837470077031352e-06,-1.4261704991985335e-07,0.8172000288204969,-5.908132828076336e-06,-1.4261704991985335e-07,2.1450904867539953e-07,-2.306905251533986e-06,9.762159760566883e-06,1.6344000576409938,-1.1816265656152672e-05,-2.852340998397067e-07,1.9524319521133766e-05
