time,step,x,y,z,Ux,Uy,Uz,omega_x,omega_y,omega_z,p
0.05,5,-1.5,0.0,0.0,0.9120694938484161,-0.0027601398133339254,-0.002758131943246014,-7.584508296608047e-05,-0.0050086749177784455,0.004748456184780063,2.1929836490735037
0.05,5,-1.46875,0.0,0.0,0.9078935067932266,-0.0029193219367404945,-0.0032366853010476434,-7.319552414963225e-05,-0.003250025361019745,0.0033084665269988273,2.1846827567437423
0.05,5,-1.4375,0.0,0.0,0.8910026470540074,-0.00259362667047555,-0.0023350501540654067,-8.862936740801447e-06,0.0011872690682844357,-0.0015472928721779037,2.1374282613108297
0.05,5,-1.40625,0.0,0.0,0.8866804317208168,-0.0025782045759661387,-0.0030414109133685015,3.6567056276227125e-07,0.0020433827726555726,-0.0018431244493098675,2.121785165133955
0.05,5,-1.375,0.0,0.0,0.8790720266578832,-0.0020552959685512257,-0.0017881464922808034,6.65330752331276e-06,0.00023544804193055457,-0.00038662206570774457,2.0791388189483784
0.05,5,-1.34375,0.0,0.0,0.8718130015267141,-0.0021864370126896265,-0.0028313160112088146,3.1757945565148994e-06,0.00047668869179147465,-0.0009976076244085494,2.063525986144578
0.05,5,-1.3125,0.0,0.0,0.8550215055699065,-0.0016086820174470706,-0.001595005670190531,1.6888595148755554e-06,0.002884526241926531,-0.0028806482056809505,2.0236244187722763
0.05,5,-1.28125,0.0,0.0,0.8431299555821699,-0.0013188280570073578,-0.0013048437062639522,2.2518888267014294e-07,0.007616707793305451,-0.007612528245103407,1.976810861335261
0.05,5,-1.25,0.0,0.0,0.8399084841901697,-0.0024249356715481114,-0.0018621403710767396,5.105609041441529e-06,0.014119774618105456,-0.017394825742102316,1.957850424098131
0.05,5,-1.21875,0.0,0.0,0.8379608339323733,-0.0018202156576824567,-0.002459015625464223,-2.852249353391611e-06,0.007732435949368428,-0.005835088694620851,1.9388423205067151
0.05,5,-1.1875,0.0,0.0,0.8283938090887231,-0.0016561757024868835,-0.002394157082608647,-2.106039012259233e-06,0.0028585154132990637,-0.0020006877859141186,1.933582410584849
0.05,5,-1.15625,0.0,0.0,0.8122716376268929,-0.0022490896757806174,-0.0014663839739344844,2.225885638291061e-06,-0.00015617212255261714,-0.0007234720641312368,1.9351386578923997
0.05,5,-1.125,0.0,0.0,0.798501446909363,-0.0021399023514652882,-0.0013533576481676273,2.2323086202491676e-06,-0.00025645554608777553,-0.0004905873995303073,1.9371317021284553
0.05,5,-1.09375,0.0,0.0,0.7837704874969157,-0.0020707682776697966,-0.0012827149633713644,1.9895825689022246e-06,-0.00017597263712467955,-0.0006859372425007796,1.9412999073956474
0.05,5,-1.0625,0.0,0.0,0.7673489776510904,-0.0012659809503405637,-0.002021984297711147,-1.5752740480126357e-06,0.0008831591955002307,7.329755393438409e-05,1.9489047021078474
0.05,5,-1.03125,0.0,0.0,0.7492976964667782,-0.0020340939061371617,-0.001258982565831182,1.3823948089189387e-06,8.736377828500125e-05,-0.0011326126524482207,1.9599235911672623
0.05,5,-1.0,0.0,0.0,0.72952124265926,-0.0020642492211421274,-0.001302816690191215,1.0880310714455882e-06,0.0003319491381845463,-0.0014655774328837011,1.974340227839807
0.05,5,-0.96875,0.0,0.0,0.706325123557147,-0.001284401564244671,-0.001269520939568778,5.407374669176077e-08,0.0003897758635227121,-0.00039056938136251503,1.9932724816413883
0.05,5,-0.9375,0.0,0.0,0.6826430201371438,-0.0013371213238307271,-0.001322007515192542,5.772110801137876e-08,0.0007147164662297467,-0.0007156226346735682,2.0147080222688953
0.05,5,-0.90625,0.0,0.0,0.6567493611847195,-0.0014021820530961053,-0.001386825265983611,6.192661379870897e-08,0.0011229922647717579,-0.001124080973371713,2.0395306852896673
0.05,5,-0.875,0.0,0.0,0.6284626049711712,-0.0014632855814172368,-0.0014476783086994581,6.642852356825393e-08,0.0015911127499129926,-0.001592536351699396,2.067629128079535
0.05,5,-0.84375,0.0,0.0,0.5975935166659353,-0.0015013335608105964,-0.0014854744164592266,7.084224918027836e-08,0.0020731116521416643,-0.0020749940860417936,2.0988102086098186
0.05,5,-0.8125,0.0,0.0,0.5590857836064438,-0.0015668520223056555,-0.001550716755255606,7.880403211512994e-08,0.00293039873989504,-0.0029330332558801073,2.1376555339386365
0.05,5,-0.78125,0.0,0.0,0.5218198857596623,-0.0015572422424052555,-0.0015408880701840932,8.465265953506803e-08,0.003467800467371872,-0.0034715160218378406,2.17452469677581
0.05,5,-0.75,0.0,0.0,0.48113489108916,-0.001497075614104924,-0.0014805542683988986,8.916657341654447e-08,0.0038932864008899056,-0.0038987972647558542,2.2133488012164633
0.05,5,-0.7187500000000001,0.0,0.0,0.43678811051332994,-0.0013914279854385365,-0.0013748440042316173,9.207240889671519e-08,0.004178982978860548,-0.004187639096723506,2.2534484185117107
0.05,5,-0.6875,0.0,0.0,0.38853123390013766,-0.0012541033507919898,-0.0012376670056675444,9.38226961587138e-08,0.004334714676416055,-0.004349379625315609,2.2939985262603924
0.05,5,-0.65625,0.0,0.0,0.33191613989103885,-0.003282988696500259,-0.0009144967026572038,-8.64150799483901e-06,0.002817424285576374,-0.01533563730257619,2.3374591585179787
0.05,5,-0.6250000000000001,0.0,0.0,0.27051104118521146,-0.003460091067450477,-0.0005883052268924015,-1.1943030052899655e-05,0.0015135009300703915,-0.018141184210793457,2.3754126840973813
0.05,5,-0.59375,0.0,0.0,0.19994009078684088,-0.0002661511302973524,-0.003698462835202878,1.5188553354603532e-05,0.01805478281572328,-0.0008968533170614201,2.4078548474092876
0.05,5,-0.5625,0.0,0.0,0.1782284993451347,-0.0037615552718155143,4.934157763457087e-06,-1.9681522001156893e-05,0.0004509494116009139,-0.01411233480868081,2.515701884490552
