step,time,total_kinetic_energy,total_kinetic_energy_standard_error,total_kinetic_energy_ci_lower,total_kinetic_energy_ci_upper,total_enstrophy,total_enstrophy_standard_error,total_enstrophy_ci_lower,total_enstrophy_ci_upper,test_filtered_enstrophy,test_filtered_enstrophy_standard_error,test_filtered_enstrophy_ci_lower,test_filtered_enstrophy_ci_upper,kinetic_energy_rate,kinetic_energy_rate_standard_error,kinetic_energy_rate_ci_lower,kinetic_energy_rate_ci_upper,viscous_kinetic_energy_rate,viscous_kinetic_energy_rate_standard_error,viscous_kinetic_energy_rate_ci_lower,viscous_kinetic_energy_rate_ci_upper,total_helicity,total_helicity_standard_error,total_helicity_ci_lower,total_helicity_ci_upper,vortex_strength_magnitude_sum,vortex_strength_magnitude_sum_standard_error,vortex_strength_magnitude_sum_ci_lower,vortex_strength_magnitude_sum_ci_upper,net_vortex_strength_x,net_vortex_strength_x_standard_error,net_vortex_strength_x_ci_lower,net_vortex_strength_x_ci_upper,net_vortex_strength_y,net_vortex_strength_y_standard_error,net_vortex_strength_y_ci_lower,net_vortex_strength_y_ci_upper,net_vortex_strength_z,net_vortex_strength_z_standard_error,net_vortex_strength_z_ci_lower,net_vortex_strength_z_ci_upper,linear_impulse_x,linear_impulse_x_standard_error,linear_impulse_x_ci_lower,linear_impulse_x_ci_upper,linear_impulse_y,linear_impulse_y_standard_error,linear_impulse_y_ci_lower,linear_impulse_y_ci_upper,linear_impulse_z,linear_impulse_z_standard_error,linear_impulse_z_ci_lower,linear_impulse_z_ci_upper,angular_impulse_x,angular_impulse_x_standard_error,angular_impulse_x_ci_lower,angular_impulse_x_ci_upper,angular_impulse_y,angular_impulse_y_standard_error,angular_impulse_y_ci_lower,angular_impulse_y_ci_upper,angular_impulse_z,angular_impulse_z_standard_error,angular_impulse_z_ci_lower,angular_impulse_z_ci_upper,n_particles_total,n_particles_total_standard_error,n_particles_total_ci_lower,n_particles_total_ci_upper,max_vortex_strength_magnitude,max_vortex_strength_magnitude_standard_error,max_vortex_strength_magnitude_ci_lower,max_vortex_strength_magnitude_ci_upper,mean_eddy_viscosity,mean_eddy_viscosity_standard_error,mean_eddy_viscosity_ci_lower,mean_eddy_viscosity_ci_upper,max_eddy_viscosity,max_eddy_viscosity_standard_error,max_eddy_viscosity_ci_lower,max_eddy_viscosity_ci_upper,mean_effective_viscosity,mean_effective_viscosity_standard_error,mean_effective_viscosity_ci_lower,mean_effective_viscosity_ci_upper,max_effective_viscosity,max_effective_viscosity_standard_error,max_effective_viscosity_ci_lower,max_effective_viscosity_ci_upper,invariant_projection_correction_ratio,invariant_projection_correction_ratio_standard_error,invariant_projection_correction_ratio_ci_lower,invariant_projection_correction_ratio_ci_upper,mean_core_radius,mean_core_radius_standard_error,mean_core_radius_ci_lower,mean_core_radius_ci_upper,mean_overlap_ratio,mean_overlap_ratio_standard_error,mean_overlap_ratio_ci_lower,mean_overlap_ratio_ci_upper,max_overlap_ratio,max_overlap_ratio_standard_error,max_overlap_ratio_ci_lower,max_overlap_ratio_ci_upper,vorticity_divergence_error,vorticity_divergence_error_standard_error,vorticity_divergence_error_ci_lower,vorticity_divergence_error_ci_upper,vortex_strength_misalignment_degrees,vortex_strength_misalignment_degrees_standard_error,vortex_strength_misalignment_degrees_ci_lower,vortex_strength_misalignment_degrees_ci_upper,n_stabilization_events,n_stabilization_events_standard_error,n_stabilization_events_ci_lower,n_stabilization_events_ci_upper,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_error_standard_error,stabilization_vortex_strength_error_ci_lower,stabilization_vortex_strength_error_ci_upper,stabilization_vortex_strength_growth,stabilization_vortex_strength_growth_standard_error,stabilization_vortex_strength_growth_ci_lower,stabilization_vortex_strength_growth_ci_upper,stabilization_vorticity_growth,stabilization_vorticity_growth_standard_error,stabilization_vorticity_growth_ci_lower,stabilization_vorticity_growth_ci_upper,max_stabilization_vorticity_growth,max_stabilization_vorticity_growth_standard_error,max_stabilization_vorticity_growth_ci_lower,max_stabilization_vorticity_growth_ci_upper
18,0.5819999999940001,1.3207022994756699,0.0005473809751048546,1.3194079491470765,1.3219966498042632,48.12898635864258,0.10647676961284525,47.87720880698479,48.38076391030037,34.565927028656006,0.056414252560471105,34.43252851891604,34.699325538395975,0.0,0.0,0.0,0.0,-0.0908094178885221,0.00020089746685402396,-0.09128446491072868,-0.09033437086631553,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.0036296659745857747,0.0016329782176458829,-0.0074910458703539885,0.0002317139211824395,0.00034886148932857484,0.002080262221998125,-0.004570177010480484,0.005267899989137633,0.0,0.0,0.0,0.0,-0.0009813057695282628,0.000978843168073481,-0.0032959020632607272,0.0013332905242042017,0.0021470738720381667,0.001202658756895014,-0.0006967621909062137,0.004990909934982547,-0.027724699582904525,5.1767925624332527e-05,-0.027847111275290472,-0.02760228789051858,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.6801745226777929,0.0031988589001592745,0.6726104233450528,0.6877386220105329,1.8350465666053835,0.11670721473093108,1.5590778563167773,2.1110152768939896,0.21270862336210195,0.0068476305263561014,0.19651655015353325,0.22890069657067064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.1639999999880002,1.2755379676818848,0.0015849586793409921,1.2717901359509425,1.279285799412827,38.67660856246948,0.2690422650762595,38.0404246977667,39.31279242717226,29.104865074157715,0.1679957961695272,28.70761814036961,29.50211200794582,-0.07760194466366097,0.0024392228914377804,-0.08336979026779501,-0.07183409905952692,-0.0729747368022799,0.0005076277260358571,-0.07417508563404518,-0.07177438797051461,0.0,0.0,0.0,0.0,5.0000134110450745,5.960464477539063e-08,5.000013270102486,5.000013551987663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000013291835785,5.9604644664368316e-08,5.000013150893197,5.000013432778373,-0.0037953318678773623,0.0028904058016718647,-0.010630055523455136,0.003039391787700412,0.0007794434204697678,0.0019298589936044093,-0.0037839479579616616,0.005342834798901197,0.0,0.0,0.0,0.0,-0.002086286389385325,0.002443323411861995,-0.007863828183558623,0.0036912554047879723,0.0018361086113145373,0.002165180090784908,-0.003283728740421321,0.006955945963050396,-0.03510863194242115,0.0002656214260733592,-0.035736726808256875,-0.034480537076585424,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.7507642369435842,0.0019377273905656824,0.746182239762877,0.7553462341242914,2.189841950918812,0.10590051072738554,1.9394270349967744,2.4402568668408495,0.28208983933406523,0.0054294378104015745,0.26925125901507485,0.2949284196530556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.7459999999820002,1.2406050115823746,0.0017167703442414078,1.236545494791966,1.244664528372783,32.70162510871887,0.2922358669884578,32.01059709045272,33.392653126985024,25.31770420074463,0.17961738786837603,24.89297656938332,25.74243183210594,-0.06002226133998334,0.002263392916822186,-0.06537433512198441,-0.054670187557982274,-0.06170119391754266,0.0005513921365996743,-0.06300502913588381,-0.06039735869920151,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0000134110450745,5.960464477539063e-08,5.000013270102486,5.000013551987663,-0.005490914918482263,0.0032067057627705163,-0.013073569132851763,0.002091739295887237,-0.0013886426386306874,0.0028857126942864863,-0.008212268858669667,0.005434983581408291,0.0,0.0,0.0,0.0,-0.0017258664011023882,0.002590206879703296,-0.007850732405491275,0.0043989996032864995,0.0007284068342414752,0.0019691276564152175,-0.003927840176600011,0.005384653845082962,-0.04228113871067759,0.00036299314337264176,-0.04313948110065843,-0.041422796320696745,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.806378109309113,0.0037191775324520375,0.7975836519198979,0.8151725666983282,2.474719074693068,0.08678736096401742,2.2694995762258157,2.6799385731603205,0.32053663426329304,0.00419635896554293,0.3106138220849814,0.3304594464416047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2.3279999999760004,1.2083388715982437,0.0014632970802963617,1.20487872383489,1.2117990193615975,27.927037000656128,0.26480286056876234,27.30087773466409,28.553196266648165,22.150212287902832,0.16104686291783876,21.769396970204372,22.53102760560129,-0.05544010306608845,0.0014183009307268035,-0.05879385184294167,-0.052086354289235234,-0.052692522294819306,0.0004996296411086268,-0.053873958660999366,-0.05151108592863925,0.0,0.0,0.0,0.0,5.00001335144043,9.011375252180584e-08,5.000013138355265,5.000013564525594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.0067265031684655505,0.003345052200369487,-0.014636294724303044,0.001183288387371943,-0.0013450911792460998,0.002908252766533793,-0.008222016200753714,0.005531833842261514,0.0,0.0,0.0,0.0,-0.0009597564348950867,0.003982158672721338,-0.010376065406102494,0.008456552536312322,0.0006677319033769877,0.0024806723778400225,-0.005198126161519868,0.006533589968273842,-0.04993236484006045,0.00032101320691394077,-0.05069144045421073,-0.049173289225910174,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.8540405570365015,0.0028063674162556234,0.8474045525851437,0.8606765614878593,2.5832083090092484,0.08773357454619383,2.375751370958395,2.790665247060102,0.34252352287273374,0.0076586425769093955,0.3244137109010927,0.36063333484437476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2.9099999999700006,1.1811014711856842,0.0018039753784265106,1.1768357472565807,1.1853671951147877,24.61082148551941,0.27415980943157586,23.96253655132545,25.25910641971337,19.7551589012146,0.18114169616141032,19.326826853496677,20.183490948932523,-0.046799657066735834,0.0023454010337295417,-0.052345649230803495,-0.04125366490266817,-0.04643551725894209,0.0005172839462633011,-0.04765869942323591,-0.045212335094648275,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.006468292049248687,0.002620165452594938,-0.01266399882164026,-0.00027258527685711416,-0.0021531357779167497,0.002978827965027277,-0.00919694462534303,0.004890673069509531,0.0,0.0,0.0,0.0,0.0003046503406949374,0.004308720480143545,-0.009883854599986993,0.010493155281376869,0.0015163679781835377,0.002894484774560568,-0.005328000915608454,0.008360736871975529,-0.0577716920524835,0.00047263287654634865,-0.05888929121446506,-0.056654092890501946,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.9020323994583487,0.0025656157875677097,0.8959656821467967,0.9080991167699006,2.7799447353470708,0.17726662505968044,2.360775774732945,3.1991136959611963,0.36731813832619487,0.007546798442018638,0.34947279570831496,0.38516348094407477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,3.4919999999640003,1.1595313847064972,0.0017476048155326196,1.1553989559774884,1.163663813435506,22.22920846939087,0.19108823243804324,21.777356600773874,22.681060338007864,17.994569778442383,0.13221099796570857,17.681940446325385,18.30719911055938,-0.03706200426015356,0.0025515025819419835,-0.04309534914341518,-0.03102865937689194,-0.04194190120324487,0.0003605422009317082,-0.04279444803529062,-0.041089354371199115,0.0,0.0,0.0,0.0,5.0000134110450745,5.960464477539063e-08,5.000013270102486,5.000013551987663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.006139429227914639,0.0029889279332356478,-0.01320712070510675,0.0009282622492774719,-0.000370843044947825,0.0033398138484039435,-0.008268247866689216,0.007526561776793565,0.0,0.0,0.0,0.0,-0.0008364924869965872,0.004183950579019907,-0.01072996349361273,0.009056978519619556,0.0003472907119430373,0.003186985157632983,-0.007188731681262165,0.00788331310514824,-0.06477933377027506,0.000454306755973241,-0.06585359854311183,-0.06370506899743829,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.9477341483886159,0.006425485220439282,0.9325402902081141,0.9629280065691177,2.9481603182223894,0.15808120055599872,2.574357677666772,3.321962958778007,0.378256725632595,0.004860415686026622,0.36676366882859446,0.3897497824365955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4.073999999957999,1.139213040471077,0.0013974879947716127,1.1359085064673302,1.1425175744748237,20.29006290435791,0.11995134030404846,20.0064230560639,20.573702752651922,16.50023603439331,0.07904341413231936,16.313328060407336,16.687144008379285,-0.0349112443911163,0.0010310490587130488,-0.037349287999931084,-0.032473200782301516,-0.038283136673271614,0.00022632322708858327,-0.03881830606474402,-0.03774796728179921,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.007306886342121237,0.00239545411329309,-0.012971235231991767,-0.0016425374522507077,-0.00039903982542456237,0.0025916696157844855,-0.00652736465102471,0.005729285000175585,0.0,0.0,0.0,0.0,-0.0030219740583561122,0.0040533792192357036,-0.012606692861063081,0.0065627447443508576,0.0009635873866500248,0.0036686661157518535,-0.0077114294816535076,0.009638604254953557,-0.07208801060914986,0.0004988927758641129,-0.07326770456590259,-0.07090831665239714,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,0.9897735213131761,0.004401003646270974,0.9793668013598554,1.0001802412664966,3.2058611270700115,0.15517628140007567,2.8389275287994065,3.5727947253406165,0.4189893027013017,0.005685189536610467,0.40554596564813106,0.4324326397544723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,4.655999999952001,1.1191716939210892,0.0019762947949773647,1.114498499320589,1.1238448885215893,18.41512680053711,0.15522199645213772,18.048085103345734,18.782168497728485,15.08068561553955,0.11932758352193464,14.79852071765962,15.362850513419481,-0.034435303350849426,0.0016565932342245766,-0.03835252388752139,-0.030518082814177467,-0.03474552277475589,0.00029287280095187206,-0.0354380569025186,-0.03405298864699319,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.00813539134105665,0.003759151493738105,-0.017024372128561012,0.0007535894464477128,-5.661352770402496e-05,0.0029494014130978965,-0.0070308396367973385,0.006917612581389288,0.0,0.0,0.0,0.0,-0.0026982217095792255,0.003961044598733089,-0.012064603829384095,0.006668160410225643,0.0014515453367493873,0.0032616670921210107,-0.00626107176990207,0.009164162443400844,-0.07985212653875348,0.0007105950135419942,-0.08153241674083578,-0.07817183633667119,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,1.0325995703213726,0.0041529922817770465,1.022779304055205,1.0424198365875403,3.529111209363599,0.11554259431221772,3.2558963887609824,3.802326029966215,0.4206171674431454,0.00822280509356982,0.40117332310276954,0.4400610117835213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,5.237999999945999,1.1015874594449997,0.0018694870689061947,1.097166824983825,1.1060080939061745,17.032740354537964,0.11257049365850415,16.766553435219294,17.298927273856634,13.969854593276978,0.1035964982310211,13.724887801179817,14.214821385374139,-0.030213461299434242,0.001023518342851484,-0.03263369759489092,-0.027793225003977566,-0.032137246336787884,0.0002123967372982266,-0.03263948481276245,-0.031635007860813316,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,-0.004726333660073538,0.0036479473938737573,-0.013352358536162116,0.003899691216015042,0.0016161983949132498,0.0035130175639908035,-0.006690768133170808,0.009923164922997309,0.0,0.0,0.0,0.0,-0.0039779538928996746,0.004151871076797408,-0.013795568930581474,0.005839661144782124,0.0036775071930605996,0.003802104617934356,-0.005313041593599895,0.012668055979721093,-0.08753446303308006,0.0007295420348702098,-0.08925955582129051,-0.0858093702448696,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,1.0604517499895647,0.005832451689490352,1.0466601932783526,1.0742433067007768,3.3427720741425695,0.10499527512411887,3.0944977002814213,3.5910464480037176,0.43718066760241087,0.005251942490372193,0.4247617970217062,0.44959953818311554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,5.819999999940001,1.0847205519676208,0.001973185357195462,1.0800547100191087,1.089386393916133,15.861934900283813,0.15634701519920027,15.492232956479638,16.231636844087987,13.010370016098022,0.12190364973407616,12.722113689579153,13.298626342616892,-0.02898094068308021,0.001488902608977697,-0.03250163590052864,-0.025460245465631783,-0.029928176663815923,0.00029499372897836824,-0.03062572598942596,-0.029230627338205886,0.0,0.0,0.0,0.0,5.00001335144043,0.0,5.00001335144043,5.00001335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0000134110450745,5.960464477539063e-08,5.000013270102486,5.000013551987663,-0.0015072540772962362,0.003775696919702703,-0.010435358580289421,0.007420850425696948,0.002973994705826038,0.004388873859436531,-0.007404042859379204,0.01335203227103128,0.0,0.0,0.0,0.0,-0.0044465887767728505,0.004133617839904706,-0.014221041767828096,0.0053278642142823955,0.0024310812877957003,0.004420392361019398,-0.008021485690626252,0.012883648266217653,-0.09554429724812508,0.0008368747183774454,-0.09752319150274527,-0.09356540299350488,2136.0,0.0,2136.0,2136.0,0.010028529912233299,6.556638444143087e-19,0.010028529912233297,0.0100285299122333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018867925973609,0.0,0.0018867925973609,0.0018867925973609,0.0018867924809455002,8.195798055178859e-20,0.0018867924809455,0.0018867924809455004,0.0,0.0,0.0,0.0,0.08812499791383742,5.2453107553144695e-18,0.0881249979138374,0.08812499791383743,1.1001520474808206,0.004905243289654119,1.0885529902381417,1.1117511047234996,3.387755293393753,0.09678427353699678,3.158896853015381,3.6166137337721254,0.444432448435823,0.00693441305979265,0.4280351671440756,0.46082972972757047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
