time,step,ensemble_size,relative_standard_error_l2_velocity,relative_standard_error_l2_vorticity,half_ensemble_relative_difference_velocity,half_ensemble_relative_difference_vorticity,minimum_absolute_circulation_capture_fraction,mean_absolute_circulation_capture_fraction
0.581999999994,18,29,0.0028732012549033915,0.0072687033662852795,0.00257000224296644,0.006288212913071955,0.9999999999999996,0.9999999999999998
1.163999999988,36,29,0.004260311178934533,0.010866608427894114,0.0036653202858599136,0.00962207847865538,0.9999999999999996,0.9999999999999998
1.745999999982,54,29,0.0051559959442981015,0.013206127417140803,0.003542149829851706,0.011582751717140191,0.9999999999999998,0.9999999999999998
2.327999999976,72,29,0.005750162442231012,0.015377286462213225,0.00440529676728312,0.012954233448686741,0.9999999999999996,0.9999999999999998
2.90999999997,90,29,0.006096404620643257,0.0165824782069513,0.006969514862670617,0.019628535734432337,0.9999999999999998,0.9999999999999998
3.491999999964,108,29,0.0068875359216840765,0.018879212953486418,0.007737411324740529,0.021176011346977646,0.9999999999999996,0.9999999999999998
4.073999999958,126,29,0.007172804564065708,0.02021990676995214,0.006650144613764602,0.02175868534463525,0.9999999999999996,0.9999999999999998
4.655999999952,144,29,0.007637380105504149,0.0219950746596077,0.006995274078168538,0.01951103406778088,0.9999999999999996,0.9999999999999998
5.237999999946,162,29,0.007717777715491276,0.02280749572111968,0.006769737230179461,0.019575179038425306,0.9999999999999996,0.9999999999999998
5.81999999994,180,29,0.008022562301495654,0.02351171631364592,0.007993641598926833,0.022319830189874077,0.9999999999999996,0.9999999999999998
6.401999999934,198,29,0.008558579229734568,0.025421627705806728,0.008248848299441579,0.027417408814992175,0.9999999999999998,0.9999999999999998
6.983999999928,216,29,0.008911779445230278,0.0263998160797688,0.008305088264533285,0.027946605620255867,0.9999999999999996,0.9999999999999998
7.565999999922,234,29,0.0091982099647392,0.0271032577411783,0.008196954048112434,0.025483767971546157,0.9999999999999996,0.9999999999999998
8.147999999916,252,29,0.009716322111317708,0.028636783984771316,0.01008786988163548,0.02746894793005723,0.9999999999999998,0.9999999999999998
8.72999999991,270,29,0.010296742185159849,0.03010496859123819,0.011471825643335458,0.0328190350434208,0.9999999999999996,0.9999999999999998
9.311999999904,288,29,0.010923148103502443,0.03198796549707236,0.011685036939681297,0.0354619241065537,0.9999999999999998,0.9999999999999998
9.893999999898,306,29,0.011566845403850971,0.032869381024905664,0.01100510657742948,0.033203233329705914,0.9999999999999996,0.9999999999999998
10.475999999892,324,29,0.011877712909634007,0.03369929932464587,0.010038174198267974,0.030677740410377144,0.9999999999999996,0.9999999999999998
11.057999999886,342,29,0.012477780466283594,0.034868900932039676,0.010820241719899992,0.034856885287388506,0.9999999999999996,0.9999999999999998
