time,step,total_kinetic_energy,energy_measurement,total_enstrophy,test_filtered_enstrophy,kinetic_energy_rate,kinetic_energy_rate_source,viscous_kinetic_energy_rate,total_helicity,vortex_strength_magnitude_sum,net_vortex_strength_x,net_vortex_strength_y,net_vortex_strength_z,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z,n_particles_total,max_vortex_strength_magnitude,min_particle_core_radius,mean_particle_core_radius,max_particle_core_radius,mean_eddy_viscosity,max_eddy_viscosity,mean_effective_viscosity,max_effective_viscosity,invariant_projection_correction_ratio,mean_core_radius,mean_overlap_ratio,max_overlap_ratio,vorticity_divergence_error,vortex_strength_misalignment_degrees,pedrizzetti_cumulative_vortex_strength_transfer_x,pedrizzetti_cumulative_vortex_strength_transfer_y,pedrizzetti_cumulative_vortex_strength_transfer_z,pedrizzetti_cumulative_linear_impulse_transfer_x,pedrizzetti_cumulative_linear_impulse_transfer_y,pedrizzetti_cumulative_linear_impulse_transfer_z,pedrizzetti_cumulative_angular_impulse_transfer_x,pedrizzetti_cumulative_angular_impulse_transfer_y,pedrizzetti_cumulative_angular_impulse_transfer_z,n_stabilization_events,n_regularization_events,regularization_cumulative_total_kinetic_energy_transfer,regularization_cumulative_total_enstrophy_transfer,last_stabilization_mechanism,stabilization_vortex_strength_error,stabilization_vortex_strength_growth,stabilization_vorticity_growth,max_stabilization_vorticity_growth,lagrangian_cfl,stretching_viscosity_feedback_coefficient,strain_increment_infinity,strain_increment_spectral,maximum_particle_strength,maximum_particle_vorticity
0.75,100,23.100495784492697,periodic_fourier_energy,888.8406341372034,664.4219784332535,-1.963198585640089,fourier_transition_viscous_rate,-1.963198585640089,0.0647143595712106,43.96247556682963,0.0033516987233942,0.0009622129316438,-0.0002974400788667,19.789982874911665,0.0039115302463794,0.003069515265024,-0.0015841165738192,-0.0143530085794924,0.0131255655004597,52032,0.0142918787896633,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0010064692469313,0.0024847977329045,0.0019264086149632,0.0034047369845211,0.0,0.0599999986588954,1.021044982336588,1.593413087651279,0.0642538008973451,4.791928415659041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1134287114068865,0.0,,,,
0.825,110,22.90359294508458,periodic_fourier_energy,850.1156999757303,638.8575444460491,-2.625371192108239,periodic_fourier_energy_backward_difference,-1.8695596588771224,0.1387740386892181,43.98564409389935,0.0031660497199303,0.0006077657839713,-0.0003614551046053,19.79045841003519,0.0036412392819782,0.0039634736233386,0.0007378127734274,-0.0172692351153596,0.0151948498720271,55216,0.0139366509392857,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0009363646386191,0.0024640953633934,0.0018563038902357,0.00338403461501,0.0,0.0599999986588954,1.0278228580240292,1.6774159545220737,0.0565894401674702,4.692328200442364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1099496586620807,0.0,0.1099496586620807,0.0713830923994224,0.0139366509392857,64.52153201754827
0.9,120,22.73769413611922,periodic_fourier_energy,812.7581267790516,614.4143799167349,-2.2119841195381182,periodic_fourier_energy_backward_difference,-1.7476224903504234,0.2108863910119188,43.81027059041627,0.0036921135474733,0.0004320173121865,-0.0003142878669381,19.790534898388465,0.0025663835971112,0.0048756270967618,0.0038088728725831,-0.0205927280495508,0.0168285297530144,57921,0.013784185051918,0.0599999986588954,0.0599999949336051,0.0599999986588954,0.0008769299020059,0.0024287223350256,0.0017968692118301,0.0033486615866422,0.0,0.0599999986588954,1.0207425889926025,1.5040966314623558,0.0502187146133419,4.319169692135075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1104741704463958,0.0,0.1104741704463958,0.0719529421073308,0.013784185051918,63.81567142907285
0.975,130,22.584403616961325,periodic_fourier_energy,771.8471433725019,589.6754405830217,-2.043873588771941,periodic_fourier_energy_backward_difference,-1.605057607699321,0.2666106524282936,43.54538365695055,0.0042384012081994,0.0002127733968649,-0.0004603449098985,19.79082451084718,0.0015228070920535,0.0056298416147723,0.0066800408477339,-0.0237825113590777,0.0185610492383996,60461,0.0129424333572387,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.000826928357128,0.0023904072586447,0.0017468676669523,0.0033103465102612,0.0,0.0599999986588954,1.0261269701367208,1.4511237745829506,0.0568052347858887,4.248558930605776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.104697962924838,0.0,0.104697962924838,0.0675304561790455,0.0129424333572387,59.918672849164615
1.05,140,22.448372970169963,periodic_fourier_energy,739.8861904492297,569.2143630415176,-1.813741957218154,periodic_fourier_energy_backward_difference,-1.4877716143868005,0.2949110803236212,43.40887237679445,0.0047397814663372,8.976588186740408e-05,-0.0003326902993947,19.791625560235616,0.0007694589296122,0.0064977419573256,0.0083829848836942,-0.0264511218911739,0.0201137608220016,62789,0.0129694370552897,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0007876317831687,0.0023496353533118,0.0017075709765776,0.0032695746049284,0.0,0.0599999986588954,1.0334883956455112,1.7994241433154905,0.0781299398181953,4.606328371135049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1053898832201957,0.0,0.1053898832201957,0.0625838578525142,0.0129694370552897,60.043689969560226
1.125,150,22.27634525536788,periodic_fourier_energy,715.0184906171139,551.9241052280768,-1.7413255889217312,fourier_grid_transition_backward_difference,-1.405768361074924,0.28555682682548,43.55422829153565,0.0052927904217552,0.0001137463998331,-1.9411199008945168e-05,19.79267601412134,0.0006332297996146,0.007685425228247,0.0082357402528946,-0.0283671135560487,0.0212356230669521,64293,0.0120097007602453,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.000759785529226,0.0023106925655156,0.0016797248972579,0.0032306318171322,0.0,0.0599999986588954,1.0259530660010874,1.7941108598386335,0.0682584766029263,5.765770948538907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1008629149594344,0.0,0.1008629149594344,0.0656256320393688,0.0120097007602453,55.60046638888228
1.2,160,22.13294377425681,periodic_fourier_energy,691.0810723573304,536.0894610689306,-1.912019748147648,periodic_fourier_energy_backward_difference,-1.3362727035289077,0.2417619664416905,43.71577120399719,0.005133797672074,0.0001608954119279,1.2315030129883551e-05,19.791916834243068,0.0015219911213896,0.0086085451893745,0.0070515163509982,-0.02909061014954,0.0223787431690665,66045,0.012287032790482,0.0599999986588954,0.0599999986588954,0.0599999986588954,0.0007337207207456,0.0023885185364633,0.0016536600887775,0.0033084577880799,0.0,0.0599999986588954,1.026313206072238,2.011314928475571,0.0780934411198738,5.508731206445446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1059817269444465,0.0,0.1059817269444465,0.0686104396447743,0.012287032790482,56.88441097114699
1.275,170,21.987957296472228,periodic_fourier_energy,666.5689592331871,520.8836081488502,-1.9331530371277488,periodic_fourier_energy_backward_difference,-1.288096552048268,0.1903425252079527,43.89914913057299,0.0048365343159323,0.0003919244736527,4.458440030086219e-05,19.790876538717555,0.0029201846140188,0.0090057320932608,0.0060960707991349,-0.0293688470783237,0.0237614695716697,67185,0.0116981389001011,0.0599999986588954,0.0600000023841857,0.0599999986588954,0.0007122551323845,0.0023685514461249,0.0016321945004165,0.0032884906977415,0.0,0.0599999986588954,1.0273498906835496,2.6605792456796977,0.0696717590290533,4.721007044817561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.1088631675392389,0.0,0.1088631675392389,0.0686758027004605,0.0116981389001011,54.15805037212818
1.35,180,21.84891607000569,periodic_fourier_energy,644.4019322244508,506.66851353116937,-1.8538830195538911,periodic_fourier_energy_backward_difference,-1.2796064302938366,0.1554663020153706,44.13317652992784,0.0046347562185689,0.0005476403701099,0.0001321580863077,19.78848361050056,0.0040565449775009,0.0085194615990185,0.0058325568206496,-0.0296458032364984,0.025692168142226,68197,0.0108522614464163,0.0599999986588954,0.0600000023841857,0.0599999986588954,0.000692980363965,0.0023560132831335,0.0016129197319969,0.0032759525347501,0.0,0.0599999986588954,1.0279338356400285,1.6721025139612462,0.049074716816292,5.045443819316901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0971906350180506,0.0,0.0971906350180506,0.0675387915805024,0.0108522614464163,50.241951056115354
1.425,190,21.721679223210156,periodic_fourier_energy,624.8177117491957,493.46110529232834,-1.6964912906070624,periodic_fourier_energy_backward_difference,-1.2951473537824365,0.1496644220696981,44.38199056667096,0.0047596374060997,0.0007624833402482,0.0002569035396211,19.78423567162777,0.0044699726499318,0.0071670758468242,0.0059905793626714,-0.030169981804857,0.0283032157904604,69344,0.0102422153577208,0.0599999986588954,0.0599999949336051,0.0599999986588954,0.0006742471014149,0.0022857319563627,0.0015941862948238,0.0032056712079793,0.0,0.0599999986588954,1.033501735108615,2.779377404854976,0.0545280340028889,5.090182127859368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0880192906921729,0.0,0.0880192906921729,0.0651298586405799,0.0102422153577208,47.41766361321225
