cloud,strength_scale,mode,method,steps,dt,horizon,finite,velocity_probe_error,vorticity_probe_error,gradient_probe_error,wall_time_s,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers,total_strength_drift,total_strength_drift_abs,linear_impulse_drift,linear_impulse_drift_abs,angular_impulse_drift,angular_impulse_drift_abs,energy_drift,energy_drift_abs
single_ring,0.75,DIRECT,fractional_x_gamma,5,0.016,0.08,True,1.7391032198827896e-16,2.0899331122807866e-16,3.6596276037297776e-16,0.018266264989506453,6.616521730972196e-17,8.638326590618834e-18,0.0,2.9348469089898537e-07,1.756410649637984e-17,2.0329228308466206e-17,0.0,15,0,0,15,0,0,0,0,0,0,5.41407943699395e-19,2.5513248277817634e-18,3.3126184105202627e-18,7.805173246977566e-18,8.0559539414468e-17,1.2654262860053502e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,10,0.008,0.08,True,1.7511201371648017e-16,2.0373746517790793e-16,3.6266922964877006e-16,0.033702293992973864,6.622844162998274e-17,8.639813275412468e-18,0.0,2.9348469089898537e-07,1.7564106496379838e-17,2.0329228308466206e-17,0.0,30,0,0,30,0,0,0,0,0,0,5.412238838219959e-19,2.550457466043777e-18,1.6479286565456126e-18,3.882840420782845e-18,8.055942026775788e-17,1.2654244144532042e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,20,0.004,0.08,True,1.825082845521314e-16,2.145907842002521e-16,3.8232156438960614e-16,0.06509017699863762,6.624482313459124e-17,8.640730576963503e-18,0.0,2.9348469089898537e-07,1.7564106496379838e-17,2.032922830846621e-17,0.0,60,0,0,60,0,0,0,0,0,0,5.411318538832966e-19,2.550023785174785e-18,1.8901177279087144e-18,4.4534849763133865e-18,8.055951498587525e-17,1.2654259022819126e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_x_gamma,40,0.002,0.08,True,1.970652256513722e-16,2.47889169105903e-16,3.682830129398363e-16,0.12662612803978845,6.735772958946259e-17,8.641785273635892e-18,0.0,2.9348469089898537e-07,1.756410649637984e-17,2.032922830846621e-17,0.0,120,0,0,120,0,0,0,0,0,0,5.410551622677124e-19,2.549662384450618e-18,5.187307721527234e-18,1.2222305872394675e-17,8.05593971951761e-17,1.2654240520299372e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_gamma_x,5,0.016,0.08,True,1.7393915163295736e-16,2.089631572738368e-16,3.652564042214281e-16,0.016675596009008586,6.616518002582406e-17,6.913612215108229e-18,0.0,2.9348469089898537e-07,1.403545777477837e-17,1.6276966047638615e-17,0.0,15,0,0,15,0,0,0,0,0,0,6.312866825820427e-19,2.9748684064632254e-18,3.1953288061603934e-18,7.528816127428002e-18,8.056041392989592e-17,1.2654400228615692e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_gamma_x,10,0.008,0.08,True,1.7516350053116562e-16,2.0372111389503719e-16,3.626707481771755e-16,0.03234972298378125,6.622842306882881e-17,7.77668327251934e-18,0.0,2.9348469089898537e-07,1.5799782135579106e-17,1.8303097178052414e-17,0.0,30,0,0,30,0,0,0,0,0,0,5.861632532633193e-19,2.762229255384506e-18,1.8235880975412263e-18,4.296728227806978e-18,8.056010367657517e-17,1.2654351494138033e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_gamma_x,20,0.004,0.08,True,1.825082845521314e-16,2.145828284997469e-16,3.8231783616940205e-16,0.06518301903270185,6.624481383706512e-17,8.209108896237876e-18,0.0,2.9348469089898537e-07,1.6681944315979472e-17,1.9316162743259308e-17,0.0,60,0,0,60,0,0,0,0,0,0,5.636015386039593e-19,2.6559096798451542e-18,1.8901177279087144e-18,4.4534849763133865e-18,8.055984413894237e-17,1.2654310726062005e-16,0.0,0.0
single_ring,0.75,DIRECT,fractional_gamma_x,40,0.002,0.08,True,1.9705852415580668e-16,2.4788567307845377e-16,3.682830129398363e-16,0.12732361699454486,6.735772502017549e-17,8.426019715075817e-18,0.0,2.9348469089898537e-07,1.7123025406179657e-17,1.9822695525862755e-17,0.0,120,0,0,120,0,0,0,0,0,0,5.52305342951161e-19,2.6026776119306382e-18,5.187307721527234e-18,1.2222305872394675e-17,8.055915193497039e-17,1.2654201994916347e-16,0.0,0.0
single_ring,0.75,DIRECT,parallel_lagged,5,0.016,0.08,True,1.7393915163295736e-16,2.089631572738368e-16,3.652564042214281e-16,0.016981929016765207,6.616523166764416e-17,6.913612215108229e-18,0.0,2.9348469089898537e-07,1.403545777477837e-17,1.6276966047638615e-17,0.0,15,0,0,15,0,0,0,0,0,0,6.312866825820427e-19,2.9748684064632254e-18,3.1953288061603934e-18,7.528816127428002e-18,8.056041396421728e-17,1.265440023400688e-16,0.0,0.0
single_ring,0.75,DIRECT,parallel_lagged,10,0.008,0.08,True,1.7516350053116562e-16,2.0372111389503719e-16,3.626707481771755e-16,0.033813855960033834,6.622844972812873e-17,7.77668327251934e-18,0.0,2.9348469089898537e-07,1.5799782135579106e-17,1.8303097178052414e-17,0.0,30,0,0,30,0,0,0,0,0,0,5.861632532633193e-19,2.762229255384506e-18,1.8235880975412263e-18,4.296728227806978e-18,8.056010369178282e-17,1.2654351496526844e-16,0.0,0.0
