checkpoint,reference,candidate,same_equation_and_physics,position_relative_l2,strength_relative_l2,per_particle_strength_error_median,per_particle_strength_error_p95,per_particle_strength_error_max,position_difference_max,worst_checkpoint_index,worst_x0,worst_y0,worst_z0,interpretation
leapfrog,exact_pair_rk3_isolated,tree_gradient_rk3_isolated,True,2.1447783673039067e-06,0.00044117639327676276,0.00046021230803802086,0.0024742716221615637,0.004740332290660754,9.194583987366515e-06,9251,1.4440964,1.2361373,-0.6478604,direct evaluator comparison
leapfrog,exact_pair_rk3_isolated,production_numerics_unforced,False,3.215323741402694e-05,7.086799524571781e-05,0.00010028469095203493,0.00041010745392531617,0.0006850805806952458,8.664647892216748e-05,7267,1.4288917,-1.1411506,-0.36835957,"not an accuracy comparison: RK order, diffusion, LES and freestream differ"
rotor,tree_gradient_rk3_isolated,production_numerics_unforced,False,0.00791253222280286,0.00011941646242171379,5.5462165816896935e-06,5.808678859576923e-05,0.0014858657478677877,0.08410977026758149,11798,18.677517,-0.92393047,-0.09351285,"not an accuracy comparison: RK order, diffusion, LES and freestream differ"
