benchmark,reference,mode,integrator,steps,dt,rate_identity_error_at_initial_state,physical_manifold_defect,wall_time_s,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,DIRECT,coupled_rk3,5,0.2,1.5271672813330039e-16,0.0007363404873906038,0.002682410995475948,0.00011878352446593192,0.0005707533780424438,0.00033515172674003805,0.02192358389341855,0.0009982338785846949,0.0015787516334682997,0.0005194178898155337,0,0,15,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,DIRECT,coupled_rk3,10,0.1,1.5271672813330039e-16,9.22008477284181e-05,0.0033301799558103085,1.4962924449341948e-05,7.272884489091519e-05,4.3744705075571766e-05,0.0027532656762480102,0.00012852434672785094,0.00017608485304366117,6.976806650302085e-05,0,0,30,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,DIRECT,coupled_rk3,20,0.05,1.5271672813330039e-16,1.156028602225734e-05,0.006346443027723581,1.8845480760196834e-06,9.205065138546914e-06,5.612148621490659e-06,0.00034580406500660146,1.635928518603344e-05,2.0792655920395106e-05,9.062422608950665e-06,0,0,60,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,DIRECT,coupled_rk3,40,0.025,1.5271672813330039e-16,1.4480528369589522e-06,0.011692437983583659,2.3668540275940115e-07,1.1586733577064696e-06,7.114384900176752e-07,4.335929008178843e-05,2.0653260897544192e-06,2.5262720278786355e-06,1.1555298405429935e-06,0,0,120,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,DIRECT,coupled_rk3,80,0.0125,1.5271672813330039e-16,1.8122130825011955e-07,0.022552477021235973,2.9662836049816757e-08,1.4536631737472676e-07,8.957869970890198e-08,5.445715090323303e-06,2.5964594813646415e-07,3.113344645145731e-07,1.459073468849182e-07,0,0,240,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,TRANSPOSED,coupled_rk3,5,0.2,1.5271672813330039e-16,0.0005857575943361505,0.0020283099729567766,0.00011878352446593192,0.0005790127339973275,0.00034305469737627573,0.026139973469237857,0.0013008564243046934,0.0015787516334682997,0.0005194178898155337,0,0,15,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,TRANSPOSED,coupled_rk3,10,0.1,1.5271672813330039e-16,6.903997861966401e-05,0.0034694509813562036,1.4962924449341948e-05,7.018236527576135e-05,4.237082236501699e-05,0.0031757856396112745,0.00015174667470328984,0.00017608485304366117,6.976806650302085e-05,0,0,30,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,TRANSPOSED,coupled_rk3,20,0.05,1.5271672813330039e-16,8.399896390032006e-06,0.006467582017648965,1.8845480760196834e-06,8.677635110596752e-06,5.299181337621094e-06,0.0003914033960901946,1.8288402241895233e-05,2.0792655920395106e-05,9.062422608950665e-06,0,0,60,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,TRANSPOSED,coupled_rk3,40,0.025,1.5271672813330039e-16,1.03688130691109e-06,0.011681333009619266,2.3668540275940115e-07,1.0803295068710408e-06,6.638504370697598e-07,4.85900287919107e-05,2.253496866099852e-06,2.5262720278786355e-06,1.1555298405429935e-06,0,0,120,0,0,0,0,0,0,0
abc_beltrami_euler,exact steady Euler Beltrami relation curl(u)=u,TRANSPOSED,coupled_rk3,80,0.0125,1.5271672813330039e-16,1.2883534334274611e-07,0.023081491992343217,2.9662836049816757e-08,1.3482040776687812e-07,8.311436045964723e-08,6.069698333583852e-06,2.8017609677490315e-07,3.113344645145731e-07,1.459073468849182e-07,0,0,240,0,0,0,0,0,0,0
